Experiment 3 ,11_03_2020_01-53-17

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,38170,48,0.905,0.2991028983592987
1,48505,61,0.907,0.2952689206600189
2,46120,58,0.909,0.28572362089157105
3,55660,70,0.905,0.288643963098526
4,46915,59,0.899,0.29879227781295775
5,46915,59,0.902,0.2947492370605469
6,17500,22,0.901,0.33866071701049805
7,21475,27,0.901,0.33254049038887024
8,25450,32,0.901,0.3112340979576111
9,28630,36,0.91,0.29362622380256653
10,25450,32,0.905,0.3117798247337341
11,17500,22,0.908,0.3221034159660339
12,29425,37,0.905,0.31232980012893674
13,33400,42,0.909,0.31065723943710327
14,30220,38,0.909,0.2837261714935303
15,31015,39,0.909,0.3015869104862213
16,27835,35,0.903,0.3096156086921692
17,33400,42,0.903,0.29639272499084474
18,38965,49,0.905,0.3012377824783325
19,37375,47,0.904,0.30241066217422485
20,46915,59,0.911,0.2840653100013733
21,29425,37,0.913,0.2835957236289978
22,51685,65,0.902,0.2917791738510132
23,41350,52,0.908,0.295352166891098
24,51685,65,0.906,0.28792816972732543
25,47710,60,0.915,0.2724695177078247
26,46915,59,0.894,0.300585010766983
27,42940,54,0.91,0.2858321318626404
28,43735,55,0.909,0.2932235975265503
29,53275,67,0.91,0.2939537682533264
30,60430,76,0.917,0.2614272940158844
31,59635,75,0.912,0.2665931448936462
32,59635,75,0.914,0.269038054227829
33,71560,90,0.919,0.25983960700035097
34,62815,79,0.914,0.27438741564750674
35,79510,100,0.911,0.2723415026664734
36,85075,107,0.909,0.25907930421829223
37,106540,134,0.922,0.23281787538528442
38,100180,126,0.915,0.2500594174861908
39,108925,137,0.921,0.25017595386505126
40,89845,113,0.914,0.25840257668495176
41,96205,121,0.928,0.22690883016586302
42,113695,143,0.92,0.23535051095485687
43,133570,168,0.924,0.23276665806770325
44,170935,215,0.921,0.23472620916366577
45,185245,233,0.927,0.22706352305412292
46,203530,256,0.927,0.2172718346118927
47,217045,273,0.926,0.21796026182174683
48,264745,333,0.932,0.21339107811450958
49,279055,351,0.941,0.19801362729072572
50,205120,258,0.928,0.2177945351600647
51,188425,237,0.928,0.21734862565994262
52,38965,49,0.903,0.2999218645095825
53,38170,48,0.908,0.29508808302879336
54,44530,56,0.914,0.2819847183227539
55,38965,49,0.908,0.289468132019043
56,32605,41,0.904,0.30866716384887694
57,38170,48,0.909,0.28614224767684937
