Experiment 1 ,27_04_2020_23-02-49

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,10800
dataset_percentage,1.0
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,38170,48,0.9704,0.09750178980398923
1,44530,56,0.9693,0.1029188506571576
2,56455,71,0.9732,0.08938839508537202
3,66790,84,0.9753,0.08207978423708119
4,63610,80,0.9766,0.07848886586718727
5,81895,103,0.9753,0.08367753476002254
6,104950,132,0.9752,0.08539201666028239
7,127210,160,0.9779,0.07285206235653022
8,137545,173,0.9786,0.0704055430399254
9,151060,190,0.9767,0.07405542565186042
10,165370,208,0.9784,0.0717989826296689
11,177295,223,0.9781,0.07255833520169835
12,216250,272,0.9778,0.07662204717289424
13,229765,289,0.9788,0.07217431498146616
14,255205,321,0.9791,0.06983061468580272
15,330730,416,0.9802,0.06251873792369152
16,393535,495,0.9812,0.06288758962698048
17,395920,498,0.9796,0.0720401751379366
18,484165,609,0.9769,0.0797483097755583
19,441235,555,0.977,0.07788816996144597
20,450775,567,0.9822,0.06159199748597457
21,510400,642,0.9811,0.06563245676880615
22,434080,546,0.9801,0.0689610215668683
23,563665,709,0.9795,0.06805822126193088
24,760825,957,0.9781,0.0743545056640287
25,656680,826,0.9744,0.0839547774431936
26,850660,1070,0.9788,0.07399066729519109
27,574000,722,0.981,0.06895698188044189
28,471445,593,0.9798,0.06831137218687218
29,580360,730,0.9759,0.0864830836881316
30,734590,924,0.9785,0.07762118300825824
31,741745,933,0.9799,0.06665938062297647
32,666220,838,0.9812,0.07063688748267305
33,619315,779,0.9795,0.0720892955430143
34,619315,779,0.978,0.07906442616955756
35,521530,656,0.9788,0.07403101975509198
36,810115,1019,0.978,0.07628215135794598
37,636010,800,0.9791,0.06964918485526869
38,429310,540,0.9799,0.06794727185757365
39,636010,800,0.9801,0.06935669054793543
40,445210,560,0.9786,0.06945543994238833
41,654295,823,0.9779,0.08049250191216706
42,793420,998,0.9807,0.06660321695641032
43,500860,630,0.9835,0.054368071787437654
44,628060,790,0.9797,0.0706105052873434
45,567640,714,0.9806,0.06751711126728914
46,834760,1050,0.9792,0.07449249780345708
47,710740,894,0.9795,0.07435684503719239
48,765595,963,0.9772,0.08165639087051822
49,981040,1234,0.9799,0.07518781329555205
50,1200460,1510,0.9789,0.07744381312654805
51,670990,844,0.9814,0.07058534110970795
52,753670,948,0.9781,0.07863426176307549
53,823630,1036,0.9821,0.062093739295142586
54,684505,861,0.9794,0.07224557849114645
55,1163890,1464,0.9792,0.07864732563991637
56,1283935,1615,0.9833,0.06472746348628862
57,769570,968,0.9785,0.07777682135848445
58,939700,1182,0.9826,0.06459370031207218
59,898360,1130,0.9758,0.08580319426522329
60,946855,1191,0.9782,0.07770629308719654
61,628060,790,0.9801,0.07089298969972879
62,732205,921,0.9801,0.06782801558244682
63,1196485,1505,0.9811,0.07320461009122227
64,1016020,1278,0.9812,0.06842291017596763
