Experiment 3 ,08_04_2020_06-40-44

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,10800
dataset_percentage,1.0
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,100
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.6

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,72758,2,0.9766,0.09089429406750787
1,72758,2,0.977,0.09292553975355404
2,86223,2,0.9752,0.10477852942461469
3,82203,2,0.9753,0.10418170279670302
4,99665,2,0.9782,0.08815320415270217
5,97585,2,0.9771,0.09557363946829282
6,81100,1,0.979,0.07666894595538615
7,81100,1,0.9757,0.09151923635878484
8,105907,2,0.9758,0.10442430275859406
9,108261,2,0.9789,0.08865512381656808
10,105222,2,0.9777,0.09677165063313732
11,127413,2,0.9799,0.08336736397015475
12,114453,2,0.978,0.09300100908667591
13,113532,2,0.9776,0.09278546720296353
14,108130,1,0.9804,0.07668760447999957
15,120055,1,0.9798,0.0729531031577324
16,133570,1,0.9787,0.08097341030172611
17,125620,1,0.9787,0.07746104970090419
18,125620,1,0.9817,0.07063292844342141
19,120850,1,0.9769,0.09337701979142002
20,125620,1,0.978,0.08578785115137871
21,131185,1,0.9793,0.08041613117739034
22,140725,1,0.9783,0.08610623451020438
23,167755,1,0.9769,0.08781743444842105
24,132775,1,0.9772,0.08851865517978877
25,132775,1,0.9816,0.07466770936998728
26,118465,1,0.9802,0.07526498952489127
27,132775,1,0.9781,0.08188344168634067
28,131980,1,0.981,0.07666449172466873
29,151855,1,0.9777,0.08234008500858554
30,126415,1,0.9788,0.08263440309421749
31,142315,1,0.9795,0.08143965120004687
32,126415,1,0.9796,0.07879929759855876
33,155830,1,0.9796,0.07956308698613793
34,190015,1,0.9772,0.08865144832049318
35,201145,1,0.98,0.07793343572823996
36,167755,1,0.9798,0.07301329922613367
37,228175,1,0.9797,0.08774864889215678
38,211480,1,0.9788,0.08341776867614153
39,271105,1,0.9792,0.08068484438780288
40,186835,1,0.9814,0.07562689203951559
41,271105,1,0.9801,0.07958963076475829
42,287005,1,0.9803,0.0846886834185687
43,269515,1,0.9749,0.09698467846626009
44,269515,1,0.9815,0.07175049985064616
45,269515,1,0.9808,0.07423409065456998
46,257590,1,0.9804,0.08402644965911532
47,257590,1,0.976,0.10367181374389693
48,199555,1,0.9798,0.08370411899158507
49,199555,1,0.976,0.10132385489602257
50,209890,1,0.9806,0.0754637797426938
51,255205,1,0.983,0.07982603704882663
52,255205,1,0.9813,0.07320400350673253
53,226585,1,0.9821,0.0758383416179724
54,224995,1,0.9791,0.09429642126679445
55,229765,1,0.9801,0.08256904805708146
56,222610,1,0.981,0.08177323985357907
57,286210,1,0.9799,0.07945923170911291
58,218635,1,0.9778,0.08864899057698894
59,197170,1,0.9765,0.09185907098268944
60,155830,1,0.9793,0.08468385178437383
