Experiment 1 ,25_03_2020_22-27-46

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,29425,1,0.905,0.303927640914917
1,31311,2,0.913,0.26961314177513124
2,29213,3,0.921,0.25660542178153994
3,37005,2,0.919,0.2452521960735321
4,37005,2,0.918,0.25425422394275665
5,35942,3,0.909,0.2752720494270325
6,37046,3,0.904,0.279140159368515
7,42821,2,0.916,0.24800997257232665
8,49818,2,0.919,0.24508159041404723
9,43981,2,0.916,0.24361549949645997
10,97000,1,0.915,0.26824700355529785
11,94605,2,0.92,0.23248608815670013
12,130575,2,0.923,0.2441488106250763
13,167835,2,0.942,0.19291526830196382
14,148805,2,0.93,0.18909565114974974
15,114205,2,0.936,0.2046003851890564
16,175468,2,0.93,0.2144365487098694
17,177565,2,0.934,0.2054446912407875
18,180360,2,0.922,0.239471902012825
19,155535,2,0.926,0.2293062332868576
20,174156,2,0.93,0.19711706352233888
21,194551,2,0.928,0.22050762021541595
22,201291,2,0.932,0.21935337460041046
23,221237,2,0.939,0.20040175139904023
24,221237,2,0.932,0.1946879066824913
25,263759,2,0.929,0.24009342247247695
26,294775,2,0.926,0.21430493462085723
27,371375,2,0.945,0.19859929436445237
28,316095,2,0.932,0.21848361963033677
29,385669,3,0.939,0.21484226661920547
30,399855,2,0.937,0.1932233681678772
31,362919,2,0.94,0.21990634244680404
32,472931,2,0.935,0.22680187785625458
33,499860,2,0.94,0.19161581361293792
34,561905,2,0.943,0.1945234544351697
35,435228,2,0.944,0.17892892849445344
36,537646,2,0.94,0.18704435312747955
37,596525,2,0.924,0.2519651748538017
38,672525,2,0.938,0.18504908204078674
39,464604,2,0.935,0.209127464517951
40,826023,2,0.944,0.2002307623028755
41,808395,2,0.947,0.1827620475590229
42,989869,2,0.933,0.2283706287741661
43,842701,2,0.943,0.2095468022376299
44,842701,2,0.933,0.23344897368550302
45,1047198,2,0.93,0.24024807661771774
46,708429,2,0.936,0.22817628654837607
47,975339,2,0.935,0.21582611724734307
48,975339,2,0.938,0.2023848524093628
49,1027443,2,0.941,0.20227447783946992
50,808399,2,0.935,0.24071495921909808
51,743151,2,0.93,0.22737838512659073
52,792811,2,0.952,0.1696179237961769
53,809763,2,0.922,0.24516776385903358
54,859165,2,0.936,0.2330855670571327
55,839845,2,0.941,0.21405274952203035
56,1068086,2,0.92,0.25968517780303957
57,603259,2,0.936,0.23503700375556946
58,661923,2,0.93,0.2093115861415863
59,1051747,3,0.934,0.2279497567154467
60,617637,2,0.941,0.19517653426527978
61,665799,2,0.936,0.21249344930052758
62,676761,2,0.948,0.15686022756248713
63,551103,2,0.925,0.27797746723890304
64,690891,2,0.933,0.23408244548738003
65,833218,2,0.945,0.1882867700755596
66,617847,2,0.934,0.2325907842516899
67,763027,2,0.937,0.23872770416736602
68,714161,2,0.933,0.24177647387981416
69,783096,2,0.942,0.19922448456287384
70,680570,2,0.945,0.21021679723262787
71,973875,2,0.938,0.22308202857524156
72,968232,2,0.942,0.1966654626429081
73,1463451,2,0.94,0.24928500682115554
74,1231701,2,0.937,0.23028567904233932
75,1319159,2,0.927,0.2831931230723858
76,985015,1,0.934,0.2208158861398697
77,1342763,2,0.929,0.2517504675388336
78,1200460,1,0.932,0.2079926006793976
79,1169455,1,0.916,0.305502233505249
80,1519255,1,0.941,0.18742677879333497
81,1519255,1,0.947,0.17436608594655992
82,1519255,1,0.938,0.204445343375206
83,1519255,1,0.945,0.17289395374059677
84,1519255,1,0.936,0.19790486991405487
85,1410340,1,0.949,0.17266013079881667
86,1796710,1,0.946,0.17542903625965117
87,1796710,1,0.937,0.18203432977199555
88,1396825,1,0.938,0.20063764905929565
89,1410340,1,0.942,0.18471646988391877
90,1561390,1,0.933,0.19194193524122238
91,1489045,1,0.945,0.1784650265276432
92,1489045,1,0.941,0.17807640755176543
93,1297450,1,0.945,0.17840405154228212
94,1455655,1,0.932,0.21729639449715615
95,1455655,1,0.939,0.18604179126024245
96,1874620,1,0.935,0.21555901369452476
97,2320615,1,0.947,0.1916415894627571
98,2563090,1,0.94,0.18272499892115593
99,3032140,1,0.926,0.26506917279958725
100,2563090,1,0.944,0.1981458249092102
101,2563090,1,0.943,0.19362478010356426
102,2738785,1,0.952,0.17260464948415757
103,3023395,1,0.947,0.1753073718547821
104,2381035,1,0.935,0.19710805463790892
105,3538555,1,0.95,0.16254284325242044
106,3368425,1,0.942,0.19347364082932472
107,2249065,1,0.933,0.20720256066322326
108,2144920,1,0.946,0.16886343896389008
109,2951050,1,0.947,0.19072738862037658
110,2261785,1,0.936,0.18793185186386108
111,4343095,1,0.92,0.25148750853538515
112,5500615,1,0.949,0.1961289504170418
113,1707670,1,0.946,0.16862694013118745
114,3296080,1,0.942,0.18757172748446466
115,3038500,1,0.938,0.20440423172712327
116,2165590,1,0.945,0.18845718422532082
117,3088585,1,0.947,0.1971143645644188
118,1632145,1,0.94,0.16790442806482314
119,2043160,1,0.933,0.21129288151860237
120,2795230,1,0.943,0.1811790053844452
121,3519475,1,0.927,0.2691144351959229
122,2795230,1,0.948,0.17873610931634903
123,2912095,1,0.928,0.24439522659778595
124,3608515,1,0.938,0.19890691235661506
125,2551165,1,0.937,0.18867814737558364
126,2921635,1,0.932,0.20334343281388284
127,2693470,1,0.94,0.1970235889405012
128,2444635,1,0.942,0.18266105931997298
129,2659285,1,0.937,0.2030753911435604
130,2792845,1,0.941,0.19102852201461792
131,2659285,1,0.947,0.20102792495489122
132,2842135,1,0.949,0.1782135517001152
133,3108460,1,0.949,0.17293076844513416
134,3351730,1,0.936,0.2118122272491455
135,3059965,1,0.94,0.17213267001509666
136,3764335,1,0.95,0.19036924993991852
137,4752520,1,0.946,0.17727820765972138
138,4752520,1,0.948,0.19026740887761115
139,2291200,1,0.941,0.19428092151880264
140,2291200,1,0.934,0.22096483147144316
141,2291200,1,0.94,0.19023722994327547
142,2291200,1,0.948,0.1780540056526661
143,2438275,1,0.937,0.19541044980287553
144,2392565,2,0.947,0.19417084506154061
145,2996365,1,0.941,0.21384084799140693
146,1863490,1,0.949,0.180303032040596
147,2768200,1,0.946,0.19395525100827218
148,2391370,1,0.945,0.16659332245588301
149,2241910,1,0.931,0.2106412272453308
150,2241910,1,0.948,0.17352872598171235
151,2615560,1,0.941,0.18031659589707852
152,3367630,1,0.921,0.26640896272659303
153,3292900,1,0.947,0.1898021717220545
