Experiment 3 ,26_03_2020_06-27-49

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,39760,2,0.915,0.29007107305526736
1,40995,3,0.906,0.30064685010910036
2,31261,3,0.912,0.2774317526817322
3,41979,4,0.905,0.2970390532016754
4,41454,5,0.919,0.272415864944458
5,41532,5,0.908,0.26552187037467956
6,44829,5,0.907,0.2869661545753479
7,61923,5,0.922,0.23648603630065917
8,59645,4,0.913,0.2453704751729965
9,58481,4,0.915,0.24779275727272035
10,69774,3,0.909,0.26174002969264987
11,43165,4,0.919,0.258450381398201
12,58141,4,0.923,0.23431806540489197
13,58288,5,0.92,0.26490051156282424
14,75905,4,0.922,0.2663804223537445
15,75626,4,0.926,0.24346575230360032
16,75626,4,0.922,0.24033098387718202
17,72981,4,0.922,0.23785145449638367
18,75626,4,0.923,0.2308337483406067
19,73952,4,0.916,0.23727234363555907
20,74057,4,0.935,0.228395889878273
21,87398,4,0.931,0.22255779230594636
22,87276,6,0.916,0.2611363883018494
23,93341,4,0.933,0.24634716880321503
24,107076,4,0.923,0.2443269600868225
25,112357,4,0.928,0.2430455777645111
26,94577,4,0.929,0.23320360708236695
27,84669,5,0.918,0.26874712824821473
28,153937,5,0.929,0.25936360502243044
29,155269,6,0.929,0.26450233879685403
30,217923,5,0.934,0.2122878407239914
31,198792,5,0.939,0.20762454748153686
32,198299,4,0.93,0.2254923233985901
33,195885,4,0.931,0.22037488293647767
34,194167,5,0.917,0.26192796498537063
35,193817,4,0.937,0.18604279953241348
36,192725,4,0.886,0.45703987312316896
37,185559,3,0.938,0.21621168124675752
38,193481,4,0.937,0.22680378985404967
39,183013,4,0.937,0.22421668803691863
40,218051,4,0.937,0.20025088715553283
41,218015,4,0.934,0.21606817847490312
42,210926,4,0.936,0.19287481307983398
43,196199,4,0.942,0.1905909947156906
44,197989,5,0.933,0.23959254002571106
45,201155,4,0.918,0.23845388932526113
46,242714,4,0.944,0.18452418011426924
47,243053,4,0.948,0.1936577570438385
48,198886,5,0.931,0.2101560726314783
49,198886,5,0.929,0.2081778304874897
50,297594,5,0.922,0.2578217035531998
51,200863,4,0.927,0.2474245612025261
52,303913,5,0.886,0.4829442687034607
53,307755,5,0.936,0.21505320239067077
54,308535,4,0.93,0.21879524624347688
55,308624,5,0.936,0.21230145213007928
56,319131,5,0.944,0.20251024405658244
57,321055,4,0.916,0.3325423860549927
58,318849,4,0.929,0.22109286347031593
59,373384,4,0.888,0.42047471570968625
60,375669,5,0.937,0.19096643167734145
61,470194,5,0.935,0.2110497463196516
62,372994,4,0.955,0.17874452316761016
63,467801,4,0.903,0.3277802047729492
64,466827,3,0.932,0.2171039622426033
65,475445,4,0.947,0.186007521122694
66,466827,3,0.943,0.19199091213941574
67,529839,3,0.94,0.18195391780138015
68,603688,3,0.938,0.2006728358566761
69,539637,3,0.931,0.23286642462015153
70,537536,4,0.94,0.21939252483844757
71,378779,4,0.948,0.1831493302732706
72,370666,3,0.936,0.21706580245494841
73,598599,5,0.907,0.3478003851175308
74,474899,4,0.939,0.21573922684788704
75,573575,4,0.926,0.2796294840276241
76,736976,4,0.937,0.21928843873739243
77,729882,4,0.931,0.25392128896713256
78,712457,4,0.945,0.20971882408857345
79,737268,4,0.94,0.19095721843838692
80,809906,4,0.938,0.2008467666953802
81,818580,4,0.891,0.41021757006645204
82,821822,4,0.93,0.19916100050508975
83,820249,3,0.931,0.23089993607252837
84,740126,4,0.945,0.18259559455513955
85,738553,3,0.926,0.2436180120706558
86,575161,3,0.935,0.2085717111825943
87,968323,3,0.956,0.15752624148130417
88,968323,3,0.95,0.18802567157149314
89,895988,3,0.943,0.20825491175055505
90,895988,3,0.938,0.19830525517463685
91,856657,3,0.939,0.2046688514947891
92,854787,3,0.95,0.19130599947273733
93,1010710,3,0.945,0.20341249322891236
94,1010710,3,0.945,0.19735641300678253
95,1010710,3,0.936,0.22748625645041465
96,806415,3,0.936,0.24118093134462834
97,708528,3,0.941,0.1926898424476385
98,696894,3,0.942,0.19257047414779663
99,708528,3,0.942,0.20633373987674714
100,696894,3,0.943,0.1994650083333254
101,699387,3,0.946,0.19047557830810546
102,696894,3,0.931,0.24001578831672668
103,782643,3,0.948,0.1762948734164238
104,782643,3,0.938,0.18956245270371436
105,935463,3,0.948,0.17867176961898804
106,935463,3,0.93,0.2618278714418411
107,1197185,3,0.93,0.24830405569076539
108,1197185,3,0.946,0.21162040294706821
109,747834,3,0.937,0.20277412766218186
110,1174881,3,0.951,0.1858602919280529
