Experiment 3 ,26_03_2020_03-27-47

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,37015,2,0.913,0.28630884730815886
1,38683,3,0.899,0.3010329375267029
2,31499,3,0.919,0.2529824571609497
3,36789,2,0.914,0.27479774808883667
4,31654,2,0.903,0.28604725694656374
5,40583,3,0.916,0.2611944432258606
6,50937,3,0.925,0.2541634819507599
7,53043,3,0.912,0.2720060675144196
8,63581,3,0.929,0.2406384800672531
9,78959,3,0.919,0.24115038895606994
10,80587,4,0.926,0.22460284280776976
11,96294,2,0.921,0.24919836294651032
12,101121,2,0.924,0.22548042684793473
13,99357,2,0.935,0.21302157419919968
14,104114,3,0.93,0.22234787583351134
15,117803,3,0.928,0.239141974568367
16,122215,3,0.928,0.2209518910050392
17,144916,3,0.935,0.21317575645446776
18,148907,3,0.932,0.1997191755771637
19,122739,3,0.932,0.22022288262844086
20,148023,2,0.934,0.22490948259830476
21,160175,3,0.927,0.22908644545078277
22,130559,3,0.922,0.24053568768501282
23,174969,2,0.918,0.22330275988578796
24,156150,2,0.933,0.1967607043981552
25,163847,3,0.922,0.26341524183750153
26,196224,2,0.925,0.21336841464042663
27,157710,2,0.931,0.2057867158651352
28,231068,2,0.933,0.19132677859067918
29,286195,3,0.932,0.20801300436258316
30,381310,2,0.93,0.2289784324169159
31,304871,3,0.933,0.1936613336801529
32,467643,2,0.934,0.2182874328494072
33,542779,2,0.944,0.1915460740327835
34,672363,2,0.94,0.21588673013448714
35,766311,2,0.933,0.20018788805603982
36,878580,2,0.937,0.20727937030792237
37,878580,2,0.942,0.18784694930911064
38,993519,2,0.935,0.2024920482635498
39,954831,2,0.936,0.21014845710992813
40,1199225,2,0.938,0.2184409334361553
41,1199225,2,0.935,0.23094164538383483
42,1212309,2,0.94,0.2027466793805361
43,865677,2,0.94,0.18173156106472016
44,898911,2,0.94,0.19089740288257598
45,714345,2,0.943,0.18235233491659164
46,661275,2,0.938,0.20650699773430825
47,469554,2,0.93,0.22217172861099244
48,694567,2,0.933,0.21368147665262222
49,536955,2,0.933,0.21107843893766404
50,636847,2,0.94,0.1828762533813715
51,583719,2,0.928,0.20359564065933228
52,837215,2,0.941,0.19106056064367294
53,541995,2,0.934,0.2037905850112438
54,707781,2,0.945,0.19268067681789397
55,864366,2,0.933,0.1916450511813164
56,824883,2,0.941,0.19418978688120841
57,511799,3,0.928,0.24085691249370575
58,799487,3,0.934,0.22138528645038605
59,859190,2,0.936,0.21765039962530136
60,691944,2,0.936,0.18981644809246062
61,727953,2,0.937,0.2052946492433548
62,670062,2,0.942,0.17775038170814514
63,563772,2,0.936,0.19646535414457322
64,604896,2,0.938,0.17739221793413162
65,822715,2,0.936,0.21409130316972733
66,950855,2,0.946,0.18133793705701828
67,970665,2,0.941,0.194422505736351
68,815375,2,0.931,0.2048377902507782
69,964623,2,0.934,0.2282477303147316
70,810431,2,0.941,0.1920092629492283
71,890174,2,0.94,0.18987010610103608
72,846310,2,0.932,0.22748073947429656
73,782365,2,0.935,0.2297762073278427
74,735817,2,0.943,0.19723209768533706
75,1030455,2,0.951,0.17170134231448173
76,794469,2,0.941,0.19248040246963502
77,635655,2,0.929,0.22204384207725525
78,798377,2,0.937,0.2211484123468399
79,1497465,2,0.932,0.2384394656419754
80,983471,2,0.941,0.20202194172143936
81,1772550,2,0.932,0.23549896478652954
82,1772550,2,0.937,0.20452813950181006
83,1772550,2,0.936,0.202978384912014
84,1772550,2,0.937,0.20760096377134324
85,1772550,2,0.947,0.17949901112914085
86,2001201,2,0.935,0.21898606225848197
87,2573535,2,0.941,0.2078124354481697
88,2478095,2,0.928,0.2177938247025013
89,2860899,2,0.94,0.19232588858902455
90,2194940,2,0.938,0.2570782039165497
91,3253490,2,0.937,0.2092809464931488
92,3624949,2,0.942,0.22332594418525695
93,2501391,2,0.941,0.21893711864948273
94,4592451,2,0.936,0.22899839866161348
95,3976881,2,0.95,0.18621868109703063
96,3734199,2,0.944,0.20377538484334945
97,4891407,2,0.938,0.21622288277745247
98,4862447,2,0.926,0.2670552427172661
99,4239252,2,0.949,0.1652243769839406
100,5392277,2,0.942,0.1915303193330765
101,4117299,2,0.925,0.2613556777685881
102,5743473,2,0.941,0.21151309043169023
103,4650165,2,0.951,0.194587216347456
104,3208940,2,0.936,0.20688525450229645
105,3718203,2,0.935,0.2349406526684761
106,3718203,2,0.949,0.17117162305116654
107,5520679,2,0.943,0.21613244707882404
108,3752111,2,0.923,0.2514532482624054
109,4596883,2,0.926,0.2181861031651497
110,3414316,2,0.928,0.25490289559215307
111,3741485,2,0.944,0.199568513661623
112,4625465,2,0.937,0.22484821280837058
113,4465725,2,0.92,0.30796599574387074
114,4375496,2,0.931,0.24788485181331635
115,4013484,2,0.927,0.24415711203217508
116,4077327,2,0.942,0.20092767034471035
117,3084734,3,0.928,0.23131732803583144
118,3617799,2,0.944,0.2223485198020935
119,4595248,3,0.933,0.24381497921794654
120,4289740,2,0.939,0.22976817667484284
121,4222335,2,0.947,0.19763532042503357
122,4214991,2,0.935,0.2576744669079781
123,5360127,2,0.92,0.27143931001424787
124,4111183,2,0.939,0.23475285482406616
125,4551675,2,0.935,0.199456527531147
126,4988597,2,0.912,0.27836081647872923
127,3338335,2,0.935,0.21950527426600455
128,4820028,2,0.937,0.21986693413555622
129,3307055,2,0.941,0.23866312807798384
130,3329905,2,0.941,0.21673826451599598
131,3954885,2,0.934,0.21567019890248776
132,4123575,2,0.929,0.25155646735429765
133,2861265,2,0.941,0.20979060819000006
134,3873653,2,0.933,0.24083330577611922
135,4437278,2,0.943,0.21186897206306457
