Experiment 2 ,28_03_2020_08-45-16

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,4
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,37374,2,0.904,0.3225952397584915
1,34195,1,0.905,0.3235629231929779
2,37375,1,0.904,0.305634152173996
3,28275,2,0.888,0.3222685234546661
4,26506,2,0.906,0.3177952666282654
5,32605,1,0.902,0.31623791790008543
6,26205,2,0.908,0.31067334961891174
7,35925,2,0.9,0.3255308690071106
8,46455,2,0.91,0.2889962737560272
9,48401,3,0.903,0.2726010559797287
10,51074,3,0.905,0.2687997336387634
11,50689,4,0.907,0.29133491241931914
12,51269,5,0.914,0.2375286008119583
13,54235,3,0.92,0.24472434616088867
14,70363,4,0.9,0.28139853620529176
15,61685,3,0.903,0.2875784898996353
16,69312,3,0.914,0.2487718435525894
17,64371,2,0.917,0.2640510479807854
18,72192,2,0.914,0.2707147171497345
19,72192,2,0.927,0.23790423917770387
20,79222,2,0.918,0.25875654089450834
21,75922,4,0.925,0.23886812281608583
22,94416,4,0.927,0.2663867974281311
23,94349,4,0.909,0.2678623692989349
24,96939,4,0.927,0.25717935276031495
25,121642,5,0.909,0.2872818001508713
26,129969,4,0.931,0.23073348569869995
27,82749,4,0.914,0.27070652079582214
28,130799,5,0.893,0.3335419468283653
29,130799,5,0.913,0.2718232924938202
30,165909,5,0.922,0.24072236585617066
31,166007,5,0.911,0.2673454757928848
32,165805,4,0.925,0.23383516323566436
33,164961,3,0.923,0.24127286767959594
34,162975,2,0.927,0.2163307616710663
35,220728,2,0.928,0.22704912567138671
36,131369,3,0.92,0.2558600789904594
37,209069,3,0.935,0.2112021805047989
38,186712,2,0.923,0.22937743973731994
39,199507,2,0.927,0.23195746219158173
40,158563,2,0.917,0.26894746828079225
41,199215,2,0.929,0.21909702622890473
42,164004,3,0.929,0.223667454123497
43,199831,3,0.915,0.29913567018508913
44,259676,3,0.924,0.22888290143013001
45,318758,3,0.926,0.23803969407081604
46,290415,2,0.934,0.20161552166938781
47,307621,2,0.936,0.19789313864707947
48,239393,2,0.928,0.20662069261074067
49,319607,2,0.929,0.1917895369529724
50,287187,2,0.928,0.21634896636009215
51,354111,2,0.925,0.23586831259727478
52,352285,2,0.915,0.24910912704467775
53,400779,2,0.934,0.18750864070653916
54,395547,2,0.928,0.22915997552871703
55,461644,2,0.928,0.21811866652965545
56,348955,2,0.931,0.1994875077009201
57,519765,2,0.934,0.20847344821691513
58,519765,2,0.934,0.21003397250175476
59,352515,2,0.938,0.2017214493751526
60,454875,2,0.93,0.21082560759782792
61,466375,2,0.929,0.2087569079399109
62,547143,2,0.937,0.20288037204742432
63,646350,2,0.93,0.20120112454891204
64,664800,2,0.943,0.19309339421987534
65,709475,2,0.944,0.19929913568496704
66,708295,3,0.923,0.26677833020687103
67,771693,2,0.936,0.18707262444496156
68,785800,2,0.936,0.2215467663407326
69,585297,2,0.923,0.2277597222328186
70,475525,2,0.933,0.2169078695178032
71,841245,2,0.92,0.2618331963419914
72,1090545,2,0.922,0.2536353789567947
73,919149,2,0.935,0.20365785884857177
74,809175,2,0.936,0.22686740770936012
75,482055,2,0.926,0.2456624954342842
76,518847,2,0.937,0.18811329492926598
77,609867,2,0.94,0.20463672582805156
78,1063049,3,0.932,0.21504826039075853
79,1292850,2,0.945,0.18908175598084925
80,1292850,2,0.924,0.22034813183546068
81,1274287,2,0.903,0.3533493574261665
82,1043845,1,0.934,0.19980965864658357
83,1156735,1,0.939,0.2096949090361595
84,975475,1,0.937,0.20404429519176484
85,1077235,1,0.932,0.21296584635972976
86,1109035,1,0.933,0.19720174950361252
87,1276780,1,0.94,0.1797830765247345
88,1109035,1,0.933,0.193733082652092
89,1173430,1,0.929,0.2100199567079544
90,1273233,2,0.937,0.20007894045114516
91,1514795,2,0.931,0.18904482579231263
92,1085185,1,0.938,0.20420099812746048
