Experiment 3 ,28_03_2020_03-45-14

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,3
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,17
mating_pool ,17
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,29726,4,0.887,0.3584801049232483
1,39165,2,0.905,0.2971428637504578
2,27631,2,0.901,0.31270852661132814
3,32714,3,0.902,0.321074812412262
4,34994,2,0.9,0.3078449909687042
5,44431,2,0.907,0.2901454486846924
6,48075,2,0.904,0.3146221709251404
7,49402,3,0.896,0.31706658911705016
8,54135,3,0.9,0.3046083147525787
9,61487,3,0.893,0.30701706624031067
10,50940,3,0.892,0.3191255731582642
11,66327,3,0.911,0.26267815017700197
12,45161,3,0.915,0.26167016315460206
13,68380,1,0.909,0.28724810647964477
14,101261,3,0.922,0.24185047507286073
15,98641,4,0.919,0.24255939102172852
16,88503,4,0.911,0.24743391394615175
17,95735,4,0.911,0.26499321806430814
18,78785,3,0.913,0.24965992176532745
19,95645,3,0.92,0.23876210284233093
20,94919,3,0.912,0.25761495208740237
21,96317,3,0.914,0.24770830821990966
22,122374,4,0.918,0.2606566264629364
23,115964,3,0.923,0.23104329884052277
24,101571,3,0.907,0.26310218715667727
25,126533,3,0.921,0.25335081124305725
26,110204,3,0.929,0.22387549591064454
27,94169,4,0.908,0.2612440105676651
28,132411,3,0.913,0.2721689056158066
29,89243,4,0.907,0.29070594668388366
30,80722,3,0.906,0.2575435984134674
31,110687,3,0.913,0.2674165185689926
32,84635,3,0.91,0.27406471109390257
33,92237,3,0.909,0.25680765891075136
34,117670,2,0.919,0.2480027892589569
35,161615,2,0.913,0.24725122880935668
36,197017,2,0.924,0.22390661954879762
37,196783,2,0.919,0.2601315690279007
38,197111,3,0.925,0.2228018820285797
39,166583,2,0.927,0.2291970499753952
40,242906,3,0.917,0.2590650842189789
41,231573,2,0.924,0.2214958870410919
42,219032,2,0.922,0.23875960659980774
43,331170,2,0.93,0.21915486371517182
44,293653,2,0.927,0.2283844324350357
45,316579,2,0.928,0.23804798030853272
46,406905,2,0.928,0.210818230509758
47,345807,2,0.919,0.25966740143299105
48,327915,2,0.919,0.2266885657310486
49,401385,2,0.933,0.2116471675634384
50,410207,3,0.924,0.2410694751739502
51,361595,2,0.92,0.21413872075080873
52,375491,2,0.915,0.26826518487930295
53,481211,2,0.926,0.22994322168827058
54,398599,2,0.925,0.22001143288612365
55,441639,2,0.935,0.21432489717006684
56,606535,2,0.934,0.18361601269245148
57,588675,2,0.927,0.21558899879455568
58,711850,2,0.934,0.18987301182746888
59,747650,2,0.93,0.21941861927509307
60,608271,2,0.929,0.22488238370418548
61,684815,2,0.923,0.21729684281349182
62,715527,2,0.935,0.22114265763759614
63,487299,2,0.923,0.22381561845541
64,915195,2,0.925,0.2305837648510933
65,788457,2,0.932,0.19924540054798126
66,700347,2,0.924,0.24601436114311218
67,912503,2,0.907,0.2836380796432495
68,893019,2,0.931,0.20335397064685823
69,1016538,2,0.94,0.1770779447555542
70,986271,2,0.938,0.18408678460121156
71,1036275,2,0.938,0.22216899883747102
72,1462011,2,0.928,0.2248151661157608
73,792035,2,0.919,0.24751403352618218
74,1122631,3,0.927,0.23245006465911866
75,818796,2,0.932,0.19149953556060792
76,1333608,2,0.934,0.20764333653450012
77,1004176,2,0.921,0.2182713303565979
78,1028701,2,0.934,0.19877983486652373
79,1100028,2,0.928,0.21890851521492005
80,1531184,2,0.92,0.23472626435756683
81,1115099,2,0.922,0.20968458652496338
82,925235,2,0.922,0.24946090304851531
83,1116210,2,0.93,0.2154345622062683
84,837363,2,0.935,0.20281557869911193
85,1310605,2,0.939,0.211603495657444
86,1559415,2,0.935,0.21739857840538024
87,1056591,2,0.925,0.22689899414777756
88,1866356,2,0.925,0.23475223606824874
89,1147407,2,0.938,0.19036988908052443
90,1915960,1,0.93,0.2206493401527405
91,1422435,2,0.936,0.218650597140193
92,1317647,2,0.91,0.2821361004114151
93,3104485,1,0.936,0.1996353348493576
94,1584445,1,0.933,0.20256544029712678
95,1959685,1,0.92,0.25153527307510376
96,1951735,1,0.924,0.237123783826828
97,1572540,2,0.917,0.2605850930213928
98,1155679,2,0.931,0.20225151574611663
99,1595275,2,0.935,0.21388177382946014
100,2173540,1,0.924,0.2389463984966278
101,2391370,1,0.933,0.223018698990345
102,1708465,1,0.923,0.21054363656044006
103,1318355,2,0.94,0.19260442450642587
104,3186370,1,0.93,0.21015956565737726
105,2385010,1,0.939,0.19969862866401672
106,3047603,2,0.94,0.19439932292699813
107,3260305,1,0.934,0.21316525530815125
108,2132200,1,0.933,0.18925932282209396
109,3670525,1,0.901,0.3017228216528893
110,3181600,1,0.923,0.23446695685386656
111,3414535,1,0.934,0.19160665291547777
112,2509030,1,0.933,0.19054467713832854
113,4661095,1,0.934,0.19482234466075898
