Experiment 3 ,29_03_2020_03-20-01

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,3
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,17
mating_pool ,17
mutation_rate,0.2

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,22017,3,0.899,0.3350477775335312
1,22017,3,0.891,0.32453476917743684
2,41212,2,0.896,0.3052647259235382
3,41212,2,0.904,0.31585541248321536
4,42999,3,0.903,0.2843798599243164
5,35174,3,0.9,0.3415337920188904
6,42999,3,0.907,0.2786502523422241
7,45269,4,0.899,0.30117318153381345
8,42268,3,0.903,0.2901636605262756
9,43085,3,0.914,0.2892678315639496
10,45269,4,0.91,0.27906571578979494
11,45634,3,0.906,0.3000152468681335
12,44799,3,0.906,0.3036506350040436
13,47965,4,0.892,0.32867680191993714
14,48047,3,0.908,0.2993205292224884
15,42225,3,0.882,0.3530877561569214
16,53087,3,0.894,0.30822581791877746
17,53087,3,0.899,0.27963418650627136
18,52737,3,0.892,0.3083553144931793
19,52737,3,0.912,0.27002940893173216
20,64001,3,0.911,0.2750390062332153
21,63773,3,0.906,0.3049852297306061
22,52687,3,0.906,0.3055880355834961
23,61655,3,0.906,0.3005839786529541
24,63883,3,0.909,0.27944055581092836
25,53087,3,0.91,0.2799239339828491
26,64493,4,0.911,0.2847132053375244
27,75275,3,0.918,0.2656644549369812
28,62875,3,0.9,0.28587578105926514
29,75338,3,0.919,0.26558150148391724
30,75275,3,0.914,0.2678468828201294
31,75275,3,0.897,0.28782744240760805
32,81703,3,0.906,0.26715775895118715
33,75413,3,0.914,0.2714775505065918
34,75275,3,0.907,0.2685268368721008
35,81337,3,0.913,0.25874127638339994
36,75275,3,0.898,0.2786466212272644
37,81337,3,0.913,0.24997497403621674
38,81703,3,0.906,0.2784655110836029
39,81971,3,0.906,0.2732148172855377
40,101667,3,0.911,0.2678722553253174
41,101803,3,0.898,0.30983102178573607
42,101599,3,0.919,0.2608073498010635
43,81337,3,0.903,0.3345722794532776
44,101803,3,0.922,0.2608456728458405
45,101599,3,0.928,0.22859707713127136
46,80825,3,0.91,0.2612343006134033
47,101599,3,0.91,0.2768580672740936
48,101667,3,0.916,0.24797263193130492
49,101667,3,0.917,0.2550858962535858
50,101667,3,0.91,0.24249217009544372
51,124401,3,0.877,0.3518004608154297
52,117501,2,0.925,0.2358235892057419
53,102057,2,0.921,0.26176789283752444
54,101667,3,0.911,0.2726409890651703
55,100509,2,0.922,0.24682455539703368
56,100509,2,0.918,0.24204329419136048
57,99993,2,0.908,0.2637036466598511
58,99993,2,0.914,0.2468332529067993
59,101667,3,0.92,0.265285945892334
60,115737,2,0.92,0.2551318287849426
61,101667,3,0.92,0.25720086580514906
62,126937,2,0.912,0.26733794474601746
63,127581,2,0.915,0.24332644557952882
64,118383,2,0.921,0.23966517448425292
65,143525,2,0.915,0.2505134756565094
66,134219,2,0.901,0.29595514261722566
67,123975,3,0.916,0.23850055539608
68,121911,2,0.919,0.23066791129112243
69,139636,2,0.927,0.2441910614967346
70,123811,3,0.925,0.26790626227855685
71,143961,2,0.922,0.25225955682992934
72,128783,2,0.917,0.2730261251926422
73,147767,2,0.917,0.2633064471483231
74,143175,2,0.916,0.25317793917655945
75,150535,2,0.911,0.2378403424024582
76,150535,2,0.912,0.26320756316184996
77,160152,2,0.914,0.23953456926345826
78,167095,2,0.909,0.2518793511390686
79,167095,2,0.918,0.24723918569087983
80,167095,2,0.915,0.2796326756477356
81,171870,2,0.915,0.2779999175071716
82,169980,2,0.912,0.26011595833301543
83,202839,2,0.928,0.20802805602550506
84,200220,2,0.918,0.22870348966121673
85,202839,2,0.935,0.20752823865413667
86,244159,2,0.932,0.22839178240299224
87,192660,2,0.918,0.24276583242416383
88,239062,2,0.94,0.21246067678928376
89,231727,2,0.919,0.2404969093799591
90,261015,2,0.92,0.24550830101966858
91,236130,2,0.923,0.23598737609386444
92,231727,2,0.927,0.22760054469108582
93,235612,2,0.926,0.24601825428009033
94,231727,2,0.919,0.26472872626781463
95,231727,2,0.936,0.20479483103752136
96,236389,2,0.935,0.21658524298667908
97,387029,2,0.934,0.21911514019966125
98,248431,2,0.915,0.2223288904428482
99,381247,2,0.928,0.2115533838868141
100,381247,2,0.926,0.21437362957000733
101,378769,2,0.921,0.20853244185447692
102,382073,2,0.922,0.25045461988449097
103,381247,2,0.928,0.21427444911003113
104,381247,2,0.913,0.23558918309211732
105,381247,2,0.925,0.24217394042015075
106,381247,2,0.922,0.22380831265449525
107,378183,2,0.928,0.2211135070323944
108,381247,2,0.916,0.24441186153888703
109,368505,2,0.925,0.25466928410530093
110,385377,2,0.929,0.22029031300544738
111,336723,2,0.924,0.2366254858970642
112,381561,2,0.942,0.17434755170345306
113,381561,2,0.915,0.23913206219673155
114,336723,2,0.925,0.22574455797672272
115,333103,2,0.921,0.23902255725860597
116,451134,2,0.927,0.22469403302669524
117,397685,2,0.913,0.28541443061828614
118,397685,2,0.925,0.20235645604133606
119,387855,2,0.929,0.21700067609548568
120,343487,2,0.938,0.20032453525066377
121,406779,2,0.921,0.2495408412218094
122,361018,2,0.918,0.22300106716156007
123,456909,2,0.931,0.2126995667219162
124,392957,2,0.92,0.2648351048827171
125,461569,2,0.934,0.2074517456293106
126,408877,2,0.93,0.21951867231726646
127,480209,2,0.923,0.20173775225877763
128,466229,2,0.936,0.19032385551929473
129,480209,2,0.928,0.22697965121269226
130,461569,2,0.914,0.23313734126091004
131,474151,2,0.933,0.20439248007535935
132,521807,2,0.937,0.19051839673519136
133,480209,2,0.925,0.22028153598308564
134,418318,2,0.914,0.25124517154693604
135,619041,2,0.932,0.20816820669174194
136,507983,2,0.92,0.2113190232515335
137,548743,2,0.912,0.28124137687683104
138,595363,2,0.917,0.2397795291543007
