Experiment 2 ,07_03_2020_15-38-41

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.selu
initial_max_nodes ,50
loss_function ,Loss.categorical_crossentropy
optimizer ,Optimizer.SGD

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,30220,38,0.862,0.4938751611709595
1,20680,26,0.859,0.529506299495697
2,31015,39,0.86,0.4894458336830139
3,38965,49,0.869,0.492613263130188
4,50095,63,0.861,0.49020498991012573
5,45325,57,0.87,0.4974970827102661
6,65200,82,0.867,0.47155846071243285
7,73945,93,0.875,0.474139799118042
8,78715,99,0.868,0.4811582570075989
9,85870,108,0.858,0.48266091775894165
10,86665,109,0.856,0.48051669549942017
11,99385,125,0.86,0.47032597160339357
12,80305,101,0.865,0.4867801876068115
13,89845,113,0.869,0.47653181552886964
14,112105,141,0.87,0.4656637945175171
15,112105,141,0.866,0.4693574070930481
16,108925,137,0.873,0.4685613951683044
17,127210,160,0.859,0.4766372203826904
18,162985,205,0.866,0.46114524269104
19,91435,115,0.866,0.4708058524131775
20,37375,47,0.864,0.4991113572120667
21,55660,70,0.861,0.4907699604034424
22,55660,70,0.862,0.49910406589508055
23,62815,79,0.858,0.49213013553619384
24,50095,63,0.861,0.480408878326416
25,63610,80,0.867,0.4761398868560791
26,55660,70,0.87,0.48637196826934814
27,73150,92,0.87,0.469307834148407
28,72355,91,0.875,0.47289186573028563
29,65995,83,0.863,0.48566581439971923
30,86665,109,0.868,0.4703407292366028
31,90640,114,0.859,0.4794423818588257
32,98590,124,0.866,0.46401980447769164
33,105745,133,0.87,0.47342654609680174
34,95410,120,0.862,0.48176422452926637
35,111310,140,0.861,0.47181363010406496
36,60430,76,0.863,0.47731207847595214
37,111310,140,0.866,0.4725772743225098
38,55660,70,0.873,0.4699825706481934
39,62815,79,0.861,0.4771595916748047
40,46120,58,0.864,0.4908373050689697
41,54865,69,0.865,0.4861613788604736
42,67585,85,0.864,0.4872374920845032
43,85075,107,0.865,0.4727735886573792
44,56455,71,0.865,0.47096388912200926
45,50890,64,0.862,0.486010274887085
46,69175,87,0.869,0.47598330116271975
47,47710,60,0.863,0.4958014268875122
48,50890,64,0.863,0.4941879730224609
49,58045,73,0.858,0.49577338218688966
50,68380,86,0.872,0.47192963647842406
51,72355,91,0.867,0.4777278633117676
52,69175,87,0.868,0.46333592748641966
53,69175,87,0.863,0.48071611976623535
54,42940,54,0.851,0.5007420439720154
55,41350,52,0.865,0.49374177312850953
56,38965,49,0.863,0.48810175323486327
57,36580,46,0.868,0.49421187448501586
58,46120,58,0.857,0.501265188217163
59,40555,51,0.869,0.4903092260360718
60,58840,74,0.868,0.48272983169555667
61,67585,85,0.864,0.4797585186958313
62,85075,107,0.866,0.46907931327819824
63,105745,133,0.871,0.4735173959732056
64,136750,172,0.867,0.46838085222244263
65,36580,46,0.856,0.5074161081314087
66,31015,39,0.856,0.4984479575157166
67,36580,46,0.868,0.491841628074646
68,36580,46,0.855,0.5031506361961364
69,30220,38,0.857,0.5110583992004395
70,34990,44,0.858,0.5092445411682129
71,29425,37,0.856,0.5088618149757386
72,37375,47,0.866,0.4963305258750916
73,50890,64,0.856,0.49692445373535155
74,50890,64,0.854,0.49603795623779295
75,62815,79,0.857,0.4949893789291382
76,28630,36,0.866,0.49351814126968385
77,60430,76,0.862,0.4880552749633789
78,20680,26,0.854,0.5339714412689209
79,23065,29,0.858,0.5088329110145569
80,23065,29,0.851,0.5230099983215332
81,20680,26,0.858,0.5272923021316528
82,17500,22,0.862,0.5230228328704833
83,23860,30,0.857,0.5282756309509278
84,23065,29,0.862,0.5204136562347412
85,29425,37,0.864,0.5039332342147828
86,19090,24,0.857,0.5218947868347168
87,31015,39,0.853,0.5101644239425659
88,34195,43,0.857,0.49799953651428225
89,36580,46,0.858,0.5018276348114014
90,24655,31,0.86,0.5155705304145813
