Experiment 1 ,09_03_2020_00-07-51

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,33400,42,0.903,0.2987975289821625
1,33400,42,0.91,0.28935029888153074
2,22270,28,0.903,0.312816472530365
3,22270,28,0.896,0.3353137583732605
4,27040,34,0.903,0.30465924167633057
5,27040,34,0.905,0.31032856440544127
6,24655,31,0.907,0.3311921525001526
7,18295,23,0.903,0.32171709203720095
8,22270,28,0.892,0.3299458699226379
9,23860,30,0.896,0.32531691122055056
10,25450,32,0.889,0.3465026395320892
11,21475,27,0.898,0.32062994813919066
12,23860,30,0.903,0.3127838740348816
13,30220,38,0.896,0.3216573233604431
14,15115,19,0.895,0.33892274188995364
15,19090,24,0.902,0.319494215965271
16,23860,30,0.907,0.30656528544425965
17,24655,31,0.889,0.3298964076042175
18,18295,23,0.903,0.32918100476264955
19,16705,21,0.893,0.3613713536262512
20,17500,22,0.9,0.3219331874847412
21,11140,14,0.893,0.3396933145523071
22,14320,18,0.901,0.36088583850860595
23,11935,15,0.886,0.3659778094291687
24,15910,20,0.891,0.34709882688522337
25,12730,16,0.894,0.3521416425704956
26,14320,18,0.895,0.367154944896698
27,12730,16,0.885,0.36730681848526003
28,11140,14,0.888,0.37195309448242186
29,9550,12,0.878,0.3909329447746277
30,10345,13,0.881,0.3893326301574707
31,9550,12,0.879,0.39520236682891846
32,11935,15,0.895,0.36886221885681153
33,14320,18,0.893,0.35359494066238406
34,15910,20,0.892,0.3564024958610535
35,17500,22,0.894,0.32783984231948854
36,15910,20,0.885,0.3624645886421204
37,20680,26,0.9,0.33496027851104737
38,24655,31,0.896,0.3254171018600464
39,25450,32,0.907,0.30903451156616213
40,31015,39,0.905,0.2948253436088562
41,34195,43,0.9,0.3016633400917053
42,36580,46,0.909,0.287320987701416
43,46915,59,0.911,0.2803719007968903
44,55660,70,0.916,0.2715327498912811
45,46915,59,0.907,0.297087188243866
46,57250,72,0.918,0.2836759788990021
47,69970,88,0.914,0.2662958116531372
48,80305,101,0.922,0.24185138297080994
49,82690,104,0.922,0.24974063992500306
50,86665,109,0.919,0.24525174379348755
51,92230,116,0.918,0.246919499874115
52,89050,112,0.918,0.24697541618347169
53,84280,106,0.924,0.25111912202835085
54,87460,110,0.914,0.2522343744039536
55,88255,111,0.906,0.26224796295166014
56,100180,126,0.913,0.24380427289009093
57,99385,125,0.921,0.23272397780418397
58,112105,141,0.913,0.24720533204078673
59,104950,132,0.918,0.2402814874649048
60,114490,144,0.907,0.26213467979431154
61,145495,183,0.919,0.24577089142799377
62,102565,129,0.923,0.2514809994697571
63,130390,164,0.924,0.23236290109157562
64,95410,120,0.922,0.24062772250175476
65,116080,146,0.922,0.2326728608608246
66,116080,146,0.914,0.25345571064949035
67,147880,186,0.922,0.2354710168838501
68,128800,162,0.921,0.2415285258293152
69,128800,162,0.919,0.24947164559364318
70,112900,142,0.923,0.23616664910316468
71,136750,172,0.921,0.23970381855964662
72,169345,213,0.919,0.24733566045761107
73,142315,179,0.916,0.23871728420257568
74,162190,204,0.919,0.24489840412139893
75,187630,236,0.919,0.2519811477661133
76,211480,266,0.925,0.22551673305034636
77,224995,283,0.93,0.20547161436080932
78,226585,285,0.929,0.20822414290904998
79,216250,272,0.928,0.21596092796325683
80,246460,310,0.93,0.22163027822971343
81,310855,391,0.93,0.2110312774181366
82,353785,445,0.93,0.19583138537406922
83,414205,521,0.932,0.20465623140335082
84,439645,553,0.936,0.18701883673667907
85,353785,445,0.936,0.18729335808753966
86,457930,576,0.932,0.19989225655794143
87,403870,508,0.93,0.20685672318935394
88,587515,739,0.933,0.1990356176495552
89,544585,685,0.941,0.19371677041053773
90,584335,735,0.942,0.18572201210260392
91,594670,748,0.944,0.18563017904758453
92,642370,808,0.931,0.1898197368979454
