Experiment 1 ,08_03_2020_10-58-54

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,38965,49,0.904,0.2999324469566345
1,46120,58,0.915,0.27254435086250306
2,59635,75,0.904,0.278373927116394
3,59635,75,0.908,0.2886663546562195
4,58045,73,0.921,0.2748781111240387
5,58045,73,0.915,0.2452710213661194
6,74740,94,0.913,0.255211843252182
7,69970,88,0.913,0.26395839524269105
8,77920,98,0.92,0.23882624125480653
9,77920,98,0.914,0.2741966543197632
10,98590,124,0.919,0.23609170746803285
11,118465,149,0.919,0.24552427673339844
12,106540,134,0.921,0.2387640562057495
13,89845,113,0.913,0.24649690461158752
14,105745,133,0.924,0.24467499589920044
15,95410,120,0.921,0.23554797077178954
16,104155,131,0.923,0.24799928069114685
17,111310,140,0.919,0.2604448277950287
18,137545,173,0.91,0.26751431596279146
19,129595,163,0.927,0.2544867562055588
20,125620,158,0.924,0.24002428603172302
21,119260,150,0.925,0.22322573018074035
22,116080,146,0.917,0.24177690196037294
23,142315,179,0.921,0.23334194779396056
24,141520,178,0.917,0.23707021224498748
25,174910,220,0.928,0.23349750113487244
26,174910,220,0.93,0.2182622287273407
27,232150,292,0.929,0.2111410516500473
28,283825,357,0.935,0.20650475001335145
29,303700,382,0.928,0.20456774908304215
30,390355,491,0.925,0.20785970079898836
31,422950,532,0.934,0.20893693518638612
32,499270,628,0.935,0.21078901541233064
33,499270,628,0.934,0.20049451756477357
34,568435,715,0.937,0.20404616302251816
35,624880,786,0.932,0.18639577305316926
36,624880,786,0.937,0.18331011176109313
37,800575,1007,0.927,0.20643980574607848
38,485755,611,0.939,0.2005849727988243
39,750490,944,0.937,0.18888639581203462
40,910285,1145,0.941,0.18468154793977737
41,1037485,1305,0.942,0.18896471178531646
42,740950,932,0.937,0.19383668780326843
43,832375,1047,0.935,0.19805813622474672
44,975475,1227,0.937,0.20196703484654427
45,1044640,1314,0.943,0.17849149644374848
46,1229080,1546,0.952,0.1666339108347893
47,1229875,1547,0.942,0.18805710119009017
48,1120165,1409,0.932,0.2098292187154293
49,1374565,1729,0.946,0.17366977161169053
50,1608295,2023,0.943,0.1807364069223404
51,1770475,2227,0.936,0.20298676067590712
52,1574110,1980,0.937,0.2133794823884964
53,2240320,2818,0.946,0.15705834092199802
54,2165590,2724,0.947,0.17835363751649858
55,3047245,3833,0.945,0.18941456142067908
56,2836570,3568,0.941,0.1958724623322487
57,3888355,4891,0.946,0.18512881338596343
58,3291310,4140,0.948,0.18464097447693348
59,2109145,2653,0.948,0.16722444438934325
60,3127540,3934,0.94,0.198610804438591
61,3105280,3906,0.948,0.17692414289712907
62,2199775,2767,0.935,0.20771874725818634
63,3565585,4485,0.955,0.14821721264719964
64,2117095,2663,0.945,0.19355140817165375
65,2803975,3527,0.935,0.21526311138272286
66,2128225,2677,0.948,0.18484181407094002
67,2946280,3706,0.942,0.1830627794265747
68,3009880,3786,0.947,0.18956164866685868
69,2384215,2999,0.95,0.1797423847168684
70,3877225,4877,0.942,0.1885020956993103
71,3218170,4048,0.937,0.19137651020288468
72,3701530,4656,0.951,0.16338928389549257
73,3063940,3854,0.939,0.20614589630067348
74,5401240,6794,0.948,0.19239583081007003
75,5356720,6738,0.942,0.21719006337225438
76,3376375,4247,0.939,0.17873007184267045
77,4438495,5583,0.934,0.2137744660526514
78,4157065,5229,0.941,0.18683508130908014
