Experiment 3 ,07_03_2020_18-47-01

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.1

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,32605,41,0.906,0.2868831567764282
1,42940,54,0.908,0.30703657698631287
2,54070,68,0.909,0.2896975426673889
3,64405,81,0.924,0.2563328847885132
4,65995,83,0.909,0.2721793100833893
5,67585,85,0.914,0.2656954069137573
6,67585,85,0.916,0.2592944250106812
7,65200,82,0.916,0.2594837167263031
8,74740,94,0.919,0.24904509806632996
9,65200,82,0.909,0.2700623724460602
10,71560,90,0.915,0.259903662443161
11,85075,107,0.918,0.25546171236038206
12,102565,129,0.915,0.24825593709945679
13,131185,165,0.923,0.21485994398593902
14,158215,199,0.934,0.21470262587070466
15,192400,242,0.933,0.2034445288181305
16,228175,287,0.927,0.20903766548633576
17,270310,340,0.934,0.19178977286815643
18,270310,340,0.929,0.2084778860807419
19,201145,253,0.929,0.2190366005897522
20,247255,311,0.927,0.20763221323490144
21,217045,273,0.921,0.2300093923807144
22,221020,278,0.929,0.22480223441123962
23,246460,310,0.926,0.23134107327461242
24,229765,289,0.932,0.2119938702583313
25,225790,284,0.924,0.2336072564125061
26,322780,406,0.938,0.18864753103256227
27,283030,356,0.928,0.20794990533590316
28,283030,356,0.941,0.19654927372932435
29,350605,441,0.932,0.2127897138595581
30,386380,486,0.935,0.19460550218820571
31,144700,182,0.916,0.24412906455993652
32,183655,231,0.926,0.21868977761268615
33,170140,214,0.924,0.22404599809646605
34,195580,246,0.927,0.2241545102596283
35,218635,275,0.93,0.21416592359542846
36,283825,357,0.933,0.20209274482727052
37,296545,373,0.934,0.19693628680706024
38,300520,378,0.936,0.20511877596378325
39,313240,394,0.93,0.20790726351737976
40,317215,399,0.926,0.22092711853981017
41,375250,472,0.927,0.2083773078918457
42,316420,398,0.931,0.21703167605400087
43,349810,440,0.935,0.19977449238300324
44,460315,579,0.931,0.2126998328566551
45,335500,422,0.92,0.22128164088726043
46,463495,583,0.931,0.20321359300613404
47,488140,614,0.939,0.1898960429430008
48,446005,561,0.927,0.22870454263687134
49,472240,594,0.936,0.18223481094837188
50,670990,844,0.935,0.20295215213298798
51,374455,471,0.933,0.21808749490976334
52,406255,511,0.933,0.20028851795196534
53,476215,599,0.944,0.18469604974985124
54,531070,668,0.932,0.21547079920768739
55,657475,827,0.928,0.21098709559440612
56,774340,974,0.94,0.20604211860895158
57,662245,833,0.932,0.22486351430416107
58,627265,789,0.938,0.17924635076522827
59,726640,914,0.941,0.1949117156267166
60,912670,1148,0.943,0.1969554671049118
61,1168660,1470,0.932,0.21683754634857177
62,1190920,1498,0.946,0.19396584635972977
63,1086775,1367,0.943,0.187172625541687
64,1150375,1447,0.944,0.1807670482993126
65,1339585,1685,0.941,0.17770473316311836
66,1263265,1589,0.927,0.23230531924962997
67,1624195,2043,0.943,0.1685395672917366
68,1310170,1648,0.941,0.19614266794919968
69,663040,834,0.931,0.20219259083271027
70,649525,817,0.939,0.20215878701210022
71,469855,591,0.938,0.18896676844358445
72,612160,770,0.937,0.19346696615219117
73,694045,873,0.944,0.17654874223470687
74,626470,788,0.939,0.1961936231851578
75,504835,635,0.934,0.2196748640537262
76,807730,1016,0.938,0.18915125048160553
77,867355,1091,0.938,0.17821576470136644
78,1085185,1365,0.935,0.19582563823461532
79,1132885,1425,0.949,0.16180353891849517
80,526300,662,0.934,0.19333883619308473
81,641575,807,0.938,0.1934959009885788
82,833170,1048,0.941,0.18440236723423004
83,980245,1233,0.93,0.19989063251018524
84,1172635,1475,0.942,0.1789698981642723
85,556510,700,0.933,0.20682916969060897
