Experiment 2 ,07_03_2020_06-27-26

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Nadam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,39760,50,0.903,0.31111248445510864
1,42145,53,0.902,0.2905959749221802
2,44530,56,0.907,0.2858308382034302
3,56455,71,0.914,0.2805158898830414
4,56455,71,0.918,0.2688040852546692
5,50890,64,0.9,0.2847840483188629
6,46915,59,0.922,0.2662721028327942
7,58045,73,0.913,0.2925900266170502
8,65200,82,0.908,0.2791260778903961
9,50890,64,0.907,0.28017928767204286
10,71560,90,0.91,0.2719641263484955
11,65995,83,0.911,0.2697770345211029
12,65995,83,0.913,0.2796817100048065
13,85075,107,0.903,0.28428828525543215
14,101770,128,0.911,0.24651829981803894
15,33400,42,0.895,0.3036375603675842
16,31015,39,0.909,0.3158816509246826
17,35785,45,0.896,0.31995495891571046
18,41350,52,0.914,0.2765960123538971
19,41350,52,0.909,0.2889334850311279
20,45325,57,0.902,0.2942135543823242
21,41350,52,0.902,0.28636177682876585
22,43735,55,0.904,0.28887585973739627
23,51685,65,0.914,0.2582440159320831
24,48505,61,0.9,0.3211834316253662
25,50095,63,0.912,0.2767799184322357
26,46915,59,0.912,0.2778275227546692
27,51685,65,0.9,0.2954769103527069
28,48505,61,0.915,0.29015885639190675
29,43735,55,0.912,0.2789322428703308
30,41350,52,0.915,0.2855949075222015
31,50095,63,0.912,0.2816857147216797
32,46915,59,0.914,0.2728703413009644
33,50890,64,0.908,0.29232812190055846
34,46120,58,0.917,0.28027512216567996
35,57250,72,0.916,0.2624301257133484
36,62815,79,0.92,0.25617014002799987
37,69175,87,0.908,0.2728571674823761
38,46915,59,0.914,0.2740566599369049
39,49300,62,0.918,0.26941212034225465
40,34195,43,0.916,0.2943444619178772
41,39760,50,0.91,0.2870239400863647
42,35785,45,0.903,0.3044734175205231
43,35785,45,0.908,0.29531416249275205
44,46120,58,0.907,0.2958620660305023
45,54070,68,0.914,0.27139859318733217
46,59635,75,0.915,0.27087117338180544
47,70765,89,0.915,0.25730584979057314
48,62020,78,0.906,0.2767545322179794
49,62020,78,0.911,0.2718027260303497
50,65200,82,0.909,0.27486419248580934
51,73150,92,0.92,0.2656223304271698
52,62815,79,0.922,0.2518383274078369
53,75535,95,0.916,0.27248028993606566
54,73150,92,0.911,0.24886337995529176
55,97000,122,0.919,0.2653077368736267
56,66790,84,0.914,0.2671226465702057
57,77920,98,0.918,0.26431313824653624
58,97795,123,0.921,0.27123010444641116
59,123235,155,0.919,0.24258610606193542
60,158215,199,0.919,0.2384550802707672
61,96205,121,0.919,0.24630335879325865
62,77125,97,0.928,0.24251941776275635
63,65200,82,0.915,0.2593694753646851
64,71560,90,0.918,0.255333850979805
65,88255,111,0.919,0.262678742647171
66,103360,130,0.912,0.2588880169391632
67,85870,108,0.919,0.2518755774497986
68,92230,116,0.916,0.24528635334968568
69,92230,116,0.923,0.24485684537887573
70,99385,125,0.922,0.23618542289733888
71,106540,134,0.916,0.24587798833847047
72,136750,172,0.923,0.24088926482200623
73,136750,172,0.923,0.23920125651359558
74,155830,196,0.918,0.24681570959091187
75,128800,162,0.908,0.26471424067020416
76,128800,162,0.921,0.2472827911376953
77,160600,202,0.92,0.23590645253658293
78,104155,131,0.928,0.24102152621746062
79,128800,162,0.92,0.22908733487129213
80,135160,170,0.923,0.23394822049140931
81,152650,192,0.92,0.24436004054546356
82,152650,192,0.922,0.23990724682807923
83,162190,204,0.929,0.21677319800853728
84,158215,199,0.919,0.26135555839538577
85,173320,218,0.917,0.22212516784667968
86,186040,234,0.938,0.21138690996170045
87,212275,267,0.922,0.23395638966560364
88,263155,331,0.923,0.2291407091617584
89,265540,334,0.927,0.21165374207496643
90,279850,352,0.926,0.2139230351448059
91,279850,352,0.928,0.21306559240818024
92,279850,352,0.924,0.23610162794589995
93,253615,319,0.926,0.2342003149986267
94,273490,344,0.933,0.19964409840106964
