Experiment 2 ,09_03_2020_05-07-53

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,9550,12,0.883,0.40188739347457886
1,7960,10,0.879,0.4051005983352661
2,7960,10,0.869,0.4361183395385742
3,7960,10,0.862,0.4390448632240295
4,7165,9,0.879,0.4042632012367249
5,8755,11,0.875,0.39509757041931154
6,7165,9,0.87,0.45044393396377563
7,11140,14,0.883,0.37960257959365845
8,11935,15,0.895,0.34005233335494994
9,11935,15,0.887,0.36484829044342043
10,32605,41,0.907,0.30160992527008057
11,24655,31,0.899,0.33306661558151246
12,31015,39,0.898,0.3088304233551025
13,24655,31,0.915,0.31436139917373657
14,29425,37,0.903,0.3033485994338989
15,25450,32,0.896,0.32085632705688477
16,25450,32,0.903,0.3214084978103638
17,25450,32,0.908,0.2980840244293213
18,20680,26,0.901,0.34661528158187865
19,19885,25,0.896,0.3320574660301209
20,15910,20,0.898,0.3455874514579773
21,15910,20,0.897,0.3302569155693054
22,35785,45,0.9,0.31883085346221923
23,35785,45,0.9,0.2992706398963928
24,31810,40,0.902,0.29904487419128417
25,28630,36,0.912,0.3110751740932465
26,29425,37,0.902,0.31813859748840334
27,29425,37,0.898,0.31886315560340883
28,24655,31,0.901,0.31361846780776975
29,24655,31,0.903,0.3253636498451233
30,21475,27,0.901,0.32418089962005614
31,26245,33,0.903,0.328684987783432
32,32605,41,0.91,0.28521592617034913
33,32605,41,0.907,0.2993711347579956
34,28630,36,0.893,0.3160655961036682
35,34195,43,0.909,0.2864405043125153
36,32605,41,0.897,0.3250022883415222
37,32605,41,0.905,0.3066906712055206
38,27835,35,0.907,0.30204976749420165
39,28630,36,0.901,0.31353206968307495
40,27835,35,0.899,0.327311457157135
41,23065,29,0.893,0.32817400741577146
42,17500,22,0.877,0.38964038467407225
43,18295,23,0.892,0.3433286461830139
44,15115,19,0.882,0.3561798005104065
45,18295,23,0.885,0.3619132647514343
46,14320,18,0.879,0.38426431608200073
47,14320,18,0.89,0.35287683725357055
48,14320,18,0.893,0.36651331567764284
49,16705,21,0.89,0.3423455867767334
50,16705,21,0.893,0.3577905995845795
51,27040,34,0.9,0.3273504598140717
52,24655,31,0.903,0.31814179849624635
53,23065,29,0.9,0.3314121608734131
54,23065,29,0.907,0.32604758739471434
55,23065,29,0.907,0.30778677606582644
56,24655,31,0.892,0.3450472638607025
57,26245,33,0.905,0.3273020749092102
58,31015,39,0.9,0.3052183961868286
59,23860,30,0.891,0.3268953330516815
60,23065,29,0.89,0.3379583728313446
61,23065,29,0.907,0.30464457654953003
62,21475,27,0.906,0.3245768918991089
63,20680,26,0.895,0.3197353401184082
64,20680,26,0.902,0.3150080327987671
65,19090,24,0.899,0.3345895516872406
66,22270,28,0.884,0.36585152411460875
67,24655,31,0.895,0.3267040128707886
68,34195,43,0.915,0.2834786559343338
69,37375,47,0.91,0.29743471097946167
70,37375,47,0.9,0.29841166353225707
71,32605,41,0.905,0.31160201120376585
72,32605,41,0.893,0.3173984975814819
73,32605,41,0.904,0.30591097950935364
74,39760,50,0.919,0.27841117668151855
75,36580,46,0.9,0.31522752380371094
76,36580,46,0.909,0.2902067632675171
77,34990,44,0.907,0.29830047965049744
78,35785,45,0.909,0.2992824091911316
79,38965,49,0.917,0.27253703904151916
80,29425,37,0.907,0.31165687322616575
81,27835,35,0.894,0.3294625644683838
82,30220,38,0.894,0.30865826034545896
83,30220,38,0.91,0.28690091395378114
84,30220,38,0.904,0.3186909704208374
85,31810,40,0.913,0.2819626979827881
86,26245,33,0.902,0.33494068336486815
87,24655,31,0.901,0.32511464881896973
88,21475,27,0.895,0.3336046621799469
89,16705,21,0.892,0.3529786722660065
90,13525,17,0.888,0.3608530807495117
91,13525,17,0.889,0.3668295965194702
92,15910,20,0.894,0.3513344779014587
93,15910,20,0.903,0.3231746392250061
