Experiment 1 ,07_03_2020_09-27-33

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.RMSprop

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,39760,50,0.902,0.27727419543266296
1,48505,61,0.905,0.30208981466293333
2,58840,74,0.909,0.27696133518218996
3,52480,66,0.91,0.27659485936164857
4,27835,35,0.911,0.2973094956874847
5,44530,56,0.896,0.30521350729465485
6,44530,56,0.889,0.3538535175323486
7,56455,71,0.92,0.26038120341300963
8,70765,89,0.918,0.26871111190319064
9,75535,95,0.912,0.2778038737773895
10,84280,106,0.91,0.26531655645370483
11,108130,136,0.906,0.2641872224807739
12,112105,141,0.914,0.2745908267498016
13,130390,164,0.927,0.22593302655220032
14,85870,108,0.93,0.2281985936164856
15,97000,122,0.926,0.24285038578510285
16,98590,124,0.923,0.2318217899799347
17,98590,124,0.916,0.271985123872757
18,106540,134,0.914,0.26222516775131227
19,89050,112,0.912,0.2480668832063675
20,98590,124,0.908,0.2686566865444183
21,101770,128,0.921,0.246768301486969
22,101770,128,0.92,0.25241822814941406
23,100975,127,0.921,0.24659481287002563
24,121645,153,0.914,0.2640639653205872
25,147880,186,0.915,0.2467991338968277
26,147880,186,0.92,0.25082796812057495
27,147880,186,0.916,0.24210540342330933
28,165370,208,0.929,0.2364789525270462
29,180475,227,0.929,0.21010516881942748
30,160600,202,0.92,0.24466023814678192
31,160600,202,0.927,0.24334221601486206
32,159010,200,0.927,0.24344132900238036
33,178090,224,0.908,0.2830962438583374
34,174910,220,0.915,0.23357903623580933
35,198760,250,0.926,0.23092567318677903
36,235330,296,0.935,0.20846699810028077
37,232150,292,0.922,0.2363332908153534
38,235330,296,0.932,0.22003054803609848
39,235330,296,0.928,0.21763040852546692
40,271900,342,0.931,0.2119584399461746
41,252820,318,0.924,0.22317311131954193
42,256795,323,0.93,0.20099585378170012
43,317215,399,0.927,0.21433753156661986
44,335500,422,0.928,0.2307301491498947
45,256795,323,0.932,0.2129081084728241
46,330730,416,0.929,0.22312413370609283
47,291775,367,0.916,0.25714580380916596
48,358555,451,0.941,0.1877162721157074
49,232150,292,0.927,0.23817342615127562
50,201145,253,0.929,0.22063328552246095
51,223405,281,0.917,0.2427170066833496
52,196375,247,0.927,0.22072149217128753
53,233740,294,0.919,0.23142990207672118
54,222610,280,0.929,0.1978819146156311
55,209095,263,0.929,0.2002442775964737
56,269515,339,0.923,0.22946170246601105
57,263950,332,0.927,0.20869851624965668
58,272695,343,0.923,0.23335584259033204
59,334705,421,0.925,0.22215797805786133
60,344245,433,0.923,0.23525656712055207
61,433285,545,0.93,0.2323782547712326
62,535045,673,0.935,0.20839390982687472
63,548560,690,0.937,0.19796956431865692
64,764005,961,0.937,0.2163585720360279
65,683710,860,0.94,0.18598736891150475
66,445210,560,0.939,0.1959200657606125
67,552535,695,0.937,0.21269314110279083
68,656680,826,0.936,0.1979855326116085
69,835555,1051,0.934,0.22640717577934266
70,946060,1190,0.941,0.19243586015701294
71,829195,1043,0.937,0.18443184535205365
72,448390,564,0.927,0.21343249547481538
73,504040,634,0.92,0.2567925089001656
74,629650,792,0.929,0.2291355332136154
75,524710,660,0.935,0.21993248292803763
76,594670,748,0.932,0.2092758252620697
77,620905,781,0.938,0.1904994773864746
78,597055,751,0.94,0.2113036389350891
79,682915,859,0.937,0.20797145092487335
80,812500,1022,0.932,0.23480539751052856
81,823630,1036,0.934,0.21318119555711745
82,812500,1022,0.924,0.24695731449127198
83,531070,668,0.937,0.2113640674352646
84,577180,726,0.938,0.18750710195302964
85,577180,726,0.941,0.20771560162305833
86,663040,834,0.934,0.20038601034879686
87,527890,664,0.939,0.19507946786284447
88,529480,666,0.929,0.2434494479894638
89,412615,519,0.914,0.2685221881866455
90,421360,530,0.928,0.21493112468719483
91,540610,680,0.939,0.2020499039888382
92,444415,559,0.938,0.19213249188661574
93,430105,541,0.922,0.24135680389404296
94,577180,726,0.942,0.19151691257953643
95,460315,579,0.922,0.23309889113903046
96,414205,521,0.937,0.19345966047048568
97,444415,559,0.931,0.22466065603494645
98,440440,554,0.934,0.20215724873542787
99,497680,626,0.931,0.20587870013713835
100,587515,739,0.93,0.22678851923346519
101,581155,731,0.928,0.21998104512691496
