Experiment 2 ,06_03_2020_22-27-15

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,33400,42,0.91,0.30743712615966795
1,29425,37,0.902,0.319023499250412
2,33400,42,0.904,0.30284538173675535
3,25450,32,0.898,0.3197147350311279
4,32605,41,0.903,0.31627514576911925
5,38170,48,0.909,0.2892383439540863
6,26245,33,0.911,0.3011736972332001
7,34990,44,0.91,0.2785536139011383
8,30220,38,0.903,0.30451438689231874
9,40555,51,0.904,0.288662538766861
10,46915,59,0.915,0.2779048192501068
11,49300,62,0.914,0.27139366149902344
12,49300,62,0.907,0.291266841173172
13,19885,25,0.893,0.336146329164505
14,21475,27,0.902,0.32321197152137754
15,23860,30,0.895,0.3284660143852234
16,27040,34,0.9,0.32490230417251587
17,24655,31,0.905,0.31448637890815734
18,23860,30,0.894,0.31494984340667725
19,22270,28,0.897,0.3208479313850403
20,28630,36,0.902,0.3163833413124085
21,20680,26,0.892,0.3203231847286224
22,21475,27,0.896,0.33196270155906676
23,19885,25,0.906,0.3242021579742432
24,19885,25,0.892,0.3157154097557068
25,19885,25,0.903,0.32389693093299865
26,21475,27,0.907,0.3157108438014984
27,16705,21,0.899,0.3526975016593933
28,17500,22,0.897,0.3423496751785278
29,12730,16,0.887,0.3598036968708038
30,14320,18,0.896,0.3310745086669922
31,11140,14,0.893,0.3456449239253998
32,13525,17,0.896,0.34557557201385497
33,11935,15,0.89,0.34979437112808226
34,18295,23,0.9,0.3320197196006775
35,15910,20,0.9,0.3371523804664612
36,19885,25,0.9,0.3142857995033264
37,15910,20,0.896,0.3215808954238892
38,15115,19,0.905,0.3213106241226196
39,27040,34,0.903,0.3155194275379181
40,30220,38,0.909,0.29802605366706847
41,41350,52,0.912,0.27911318802833557
42,30220,38,0.899,0.30008799958229065
43,31015,39,0.908,0.3034517080783844
44,39760,50,0.912,0.27937062907218935
45,27835,35,0.903,0.32364563608169555
46,24655,31,0.904,0.31306667375564573
47,29425,37,0.897,0.3218911895751953
48,34195,43,0.907,0.310649808883667
49,34195,43,0.907,0.301537112236023
50,23860,30,0.902,0.32743488740921023
51,26245,33,0.903,0.31829993104934695
52,27835,35,0.894,0.3178499631881714
53,33400,42,0.898,0.312860497713089
54,42940,54,0.903,0.2993425908088684
55,50890,64,0.906,0.26854041481018065
56,42940,54,0.901,0.28386452293396
57,52480,66,0.911,0.26882266068458555
58,47710,60,0.901,0.30140378618240354
59,41350,52,0.917,0.28484796261787415
60,47710,60,0.901,0.28555733942985534
61,51685,65,0.922,0.26591706681251526
62,51685,65,0.917,0.27788095331192014
63,47710,60,0.917,0.26538619613647463
64,46120,58,0.901,0.27763627767562865
65,54070,68,0.918,0.26725532627105714
66,61225,77,0.919,0.2671817870140076
67,58045,73,0.918,0.2630451443195343
68,63610,80,0.915,0.271672390460968
69,49300,62,0.911,0.2853372528553009
70,48505,61,0.918,0.2644133188724518
71,54070,68,0.916,0.2709690079689026
72,38170,48,0.908,0.29012270975112914
73,61225,77,0.916,0.2600042486190796
74,60430,76,0.913,0.29008392548561096
75,57250,72,0.919,0.25589488458633425
76,55660,70,0.905,0.28491496872901917
77,65200,82,0.915,0.2654815800189972
78,40555,51,0.914,0.28348323321342467
79,60430,76,0.913,0.26822514200210573
80,66790,84,0.915,0.2560045280456543
81,52480,66,0.914,0.2739454290866852
82,41350,52,0.905,0.30323247385025026
83,44530,56,0.907,0.27648870420455934
84,58840,74,0.913,0.273120988368988
85,55660,70,0.919,0.27764042472839356
86,68380,86,0.921,0.24865039563179017
87,85870,108,0.904,0.29614009833335875
88,107335,135,0.921,0.2320445668697357
89,107335,135,0.924,0.24244643771648408
90,107335,135,0.91,0.25861152887344363
91,61225,77,0.91,0.2729730267524719
92,66790,84,0.916,0.26025626468658447
93,81100,102,0.917,0.2635209746360779
94,97000,122,0.916,0.24778151416778565
95,111310,140,0.912,0.24389191246032715
96,139930,176,0.917,0.23280242931842804
97,99385,125,0.914,0.2564626970291138
98,124030,156,0.916,0.24063465189933778
99,101770,128,0.919,0.2456667470932007
100,114490,144,0.916,0.23721755850315093
101,114490,144,0.921,0.25200083637237547
102,139135,175,0.928,0.23019776034355163
103,172525,217,0.928,0.23360382282733919
104,161395,203,0.922,0.2280900990962982
105,161395,203,0.922,0.22485954654216767
106,133570,168,0.915,0.229287962436676
107,155830,196,0.922,0.2282666929960251
108,124030,156,0.917,0.23625384056568147
109,126415,159,0.921,0.2533589358329773
110,109720,138,0.911,0.27055148530006407
111,119260,150,0.92,0.24741298401355744
112,108130,136,0.915,0.26032532191276553
113,92230,116,0.916,0.2612976608276367
114,105745,133,0.914,0.2663148365020752
115,100975,127,0.926,0.24158016085624695
116,75535,95,0.917,0.26066075611114503
117,85870,108,0.921,0.24574032020568848
118,91435,115,0.917,0.2561331796646118
119,91435,115,0.917,0.24237454795837401
