Experiment 1 ,07_03_2020_14-08-40

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.SGD

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,30220,38,0.856,0.5609412655830384
1,42145,53,0.842,0.565202959060669
2,42145,53,0.848,0.5742349472045899
3,42145,53,0.859,0.5511475715637207
4,39760,50,0.848,0.5642558484077453
5,49300,62,0.861,0.5542413616180419
6,37375,47,0.853,0.546043776512146
7,39760,50,0.852,0.5493657035827637
8,28630,36,0.865,0.5532420735359191
9,46915,59,0.859,0.5397151103019714
10,55660,70,0.852,0.5562772154808044
11,50095,63,0.851,0.5518115849494934
12,36580,46,0.858,0.5264338521957398
13,46915,59,0.846,0.5577923555374146
14,46915,59,0.847,0.5473247776031495
15,37375,47,0.846,0.5496246404647828
16,27835,35,0.842,0.5637394118309021
17,49300,62,0.849,0.5487308835983277
18,49300,62,0.85,0.5526561284065247
19,34990,44,0.843,0.5684125580787659
20,69175,87,0.85,0.5301455421447754
21,58045,73,0.861,0.5311139106750489
22,85870,108,0.86,0.5429038310050964
23,77125,97,0.859,0.538687542438507
24,86665,109,0.859,0.5466553854942322
25,78715,99,0.855,0.5401559791564942
26,100975,127,0.865,0.5408784799575805
27,80305,101,0.858,0.5447752847671509
28,104950,132,0.855,0.5391497716903687
29,125620,158,0.853,0.5281770563125611
30,125620,158,0.868,0.535660391330719
31,147085,185,0.857,0.5278553514480591
32,180475,227,0.863,0.530381046295166
33,147085,185,0.868,0.5222315330505372
34,171730,216,0.863,0.5195344753265381
35,147085,185,0.848,0.5377436943054199
36,113695,143,0.866,0.5261130208969116
37,147085,185,0.862,0.5349749603271484
38,177295,223,0.874,0.518996591091156
39,143905,181,0.862,0.5279766430854798
40,127210,160,0.86,0.5354034295082092
41,135955,171,0.862,0.5335380330085754
42,275080,346,0.869,0.518601842880249
43,257590,324,0.859,0.5263495464324951
44,202735,255,0.865,0.5147060604095459
45,215455,271,0.857,0.5202246503829956
46,189220,238,0.861,0.5276763834953309
47,245665,309,0.863,0.5144550657272339
48,247255,311,0.859,0.5245154342651367
49,212275,267,0.863,0.5202019128799439
50,345835,435,0.86,0.5163388485908509
51,265540,334,0.857,0.5205881628990173
52,262360,330,0.856,0.526693338394165
53,294160,370,0.858,0.5173521552085877
54,350605,441,0.863,0.511083972454071
55,316420,398,0.871,0.5072402610778809
56,387970,488,0.86,0.49754953098297117
57,387970,488,0.865,0.5121851921081543
58,17500,22,0.839,0.615712546825409
59,14320,18,0.824,0.6356755638122559
60,16705,21,0.844,0.6072401647567749
61,19885,25,0.845,0.5750284543037415
62,15115,19,0.829,0.6320722808837891
63,15115,19,0.841,0.5929081630706787
64,16705,21,0.837,0.6019596014022827
65,11935,15,0.831,0.599281810760498
66,19885,25,0.842,0.6215668272972107
67,15115,19,0.828,0.6122711486816407
68,15115,19,0.846,0.584687783241272
69,11935,15,0.833,0.6145572824478149
70,12730,16,0.828,0.633337134361267
71,15115,19,0.837,0.6148160982131958
72,16705,21,0.838,0.5893553342819214
73,19885,25,0.836,0.6210054969787597
74,23860,30,0.848,0.5783623352050781
75,19885,25,0.853,0.6016189122200012
76,17500,22,0.838,0.6010888748168945
77,23065,29,0.851,0.6297932167053223
78,21475,27,0.842,0.5871911864280701
79,23860,30,0.837,0.5948129901885987
80,23860,30,0.85,0.5735562038421631
81,31015,39,0.85,0.5404313983917236
82,33400,42,0.85,0.5613778467178345
83,31810,40,0.843,0.5678145604133606
84,27835,35,0.847,0.5613693342208862
85,35785,45,0.849,0.5386916513442993
86,39760,50,0.85,0.5535313329696655
87,31015,39,0.849,0.5581833996772766
88,27040,34,0.83,0.598839280128479
89,16705,21,0.838,0.5910914497375488
90,23860,30,0.858,0.5438710350990296
91,23860,30,0.845,0.5663141384124756
92,23860,30,0.852,0.5666344389915466
93,23860,30,0.835,0.5865051274299622
94,25450,32,0.837,0.6041137504577637
95,35785,45,0.851,0.5649127912521362
96,20680,26,0.843,0.5914125442504883
97,19885,25,0.857,0.5778812789916992
98,23860,30,0.839,0.5764493417739868
99,30220,38,0.841,0.5782288513183593
100,30220,38,0.851,0.5816678280830383
101,31810,40,0.855,0.5454568967819214
