Experiment 2 ,07_03_2020_02-27-20

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.selu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,39760,50,0.884,0.3518937284946442
1,39760,50,0.887,0.34711590433120726
2,50890,64,0.891,0.32146568965911865
3,41350,52,0.89,0.3377829575538635
4,48505,61,0.898,0.3312296528816223
5,31810,40,0.893,0.3387668130397797
6,58045,73,0.901,0.3276004011631012
7,54070,68,0.893,0.3270373611450195
8,63610,80,0.891,0.3516852252483368
9,80305,101,0.894,0.3477256546020508
10,75535,95,0.898,0.33887361192703247
11,81100,102,0.89,0.3399482581615448
12,79510,100,0.895,0.35355582904815674
13,57250,72,0.896,0.31699372148513794
14,50095,63,0.896,0.33617237949371337
15,50095,63,0.9,0.33122126197814944
16,54070,68,0.895,0.3559195477962494
17,79510,100,0.876,0.3520213680267334
18,65995,83,0.901,0.34667539858818053
19,102565,129,0.891,0.3436489040851593
20,88255,111,0.89,0.36976381063461305
21,70765,89,0.899,0.34229658389091494
22,91435,115,0.911,0.30931198167800905
23,81100,102,0.885,0.34029831647872927
24,93820,118,0.898,0.3336045503616333
25,116080,146,0.894,0.34380240678787233
26,116080,146,0.884,0.3474045135974884
27,120055,151,0.898,0.34243366479873655
28,148675,187,0.883,0.35079834365844725
29,175705,221,0.9,0.34113199257850646
30,70765,89,0.901,0.3177101173400879
31,115285,145,0.893,0.3266305584907532
32,101770,128,0.89,0.35365302276611327
33,126415,159,0.9,0.32493287944793703
34,97795,123,0.9,0.3204205322265625
35,86665,109,0.891,0.3400419306755066
36,67585,85,0.894,0.33634652256965636
37,103360,130,0.89,0.3420162165164948
38,72355,91,0.893,0.3362043557167053
39,72355,91,0.892,0.3456310348510742
40,103360,130,0.902,0.3440731365680695
41,132775,167,0.901,0.331342755317688
42,70765,89,0.891,0.32565254378318786
43,69970,88,0.894,0.3270437273979187
44,84280,106,0.902,0.34663963270187376
45,72355,91,0.895,0.3407534546852112
46,143905,181,0.893,0.3610400402545929
47,113695,143,0.895,0.3265507650375366
48,100975,127,0.898,0.3291405920982361
49,123235,155,0.896,0.3481977157592773
50,123235,155,0.9,0.3386803097724915
51,120055,151,0.895,0.34414470386505125
52,162985,205,0.899,0.312115788936615
53,144700,182,0.897,0.3421070454120636
54,173320,218,0.902,0.33193540716171266
55,195580,246,0.902,0.3307559542655945
56,110515,139,0.892,0.33364089250564577
57,75535,95,0.893,0.3322653484344482
58,77125,97,0.905,0.33197283911705017
59,79510,100,0.892,0.33650028586387637
60,79510,100,0.908,0.33019469046592714
61,49300,62,0.899,0.3279215488433838
62,42145,53,0.898,0.32886103534698485
63,51685,65,0.891,0.34294629287719725
64,51685,65,0.901,0.3187164945602417
65,57250,72,0.9,0.3333072865009308
66,56455,71,0.897,0.3230395541191101
67,57250,72,0.896,0.3424251732826233
68,81100,102,0.9,0.3353923032283783
69,53275,67,0.893,0.33276571774482727
70,51685,65,0.896,0.3288614873886108
71,64405,81,0.89,0.33825666093826295
72,104155,131,0.896,0.3374792647361755
73,70765,89,0.897,0.32729703950881955
74,104155,131,0.903,0.3188279914855957
75,76330,96,0.894,0.3209616374969482
76,104155,131,0.888,0.34372552156448366
77,93820,118,0.883,0.35533828115463256
78,112900,142,0.888,0.35658296012878415
79,69970,88,0.887,0.33544835877418516
80,118465,149,0.886,0.36943449258804323
81,92230,116,0.9,0.33738978242874146
82,120850,152,0.89,0.3496973509788513
83,99385,125,0.891,0.34408706521987914
84,94615,119,0.903,0.3296310782432556
85,153445,193,0.897,0.33542704677581786
86,121645,153,0.896,0.3691589441299438
87,81895,103,0.895,0.3247068076133728
88,145495,183,0.883,0.40693877172470094
89,116080,146,0.901,0.3417097132205963
90,120850,152,0.898,0.3286727480888367
91,99385,125,0.898,0.34480205488204957
92,67585,85,0.898,0.33470754384994506
93,125620,158,0.899,0.3339053361415863
94,154240,194,0.904,0.3366961715221405
95,163780,206,0.892,0.3358274118900299
96,159805,201,0.901,0.36186154317855834
97,124825,157,0.894,0.34218646812438963
98,122440,154,0.895,0.32639555978775026
99,164575,207,0.906,0.3253050525188446
100,204325,257,0.896,0.37607506895065307
101,179680,226,0.9,0.32604499578475954
102,201145,253,0.891,0.3432909874916077
103,156625,197,0.891,0.3365556180477142
104,155035,195,0.892,0.36240541887283323
105,138340,174,0.891,0.3423894617557526
106,151060,190,0.89,0.35353956556320193
107,234535,295,0.898,0.3418712328672409
108,186040,234,0.903,0.33888136863708496
109,253615,319,0.894,0.3600134401321411
110,137545,173,0.881,0.35133388137817384
111,310855,391,0.891,0.3874615304470062
112,162985,205,0.901,0.338356849193573
113,303700,382,0.89,0.36911508059501646
114,265540,334,0.889,0.38581885933876037
115,318805,401,0.892,0.3669905092716217
116,297340,374,0.894,0.35541287636756896
117,185245,233,0.881,0.34345845866203306
118,238510,300,0.897,0.36472373628616334
119,194785,245,0.9,0.3523386354446411
120,298930,376,0.903,0.3398628845214844
121,296545,373,0.883,0.34572368144989013
