Experiment 1 ,07_03_2020_07-27-30

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,31015,39,0.913,0.2798115770816803
1,38170,48,0.912,0.28607496905326846
2,36580,46,0.907,0.28740904211997986
3,40555,51,0.913,0.2901603674888611
4,40555,51,0.905,0.2859016809463501
5,48505,61,0.91,0.2713734314441681
6,55660,70,0.918,0.2686505768299103
7,49300,62,0.917,0.2831279890537262
8,69175,87,0.914,0.2620632042884827
9,86665,109,0.919,0.2483553957939148
10,86665,109,0.914,0.2673047298192978
11,112105,141,0.908,0.2542958128452301
12,108130,136,0.919,0.23540953671932222
13,144700,182,0.926,0.2315951453447342
14,123235,155,0.934,0.22261708831787108
15,157420,198,0.918,0.22733514380455017
16,178090,224,0.921,0.22908697271347045
17,228970,288,0.922,0.23496531820297242
18,221020,278,0.926,0.2176143639087677
19,252820,318,0.935,0.20248707270622254
20,252820,318,0.932,0.1987827959060669
21,266335,335,0.93,0.21249016487598418
22,270310,340,0.931,0.209821053981781
23,372865,469,0.923,0.21411712753772735
24,320395,403,0.94,0.19599014747142793
25,393535,495,0.932,0.2144025902748108
26,418180,526,0.934,0.2045367161631584
27,416590,524,0.931,0.19207885098457336
28,453955,571,0.938,0.19011636829376222
29,492910,620,0.94,0.18951484668254853
30,408640,514,0.936,0.20589311170578004
31,539020,678,0.941,0.19413213288784026
32,492115,619,0.932,0.2145615873336792
33,491320,618,0.943,0.1835643630027771
34,496885,625,0.93,0.2357788519859314
35,479395,603,0.938,0.1958694248199463
36,479395,603,0.931,0.20131345969438552
37,422950,532,0.93,0.20652209639549254
38,341860,430,0.922,0.20992907023429871
39,321190,404,0.929,0.20944313848018647
40,341860,430,0.934,0.19996428501605987
41,213070,268,0.93,0.21148625898361206
42,235330,296,0.928,0.23112232422828674
43,235330,296,0.928,0.2224688093662262
44,186835,235,0.932,0.2166466054916382
45,216250,272,0.931,0.21255667531490327
46,183655,231,0.922,0.22269362306594848
47,228970,288,0.93,0.2218432083129883
48,228970,288,0.925,0.22696979463100433
49,276670,348,0.935,0.21313304448127746
50,276670,348,0.927,0.22903568935394286
51,309265,389,0.932,0.20738845926523208
52,414205,521,0.929,0.21217700743675233
53,513580,646,0.933,0.19044065648317338
54,479395,603,0.923,0.21138410234451294
55,501655,631,0.931,0.22974284318089486
56,434875,547,0.933,0.20131632220745085
57,542995,683,0.938,0.18828214085102082
58,542995,683,0.938,0.19489480227231978
59,558100,702,0.932,0.1956792795062065
60,529480,666,0.938,0.1826401442885399
61,638395,803,0.935,0.19084076654911042
62,658270,828,0.935,0.20050330239534378
63,728230,916,0.938,0.19160380125045776
64,492115,619,0.939,0.19897749644517898
65,729820,918,0.94,0.18830786383152007
66,625675,787,0.937,0.19412251847982406
67,625675,787,0.942,0.18210403335094452
68,741745,933,0.933,0.19443488299846648
69,791035,995,0.938,0.17342015409469605
70,953215,1199,0.929,0.19904904705286025
71,852250,1072,0.929,0.2128929612338543
72,1120165,1409,0.946,0.17257706320285798
73,1436575,1807,0.945,0.18394804739952086
74,1653610,2080,0.947,0.1873623687028885
75,1435780,1806,0.946,0.18104461419582368
76,1559005,1961,0.937,0.1925245498418808
77,1239415,1559,0.935,0.21119243997335435
78,1617040,2034,0.948,0.16701641643047332
79,1326865,1669,0.938,0.18805018985271454
80,1322095,1663,0.942,0.181865094602108
81,1113805,1401,0.936,0.19431291508674622
82,1116190,1404,0.932,0.20163814842700958
83,2470870,3108,0.943,0.1965541377067566
84,2470870,3108,0.948,0.18433577447384597
85,1559800,1962,0.95,0.16659722554683684
86,2280070,2868,0.941,0.19032327029109
87,2138560,2690,0.938,0.1933194606900215
88,1937425,2437,0.942,0.20803985702991484
89,2257015,2839,0.939,0.1983255161345005
90,2304715,2899,0.944,0.1895980540663004
91,2290405,2881,0.93,0.2294132993966341
92,2938330,3696,0.937,0.21668973976373673
93,2409655,3031,0.937,0.19643372005224227
94,2547190,3204,0.941,0.18471114234626293
95,2810335,3535,0.952,0.16395498025417327
96,1570135,1975,0.942,0.18954425513744355
97,3085405,3881,0.936,0.2049493166655302
98,2046340,2574,0.936,0.1800469343662262
99,1570930,1976,0.938,0.19531301707029342
100,1770475,2227,0.954,0.15243860302865506
