Experiment 2 ,07_03_2020_08-27-30

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,39760,50,0.909,0.2826358036994934
1,33400,42,0.917,0.2774035952091217
2,43735,55,0.905,0.31204479122161866
3,33400,42,0.913,0.280391548871994
4,31810,40,0.916,0.2977271077632904
5,31810,40,0.91,0.29669817781448365
6,24655,31,0.906,0.3184244556427002
7,28630,36,0.9,0.3064320755004883
8,28630,36,0.904,0.3069437446594238
9,33400,42,0.902,0.29146176791191103
10,31015,39,0.907,0.3138447768688202
11,34990,44,0.914,0.284155953168869
12,19090,24,0.901,0.3211987829208374
13,19090,24,0.897,0.3191211099624634
14,18295,23,0.89,0.35288018369674684
15,19090,24,0.91,0.31762511110305786
16,19885,25,0.897,0.34418696188926695
17,19885,25,0.896,0.3475774621963501
18,18295,23,0.897,0.3427832341194153
19,18295,23,0.895,0.35214345169067385
20,18295,23,0.905,0.31904551935195924
21,19885,25,0.892,0.35027935266494753
22,23065,29,0.894,0.3517524995803833
23,23860,30,0.894,0.3227650947570801
24,27040,34,0.904,0.29982057166099546
25,25450,32,0.907,0.319429012298584
26,34990,44,0.898,0.3088140821456909
27,36580,46,0.909,0.3093994116783142
28,46915,59,0.907,0.2954136395454407
29,50095,63,0.909,0.2801281917095184
30,48505,61,0.906,0.27942208909988403
31,48505,61,0.913,0.2783070905208588
32,55660,70,0.904,0.28327094197273256
33,53275,67,0.915,0.2727091710567474
34,53275,67,0.914,0.2746870312690735
35,59635,75,0.915,0.2577339241504669
36,58045,73,0.913,0.27165516901016235
37,50890,64,0.909,0.28172824573516847
38,50890,64,0.909,0.26825237441062927
39,73945,93,0.916,0.25663747715950014
40,46120,58,0.913,0.28559318113327026
41,44530,56,0.912,0.276296151638031
42,50095,63,0.914,0.2745222914218903
43,46120,58,0.912,0.2817490553855896
44,53275,67,0.896,0.2991275463104248
45,57250,72,0.908,0.26584295773506167
46,65200,82,0.925,0.2634571855068207
47,83485,105,0.924,0.24091495823860168
48,99385,125,0.927,0.23625201296806336
49,99385,125,0.915,0.2628885078430176
50,104950,132,0.926,0.23317973005771636
51,111310,140,0.925,0.2406360957622528
52,117670,148,0.917,0.24520570373535155
53,142315,179,0.918,0.2588008010387421
54,142315,179,0.924,0.2362113596200943
55,165370,208,0.914,0.23625647938251496
56,170935,215,0.923,0.21570755004882813
57,170935,215,0.925,0.23989938354492188
58,151060,190,0.925,0.24071683382987977
59,100180,126,0.913,0.25550266647338865
60,125620,158,0.926,0.23423887157440185
61,160600,202,0.921,0.22816492509841918
62,171730,216,0.927,0.21870985245704652
63,188425,237,0.925,0.22056097662448884
64,151060,190,0.921,0.24913567447662355
65,190810,240,0.926,0.22445945358276367
66,148675,187,0.931,0.20604024684429167
67,234535,295,0.926,0.22107607591152192
68,192400,242,0.931,0.20708071446418763
69,231355,291,0.928,0.2329912359714508
70,269515,339,0.931,0.2093876841068268
71,358555,451,0.931,0.2116915180683136
72,386380,486,0.934,0.19535472351312638
73,386380,486,0.936,0.2109520182609558
74,394330,496,0.935,0.2093461691737175
75,284620,358,0.932,0.2094657003879547
76,313240,394,0.934,0.20099695098400117
77,369685,465,0.935,0.22421616995334626
78,369685,465,0.935,0.20231774973869324
79,369685,465,0.929,0.2007961163520813
80,355375,447,0.933,0.22271601104736327
81,355375,447,0.927,0.22285173738002778
82,435670,548,0.936,0.18821492087841035
83,452365,569,0.939,0.18513907253742218
84,575590,724,0.936,0.20346531307697296
85,463495,583,0.933,0.20354397749900818
86,348220,438,0.935,0.1855245532989502
87,396715,499,0.929,0.2159825945496559
88,485755,611,0.941,0.1809225555062294
89,383200,482,0.932,0.2114333233833313
90,446800,562,0.93,0.21381495463848113
91,462700,582,0.933,0.1855404856801033
92,474625,597,0.937,0.18129993748664855
93,496885,625,0.934,0.19854648941755296
94,584335,735,0.943,0.1757815946340561
95,629650,792,0.938,0.19001416122913362
96,592285,745,0.938,0.1871593366265297
97,607390,764,0.934,0.19284184950590133
98,772750,972,0.934,0.18888967925310135
99,593080,746,0.937,0.19412368530035018
100,649525,817,0.946,0.17191790211200714
101,757645,953,0.932,0.2040135325193405
102,604210,760,0.936,0.17706177186965943
103,998530,1256,0.937,0.19812406259775162
104,1066105,1341,0.939,0.1864512413740158
105,1108240,1394,0.947,0.18258849596977234
106,1347535,1695,0.945,0.2017876843214035
107,1730725,2177,0.935,0.21013892897963524
108,1730725,2177,0.934,0.19384307783842086
109,1730725,2177,0.929,0.20776336306333543
110,1546285,1945,0.942,0.18367812764644623
111,1574905,1981,0.945,0.17713633495569228
112,1866670,2348,0.932,0.21453997746109962
