Experiment 1 ,07_03_2020_15-08-41

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.selu
initial_max_nodes ,50
loss_function ,Loss.categorical_crossentropy
optimizer ,Optimizer.SGD

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,20680,26,0.852,0.5327737097740173
1,23860,30,0.86,0.5206825399398803
2,25450,32,0.857,0.5095673089027405
3,27040,34,0.856,0.5207483811378479
4,24655,31,0.866,0.509208966255188
5,30220,38,0.848,0.5043595218658448
6,16705,21,0.859,0.5243236904144287
7,13525,17,0.855,0.532424301147461
8,16705,21,0.854,0.5358948173522949
9,17500,22,0.86,0.5196255311965943
10,15115,19,0.854,0.5565507025718689
11,15115,19,0.848,0.5548271646499634
12,15115,19,0.855,0.5401701588630676
13,15115,19,0.858,0.537784683227539
14,18295,23,0.855,0.5430540075302124
15,18295,23,0.859,0.5309844102859497
16,18295,23,0.864,0.5193908143043519
17,17500,22,0.842,0.5586920328140259
18,8755,11,0.84,0.5878818378448486
19,11140,14,0.829,0.6041414074897766
20,9550,12,0.84,0.6022072248458862
21,9550,12,0.82,0.6435648069381714
22,7960,10,0.831,0.6119027853012085
23,10345,13,0.827,0.5779006967544555
24,8755,11,0.854,0.5734765453338623
25,7960,10,0.839,0.5925261831283569
26,9550,12,0.85,0.5836620264053345
27,9550,12,0.848,0.5975164470672607
28,9550,12,0.848,0.5706995267868042
29,8755,11,0.846,0.6318747854232788
30,8755,11,0.833,0.5997504549026489
31,7960,10,0.837,0.6091538486480713
32,7960,10,0.825,0.6252200918197632
33,8755,11,0.835,0.6355567493438721
34,8755,11,0.853,0.5841460127830506
35,10345,13,0.85,0.5734341850280762
36,10345,13,0.842,0.5818455057144165
37,11935,15,0.839,0.5861732401847839
38,9550,12,0.836,0.6282678842544556
39,9550,12,0.853,0.5722587404251098
40,7960,10,0.844,0.6013247203826905
41,8755,11,0.828,0.6348079438209534
42,9550,12,0.856,0.5589452929496765
43,9550,12,0.834,0.617907968044281
44,9550,12,0.84,0.5934757585525513
45,11140,14,0.844,0.5707278490066529
46,14320,18,0.86,0.54239990234375
47,16705,21,0.845,0.5487591676712036
48,14320,18,0.857,0.5194423036575317
49,11935,15,0.863,0.5686292748451233
50,18295,23,0.847,0.5436983823776245
51,12730,16,0.852,0.5526353330612183
52,11935,15,0.845,0.5631457324028015
53,11935,15,0.855,0.5348170280456543
54,16705,21,0.855,0.5394822835922242
55,20680,26,0.857,0.5284276070594788
56,15115,19,0.843,0.5422347269058228
57,23065,29,0.865,0.5137122678756714
58,17500,22,0.856,0.5323683967590332
59,26245,33,0.861,0.5204571847915649
60,23065,29,0.853,0.5214576992988587
61,23065,29,0.854,0.5183082361221314
62,22270,28,0.852,0.5233751201629638
63,23065,29,0.86,0.5130871596336365
64,19885,25,0.859,0.5226881303787232
65,20680,26,0.862,0.5211025362014771
66,23065,29,0.855,0.5317789573669434
67,19885,25,0.857,0.5390582556724548
68,29425,37,0.854,0.5127606568336487
69,28630,36,0.853,0.5206517410278321
70,23065,29,0.857,0.5015724616050721
71,34195,43,0.862,0.5009769163131714
72,38170,48,0.86,0.48085369729995725
73,38965,49,0.864,0.49932663679122924
74,38965,49,0.864,0.5092294182777405
75,31015,39,0.855,0.5154663009643554
76,52480,66,0.874,0.4804746851921082
77,31015,39,0.867,0.5069293403625488
78,23065,29,0.859,0.5175291395187378
79,36580,46,0.86,0.5021756744384765
80,39760,50,0.853,0.49191761302948
81,25450,32,0.861,0.50277960729599
82,56455,71,0.863,0.48505172634124755
83,53275,67,0.853,0.4993444967269898
84,56455,71,0.85,0.5019685745239257
85,65995,83,0.864,0.47827643489837646
86,84280,106,0.862,0.4770823554992676
87,89050,112,0.871,0.4725079073905945
88,134365,169,0.861,0.46357628536224366
89,60430,76,0.864,0.4798303270339966
90,144700,182,0.873,0.4608156042098999
91,144700,182,0.871,0.466358097076416
92,81895,103,0.874,0.4735451774597168
93,77125,97,0.867,0.48129726219177243
