Experiment 2 ,07_03_2020_00-27-18

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.elu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,34195,43,0.9,0.32149292922019956
1,42145,53,0.898,0.31860011601448057
2,36580,46,0.899,0.3262564480304718
3,44530,56,0.888,0.332802273273468
4,44530,56,0.893,0.3355271327495575
5,38170,48,0.903,0.32266071128845214
6,38170,48,0.894,0.3326311235427856
7,48505,61,0.896,0.3247697575092316
8,29425,37,0.889,0.3336830248832703
9,35785,45,0.895,0.3364799454212189
10,28630,36,0.895,0.3421330683231354
11,34990,44,0.897,0.3162720699310303
12,23860,30,0.898,0.3441119036674499
13,18295,23,0.889,0.34757825469970705
14,23860,30,0.898,0.34218711161613463
15,20680,26,0.893,0.35233421087265016
16,23860,30,0.898,0.3439517617225647
17,18295,23,0.892,0.3471334800720215
18,23065,29,0.906,0.32572576332092285
19,20680,26,0.9,0.33135951471328734
20,20680,26,0.891,0.3311031997203827
21,19885,25,0.891,0.3350633916854858
22,27835,35,0.906,0.3154455015659332
23,27835,35,0.894,0.33257753586769107
24,27040,34,0.893,0.3452352275848389
25,23860,30,0.896,0.3303537080287933
26,19090,24,0.892,0.34826585912704466
27,24655,31,0.898,0.3380059943199158
28,24655,31,0.889,0.3354453024864197
29,28630,36,0.902,0.32883131980895997
30,27835,35,0.904,0.3095464267730713
31,32605,41,0.895,0.3158952510356903
32,34195,43,0.903,0.33524629640579223
33,32605,41,0.895,0.335842221736908
34,32605,41,0.894,0.33555206608772276
35,47710,60,0.897,0.34289412331581115
36,47710,60,0.888,0.35469066071510313
37,24655,31,0.89,0.3464230155944824
38,33400,42,0.904,0.32132841110229493
39,33400,42,0.897,0.3315439350605011
40,29425,37,0.895,0.34562015533447266
41,46120,58,0.894,0.32970400094985963
42,26245,33,0.895,0.33631574106216433
43,25450,32,0.879,0.36052229261398316
44,32605,41,0.899,0.3176234834194183
45,31810,40,0.899,0.33439943504333497
46,28630,36,0.885,0.34177366161346434
47,26245,33,0.899,0.33947477912902835
48,30220,38,0.896,0.32774364519119265
49,21475,27,0.9,0.333005868434906
50,25450,32,0.9,0.32723810863494873
51,26245,33,0.898,0.32702342367172244
52,26245,33,0.897,0.3257775382995605
53,33400,42,0.89,0.33830893325805667
54,38965,49,0.896,0.3217106568813324
55,44530,56,0.894,0.33393300032615664
56,44530,56,0.889,0.3627916703224182
57,44530,56,0.9,0.32495660638809204
58,46120,58,0.904,0.3100222990512848
59,32605,41,0.896,0.33998989915847777
60,31810,40,0.901,0.30622478294372557
61,35785,45,0.894,0.33566533398628234
62,51685,65,0.9,0.3057451298236847
63,36580,46,0.9,0.3276098351478577
64,29425,37,0.9,0.3382382833957672
65,36580,46,0.892,0.3249935503005981
66,29425,37,0.897,0.31684410405158997
67,38170,48,0.897,0.33179631948471067
68,38170,48,0.9,0.3311124439239502
69,39760,50,0.902,0.3241505103111267
70,46120,58,0.898,0.3285774993896484
71,44530,56,0.9,0.314402149438858
72,44530,56,0.898,0.32089212703704834
73,56455,71,0.904,0.31103108668327334
74,46120,58,0.902,0.3170840792655945
75,55660,70,0.892,0.33753707313537595
76,58840,74,0.89,0.3284177989959717
77,62020,78,0.889,0.33803591108322145
78,62020,78,0.91,0.30922913360595705
79,72355,91,0.906,0.2932865414619446
80,89845,113,0.904,0.3136511511802673
81,98590,124,0.904,0.3102169246673584
82,120055,151,0.912,0.31626769161224366
83,103360,130,0.904,0.3101700448989868
84,124825,157,0.902,0.30574444580078125
85,124825,157,0.904,0.3151140327453613
86,126415,159,0.902,0.3112814426422119
87,108925,137,0.903,0.30391792917251587
88,112105,141,0.9,0.3062414631843567
89,139135,175,0.902,0.3111474223136902
90,139135,175,0.902,0.3074551272392273
91,137545,173,0.9,0.3245737950801849
92,106540,134,0.91,0.3120166552066803
93,129595,163,0.909,0.3012934286594391
94,151060,190,0.903,0.31914612698554995
95,151060,190,0.902,0.3001120948791504
96,129595,163,0.899,0.319268306016922
97,158215,199,0.899,0.32305892062187197
98,168550,212,0.901,0.2987626991271973
99,110515,139,0.899,0.324105934381485
100,101770,128,0.905,0.30443705463409426
101,101770,128,0.903,0.30732930040359496
102,101770,128,0.9,0.3089980754852295
103,46915,59,0.898,0.33514885044097903
104,46120,58,0.895,0.3214536464214325
105,49300,62,0.9,0.3271331796646118
106,58045,73,0.908,0.29217107605934145
107,58045,73,0.9,0.32308341360092163
108,56455,71,0.892,0.32238232827186586
109,72355,91,0.9,0.3090512454509735
110,75535,95,0.906,0.3055337314605713
111,62020,78,0.913,0.29827508330345154
112,62020,78,0.903,0.30742024540901186
113,89050,112,0.897,0.2993498092889786
