Experiment 1 ,07_03_2020_05-27-24

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Nadam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,32605,41,0.899,0.3212361216545105
1,33400,42,0.912,0.2951705629825592
2,38965,49,0.908,0.28506226563453674
3,33400,42,0.904,0.29347825479507444
4,41350,52,0.906,0.2858073208332062
5,38965,49,0.91,0.28038183784484866
6,38170,48,0.913,0.2829416036605835
7,51685,65,0.91,0.28965290188789367
8,50890,64,0.907,0.2884809386730194
9,45325,57,0.907,0.2985328803062439
10,42145,53,0.909,0.29408403038978576
11,55660,70,0.907,0.2863295936584473
12,42940,54,0.907,0.2875251441001892
13,42145,53,0.912,0.2821944010257721
14,38170,48,0.915,0.2944272198677063
15,43735,55,0.912,0.2760549080371857
16,53275,67,0.917,0.28193741393089294
17,63610,80,0.911,0.2682705276012421
18,63610,80,0.909,0.275879976272583
19,65200,82,0.92,0.27789869117736815
20,65200,82,0.91,0.2836028242111206
21,65200,82,0.914,0.2657448292970657
22,65200,82,0.918,0.2595167536735535
23,58840,74,0.91,0.2684247386455536
24,74740,94,0.916,0.26282973957061767
25,74740,94,0.915,0.2594313380718231
26,85870,108,0.918,0.2652121260166168
27,98590,124,0.918,0.257817622423172
28,85870,108,0.921,0.2508916120529175
29,108130,136,0.926,0.2304729551076889
30,105745,133,0.916,0.24433087480068208
31,123235,155,0.922,0.24386881923675538
32,136750,172,0.914,0.2475308562517166
33,136750,172,0.918,0.23384987950325012
34,131185,165,0.928,0.23483120799064636
35,145495,183,0.919,0.2359949424266815
36,157420,198,0.919,0.2304609785079956
37,157420,198,0.92,0.24537390446662902
38,159805,201,0.933,0.21415664803981782
39,159805,201,0.924,0.23849755144119264
40,157420,198,0.917,0.25713190937042235
41,154240,194,0.927,0.22295336782932282
42,160600,202,0.929,0.2212205069065094
43,68380,86,0.914,0.2779078824520111
44,71560,90,0.919,0.25910554265975955
45,73945,93,0.908,0.2630972418785095
46,84280,106,0.926,0.2569000451564789
47,79510,100,0.918,0.25203724765777585
48,92230,116,0.915,0.2562621321678162
49,68380,86,0.918,0.2633736044168472
50,87460,110,0.911,0.2745710582733154
51,77920,98,0.907,0.25707801115512846
52,99385,125,0.92,0.2579581627845764
53,62815,79,0.914,0.25813471579551694
54,76330,96,0.921,0.24758533120155335
55,96205,121,0.907,0.292076155424118
56,121645,153,0.912,0.261381138920784
57,122440,154,0.929,0.2302539322376251
58,124030,156,0.928,0.23837153613567352
59,124030,156,0.916,0.2627473785877228
60,149470,188,0.918,0.23451891911029815
61,121645,153,0.923,0.2398448910713196
62,131980,166,0.924,0.22250468027591705
63,165370,208,0.928,0.23884977555274964
64,199555,251,0.931,0.21220608854293824
65,236125,297,0.929,0.22311150598526
66,236125,297,0.923,0.22297538959980012
67,186040,234,0.927,0.209884526014328
68,187630,236,0.923,0.23089220452308654
69,239305,301,0.927,0.2057979881167412
70,294955,371,0.917,0.24371775937080384
71,306880,386,0.927,0.22515575444698332
72,306880,386,0.938,0.19832019901275635
73,263155,331,0.905,0.28692347812652585
74,262360,330,0.93,0.2140746352672577
75,235330,296,0.925,0.22851613402366638
76,251230,316,0.922,0.2200975261926651
77,259180,326,0.927,0.20372448694705964
78,304495,383,0.923,0.21134336137771606
79,238510,300,0.929,0.205519140958786
80,276670,348,0.93,0.21415746396780014
81,218635,275,0.93,0.21549589824676513
82,279055,351,0.93,0.20375295507907867
83,311650,392,0.931,0.20288466715812684
84,322780,406,0.928,0.2136373946070671
85,391150,492,0.935,0.21322878992557526
86,444415,559,0.94,0.18248621708154678
87,557305,701,0.944,0.18770579636096954
88,415795,523,0.937,0.19063907277584075
89,410230,516,0.94,0.18125741267204284
90,516760,650,0.938,0.2011013889312744
91,618520,778,0.938,0.19240399754047394
92,636805,801,0.942,0.1893893735408783
93,636805,801,0.933,0.19902648794651032
94,395125,497,0.934,0.20366808390617372
95,289390,364,0.937,0.1997032482624054
96,314035,395,0.927,0.21243649125099182
