Experiment 1 ,06_03_2020_21-27-15

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,35785,45,0.909,0.2883354744911194
1,35785,45,0.915,0.27739387822151185
2,38170,48,0.909,0.2959979431629181
3,38170,48,0.902,0.30498992919921875
4,46915,59,0.907,0.2938283774852753
5,51685,65,0.919,0.264405056476593
6,52480,66,0.911,0.2775092530250549
7,43735,55,0.911,0.2800920374393463
8,42940,54,0.905,0.28630756664276125
9,42940,54,0.896,0.2970876274108887
10,40555,51,0.906,0.2789028606414795
11,46915,59,0.91,0.2864312627315521
12,56455,71,0.915,0.26954263758659364
13,50095,63,0.909,0.2831032865047455
14,57250,72,0.907,0.28265988564491273
15,54070,68,0.913,0.2804678201675415
16,62815,79,0.918,0.26818988561630247
17,62815,79,0.91,0.26748937261104583
18,61225,77,0.915,0.2652279901504517
19,62020,78,0.901,0.29184992480278016
20,85870,108,0.91,0.2754299941062927
21,93820,118,0.912,0.2749269413948059
22,57250,72,0.908,0.2769449272155762
23,63610,80,0.911,0.27213295578956603
24,92230,116,0.92,0.25096792006492613
25,100975,127,0.917,0.25401593339443207
26,97000,122,0.922,0.23834778213500976
27,71560,90,0.919,0.24270524954795838
28,66790,84,0.924,0.24973522639274598
29,65200,82,0.914,0.2578751664161682
30,65200,82,0.91,0.25809213280677795
31,66790,84,0.905,0.2693929417133331
32,64405,81,0.912,0.2706901569366455
33,77920,98,0.915,0.26470780777931213
34,71560,90,0.911,0.263956830739975
35,79510,100,0.918,0.25551188135147096
36,81895,103,0.914,0.24823854517936705
37,103360,130,0.922,0.23876603984832764
38,103360,130,0.924,0.23704437851905824
39,110515,139,0.922,0.2482843861579895
40,110515,139,0.919,0.24292017531394958
41,77920,98,0.909,0.2827693474292755
42,97000,122,0.915,0.2460060749053955
43,92230,116,0.919,0.2367015781402588
44,117670,148,0.919,0.24483436274528503
45,117670,148,0.921,0.24229855895042418
46,149470,188,0.926,0.22490055906772613
47,123235,155,0.928,0.220783948302269
48,123235,155,0.922,0.2206997537612915
49,116080,146,0.92,0.23580508756637572
50,136750,172,0.928,0.23053174030780793
51,161395,203,0.921,0.2376469054222107
52,174115,219,0.933,0.21528451192378997
53,148675,187,0.92,0.23479191088676452
54,116080,146,0.91,0.2409891446828842
55,120055,151,0.923,0.2379617717266083
56,120055,151,0.918,0.24760698771476747
57,110515,139,0.924,0.2263165955543518
58,112900,142,0.917,0.2570622372627258
59,112900,142,0.922,0.24390407562255859
60,112900,142,0.918,0.2613522925376892
61,119260,150,0.926,0.2251249234676361
62,119260,150,0.916,0.2545885047912598
63,103360,130,0.925,0.2545186951160431
64,91435,115,0.92,0.24471804368495942
65,80305,101,0.906,0.2696161994934082
66,103360,130,0.921,0.2374140841960907
67,92230,116,0.919,0.24771597862243652
68,105745,133,0.923,0.24531148195266725
69,101770,128,0.916,0.259208352804184
70,93025,117,0.915,0.24508835911750793
71,108130,136,0.916,0.2494324005842209
72,108925,137,0.919,0.25569861483573914
73,121645,153,0.924,0.23357228434085847
74,111310,140,0.933,0.23011838221549988
75,161395,203,0.923,0.23385790956020355
76,147880,186,0.931,0.2263969384431839
77,157420,198,0.916,0.2502821934223175
78,160600,202,0.922,0.24297828912734987
79,208300,262,0.93,0.2105243227481842
80,270310,340,0.928,0.2100668946504593
81,157420,198,0.938,0.21548822581768035
82,193195,243,0.929,0.22158501613140105
83,201940,254,0.928,0.2214793951511383
84,183655,231,0.924,0.2252969105243683
85,183655,231,0.925,0.2243927593231201
86,183655,231,0.92,0.22718726360797883
87,206710,260,0.924,0.2200372121334076
88,170140,214,0.929,0.23368801152706145
89,143110,180,0.926,0.2274822927713394
90,143110,180,0.926,0.2308343322277069
91,149470,188,0.919,0.24080128979682922
92,178090,224,0.92,0.24782638716697694
93,185245,233,0.924,0.23490577602386475
94,226585,285,0.928,0.21558684515953064
95,209890,264,0.932,0.21257610964775087
96,256795,323,0.926,0.22390928959846496
97,306880,386,0.924,0.22944116580486298
98,325960,410,0.936,0.20371375644207002
99,343450,432,0.933,0.2051189879179001
100,229765,289,0.93,0.2184949231147766
101,131980,166,0.916,0.2492849850654602
102,167755,211,0.923,0.2274943416118622
103,168550,212,0.929,0.23077865922451019
104,213865,269,0.928,0.21844707500934601
105,100180,126,0.913,0.26084584355354307
106,94615,119,0.919,0.2537618662118912
107,98590,124,0.908,0.2651919105052948
108,101770,128,0.908,0.2519423954486847
109,106540,134,0.925,0.24448269152641297
110,116875,147,0.917,0.25407292318344116
111,108925,137,0.924,0.24264268159866334
112,88255,111,0.912,0.2636151211261749
113,119260,150,0.921,0.25954097032546997
114,104950,132,0.92,0.25352770948410036
115,158215,199,0.919,0.22203445661067964
116,201940,254,0.925,0.23085485005378723
117,228175,287,0.921,0.21749715638160705
118,187630,236,0.932,0.2123472226858139
