Experiment 2 ,07_03_2020_14-38-40

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.SGD

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,39760,50,0.852,0.5621603727340698
1,50095,63,0.858,0.5499739990234375
2,49300,62,0.846,0.5624129753112793
3,56455,71,0.853,0.5339422316551209
4,59635,75,0.855,0.5332758631706238
5,59635,75,0.866,0.5406094331741333
6,72355,91,0.864,0.5478139839172363
7,72355,91,0.855,0.535925763130188
8,59635,75,0.864,0.5427125663757324
9,71560,90,0.849,0.5565909562110901
10,71560,90,0.852,0.538776605129242
11,69970,88,0.853,0.549571849822998
12,50095,63,0.856,0.5385713081359863
13,60430,76,0.853,0.5449976644515991
14,50890,64,0.859,0.5369863481521606
15,59635,75,0.866,0.5432584853172302
16,71560,90,0.858,0.5400789823532105
17,69970,88,0.856,0.5399530167579651
18,89845,113,0.854,0.5299005355834961
19,46915,59,0.854,0.5551217083930969
20,101770,128,0.854,0.5374616346359253
21,73150,92,0.859,0.5320512056350708
22,73150,92,0.858,0.5379781112670898
23,50095,63,0.851,0.5473897075653076
24,57250,72,0.849,0.5471626386642456
25,46120,58,0.846,0.5498288102149963
26,56455,71,0.854,0.5448851270675659
27,89845,113,0.858,0.532578514099121
28,38170,48,0.855,0.5458234510421753
29,37375,47,0.863,0.5545871858596801
30,75535,95,0.858,0.5346534852981567
31,63610,80,0.853,0.5512095198631287
32,57250,72,0.858,0.5468051204681397
33,59635,75,0.847,0.5471785306930542
34,59635,75,0.847,0.5454855041503907
35,53275,67,0.856,0.5257064194679261
36,57250,72,0.855,0.5343493604660035
37,56455,71,0.86,0.5336950731277466
38,54070,68,0.867,0.5418380317687989
39,62020,78,0.856,0.5447366404533386
40,58840,74,0.846,0.5492117319107056
41,77125,97,0.862,0.5426142129898072
42,46915,59,0.854,0.555861083984375
43,47710,60,0.842,0.5664870896339417
44,42145,53,0.854,0.5666385641098023
45,27835,35,0.842,0.563163631439209
46,46120,58,0.855,0.5502770533561706
47,46120,58,0.862,0.5544694967269898
48,46120,58,0.85,0.5498985662460327
49,38170,48,0.853,0.5640611963272095
50,42940,54,0.846,0.5649767999649048
51,32605,41,0.856,0.5513165769577026
52,55660,70,0.858,0.5465810871124268
53,46120,58,0.852,0.5609070935249328
54,46120,58,0.854,0.5567805166244507
55,40555,51,0.851,0.5454893608093262
56,44530,56,0.854,0.5477355327606201
57,46915,59,0.853,0.5533527002334595
58,44530,56,0.863,0.5427463436126709
59,55660,70,0.851,0.540932776927948
60,58840,74,0.857,0.538999617099762
61,53275,67,0.851,0.5478902835845947
62,53275,67,0.856,0.5507210478782654
63,85075,107,0.858,0.5277751703262329
64,49300,62,0.855,0.5524231023788452
65,77125,97,0.847,0.5545992240905762
66,97795,123,0.865,0.5174378304481506
67,77125,97,0.858,0.5359361791610717
68,75535,95,0.855,0.5506083827018737
69,85075,107,0.864,0.5274664859771728
70,80305,101,0.852,0.5372869424819946
71,93820,118,0.859,0.5243029074668885
72,114490,144,0.855,0.5273994960784912
73,99385,125,0.862,0.5251356344223023
74,120850,152,0.867,0.522636323928833
75,124825,157,0.863,0.5235564775466919
76,151060,190,0.854,0.533728952884674
77,156625,197,0.854,0.5245941019058228
78,197170,248,0.861,0.5243482232093811
79,159805,201,0.855,0.529842725276947
80,178090,224,0.864,0.5184267115592956
81,125620,158,0.855,0.5286063079833985
82,179680,226,0.858,0.5296603660583497
83,190810,240,0.862,0.5233606548309326
84,132775,167,0.848,0.5335055761337281
85,223405,281,0.861,0.5092010040283204
86,240895,303,0.853,0.5114760951995849
87,200350,252,0.867,0.5145606813430786
88,240895,303,0.862,0.5315518798828125
89,269515,339,0.866,0.5164332571029663
90,293365,369,0.865,0.5111228284835816
91,312445,393,0.861,0.5226400346755982
92,299725,377,0.859,0.5050526127815247
93,303700,382,0.858,0.5138244924545288
94,325165,409,0.856,0.5198313226699829
95,280645,353,0.861,0.5254359884262085
96,348220,438,0.875,0.5131652312278747
97,287005,361,0.864,0.5119999437332153
98,287005,361,0.862,0.5190928888320923
99,273490,344,0.862,0.5193939146995544
100,273490,344,0.859,0.5222587094306946
101,440440,554,0.867,0.5071128206253052
102,152650,192,0.858,0.5160534539222718
103,355375,447,0.863,0.5087247157096862
