Experiment 1 ,07_03_2020_01-27-20

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.selu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,34195,43,0.888,0.3360154595375061
1,36580,46,0.891,0.3381251502037048
2,30220,38,0.896,0.34092792987823484
3,34990,44,0.89,0.3315265135765076
4,17500,22,0.892,0.35708492469787595
5,9550,12,0.887,0.3918888893127441
6,7165,9,0.871,0.41523414611816406
7,7960,10,0.882,0.410701105594635
8,8755,11,0.878,0.4114191222190857
9,9550,12,0.884,0.36964443492889404
10,8755,11,0.879,0.39373407936096194
11,11935,15,0.882,0.3647683324813843
12,10345,13,0.881,0.3817629923820496
13,11140,14,0.89,0.37262328672409056
14,8755,11,0.888,0.3784458727836609
15,13525,17,0.884,0.3787572147846222
16,15910,20,0.893,0.3539227223396301
17,13525,17,0.887,0.35187921619415286
18,18295,23,0.896,0.33688758707046507
19,15115,19,0.882,0.35849638986587523
20,11935,15,0.899,0.3506890177726746
21,12730,16,0.892,0.3568089714050293
22,14320,18,0.886,0.36106377696990966
23,12730,16,0.885,0.36880260181427
24,14320,18,0.895,0.34542380523681643
25,13525,17,0.885,0.3557202384471893
26,14320,18,0.899,0.3410627813339233
27,13525,17,0.889,0.35315469217300416
28,15115,19,0.886,0.35663005447387697
29,15115,19,0.89,0.3571591758728027
30,9550,12,0.894,0.39700320482254026
31,10345,13,0.89,0.3734118242263794
32,12730,16,0.898,0.3477037992477417
33,11935,15,0.882,0.36654339170455935
34,10345,13,0.882,0.382515851020813
35,11935,15,0.893,0.36264288902282715
36,11935,15,0.886,0.3704477634429932
37,11935,15,0.875,0.3757414951324463
38,14320,18,0.887,0.3656237754821777
39,15115,19,0.893,0.3483451499938965
40,15115,19,0.896,0.34564402675628664
41,17500,22,0.892,0.3524607129096985
42,16705,21,0.889,0.3485069537162781
43,13525,17,0.901,0.3469890525341034
44,15115,19,0.89,0.3574433364868164
45,12730,16,0.883,0.3748197121620178
46,14320,18,0.89,0.3702539801597595
47,11935,15,0.889,0.3729095139503479
48,9550,12,0.88,0.37912855434417725
49,10345,13,0.895,0.3808039484024048
50,7960,10,0.878,0.40080863189697263
51,7960,10,0.881,0.4188922643661499
52,7165,9,0.869,0.4350602807998657
53,7960,10,0.875,0.41786340713500975
54,7960,10,0.885,0.41744658184051514
55,6370,8,0.848,0.503363564491272
56,6370,8,0.864,0.45714200973510744
57,5575,7,0.877,0.45091975927352906
58,6370,8,0.867,0.4237247748374939
59,5575,7,0.862,0.4572822332382202
60,6370,8,0.858,0.4595794196128845
61,6370,8,0.854,0.46154798221588134
62,3985,5,0.818,0.6480952053070068
63,3985,5,0.819,0.6280305347442627
64,4780,6,0.849,0.5417938103675842
65,3190,4,0.757,0.8134431915283203
66,3190,4,0.781,0.720478663444519
67,3985,5,0.804,0.6653102312088013
68,4780,6,0.823,0.5653927354812622
69,4780,6,0.819,0.5819187097549439
70,3985,5,0.796,0.7173089179992675
71,4780,6,0.851,0.5351889514923096
72,5575,7,0.851,0.5372758874893189
73,5575,7,0.85,0.4993852996826172
74,7165,9,0.869,0.4536298198699951
75,7960,10,0.883,0.4142034058570862
76,4780,6,0.838,0.5567046031951904
77,5575,7,0.848,0.5528514475822449
78,5575,7,0.861,0.4577798843383789
79,3190,4,0.769,0.7783523969650269
80,3985,5,0.764,0.7920296554565429
81,3190,4,0.804,0.6976040563583374
82,3190,4,0.795,0.7636239089965821
83,2395,3,0.664,1.0770622062683106
84,2395,3,0.696,0.9537232656478882
85,1600,2,0.514,1.4494919891357423
86,1600,2,0.503,1.4056531352996826
87,1600,2,0.485,1.3900721769332887
88,1600,2,0.509,1.4340284461975097
89,1600,2,0.481,1.3719927968978882
90,1600,2,0.474,1.43291206741333
91,1600,2,0.555,1.3650432605743408
92,1600,2,0.53,1.4450602149963379
93,1600,2,0.527,1.396431097984314
94,1600,2,0.467,1.4677487182617188
95,1600,2,0.524,1.4782038164138793
96,1600,2,0.542,1.3033272705078125
97,1600,2,0.536,1.3413408975601195
98,1600,2,0.562,1.3140614376068116
99,1600,2,0.534,1.3630456809997558
100,1600,2,0.487,1.3424604797363282
101,1600,2,0.473,1.4381757373809814
102,1600,2,0.439,1.4884791355133056
103,805,1,0.264,1.770713521003723
104,805,1,0.273,1.8545350542068482
105,805,1,0.294,1.8449272441864013
106,805,1,0.245,1.8081240453720093
107,805,1,0.29,1.861388913154602
108,805,1,0.291,1.7881818199157715
109,805,1,0.322,1.8228117961883545
110,805,1,0.261,1.8423359241485595
111,805,1,0.243,1.8310935392379761
112,805,1,0.266,1.8362060079574585
113,805,1,0.254,1.9237115602493287
114,805,1,0.239,1.7771430473327636
115,805,1,0.3,1.8392460994720459
116,805,1,0.261,1.938494089126587
117,805,1,0.251,1.830749879837036
118,805,1,0.259,1.8726164665222167
119,805,1,0.283,1.7892206926345826
120,805,1,0.275,1.8792127590179444
121,805,1,0.281,1.7993856086730957
122,805,1,0.276,1.8810843238830566
123,805,1,0.281,1.8858281555175782
124,805,1,0.254,1.9405074787139893
