Experiment 2 ,07_03_2020_04-27-21

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.softmax
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,19885,25,0.716,1.1537974367141723
1,19885,25,0.821,1.0921432456970215
2,25450,32,0.803,1.1354342269897462
3,25450,32,0.818,1.1363024463653564
4,7165,9,0.755,1.151721468925476
5,21475,27,0.733,1.1537963638305664
6,24655,31,0.716,1.2219477300643922
7,19090,24,0.787,1.1507870826721192
8,16705,21,0.78,1.1588125658035278
9,15115,19,0.754,1.1699325885772704
10,14320,18,0.73,1.1229072465896606
11,17500,22,0.749,1.1885951747894288
12,14320,18,0.802,1.1410925025939942
13,13525,17,0.83,1.1323077249526978
14,14320,18,0.782,1.1584171180725098
15,13525,17,0.874,1.0580538034439086
16,13525,17,0.807,1.177696090698242
17,21475,27,0.83,1.1055297374725341
18,18295,23,0.73,1.1584355669021607
19,15910,20,0.822,1.092716926574707
20,16705,21,0.785,1.1343831672668456
21,15910,20,0.87,1.0584118728637695
22,18295,23,0.828,1.082427758216858
23,13525,17,0.8,1.1319988040924072
24,10345,13,0.774,1.2039060115814209
25,21475,27,0.745,1.169894190788269
26,12730,16,0.786,1.166626049041748
27,19885,25,0.764,1.170122495651245
28,19885,25,0.795,1.1138420829772948
29,23065,29,0.784,1.1495458269119263
30,19090,24,0.809,1.0805253171920777
31,23065,29,0.789,1.1347700443267823
32,19885,25,0.811,1.1041883506774903
33,19885,25,0.82,1.0923110885620118
34,27040,34,0.784,1.1576131172180175
35,27835,35,0.816,1.0829321956634521
36,35785,45,0.852,1.1138780794143677
37,27835,35,0.812,1.110602300643921
38,36580,46,0.87,1.093696310043335
39,36580,46,0.878,1.0636784648895263
40,52480,66,0.815,1.1155448951721192
41,34195,43,0.811,1.114259885787964
42,48505,61,0.85,1.099995527267456
43,31015,39,0.833,1.1260815753936768
44,40555,51,0.846,1.0926257572174072
45,37375,47,0.881,1.0461503353118897
46,39760,50,0.825,1.1028526630401612
47,50095,63,0.821,1.0896164875030518
48,48505,61,0.861,1.100864429473877
49,89845,113,0.885,1.0695777721405029
50,42940,54,0.828,1.1111564884185792
51,46120,58,0.839,1.154297342300415
52,46120,58,0.813,1.1276438798904418
53,46120,58,0.829,1.1011369571685792
54,46120,58,0.845,1.1289649333953857
55,42940,54,0.849,1.099044511795044
56,30220,38,0.862,1.119367437362671
57,40555,51,0.83,1.1087069759368897
58,39760,50,0.881,1.0419767332077026
59,46915,59,0.874,1.0743213520050048
60,47710,60,0.814,1.127885558128357
61,35785,45,0.823,1.100929202079773
62,39760,50,0.872,1.0711570243835449
63,54070,68,0.795,1.1195404014587402
64,50095,63,0.772,1.1192869567871093
65,41350,52,0.809,1.1378232593536377
66,44530,56,0.836,1.1079060649871826
67,53275,67,0.781,1.1480639152526855
68,41350,52,0.819,1.0875601329803466
69,30220,38,0.808,1.1293020095825195
70,61225,77,0.845,1.1221241798400878
71,46120,58,0.827,1.094866241455078
72,44530,56,0.872,1.0350752010345459
73,60430,76,0.793,1.1411547241210938
74,44530,56,0.857,1.0974844150543213
75,88255,111,0.845,1.1023110694885254
76,113695,143,0.89,1.0685613384246826
77,80305,101,0.821,1.0947789449691772
78,75535,95,0.849,1.1043159255981445
79,99385,125,0.828,1.1220165758132934
80,46915,59,0.869,1.1052693510055542
81,90640,114,0.824,1.1192657241821289
82,82690,104,0.821,1.1206800765991212
83,165370,208,0.882,1.0631194362640382
84,67585,85,0.814,1.1010003452301025
85,89050,112,0.807,1.138393051147461
86,115285,145,0.842,1.0986255569458008
87,109720,138,0.814,1.1124889974594117
88,75535,95,0.874,1.0885099048614502
89,143905,181,0.779,1.1518048419952394
90,130390,164,0.859,1.0798971796035766
91,50095,63,0.866,1.0607219924926758
92,101770,128,0.82,1.1161471862792969
93,83485,105,0.833,1.126863254547119
94,38965,49,0.839,1.1054893980026246
95,57250,72,0.834,1.1054164428710938
96,42940,54,0.863,1.0806787376403808
97,36580,46,0.812,1.1599285869598388
98,99385,125,0.843,1.0994906616210938
99,34990,44,0.862,1.0819014053344727
100,46915,59,0.845,1.1037116031646728
101,36580,46,0.814,1.0940571451187133
102,23065,29,0.859,1.0890735101699829
103,38170,48,0.83,1.0894456977844238
104,40555,51,0.846,1.146969612121582
105,21475,27,0.828,1.1310064163208007
106,33400,42,0.818,1.0978105506896974
107,62020,78,0.775,1.1065832414627075
108,63610,80,0.84,1.1184827136993407
109,32605,41,0.792,1.159666343688965
110,27040,34,0.808,1.094797332763672
111,31810,40,0.872,1.0852797441482545
112,29425,37,0.808,1.114634624481201
113,50095,63,0.886,1.0522362117767334
114,30220,38,0.821,1.111091368675232
115,31810,40,0.872,1.0585361461639404
116,26245,33,0.847,1.103297360420227
117,33400,42,0.829,1.0771887531280517
118,28630,36,0.873,1.0557459859848022
