Experiment 1 ,10_03_2020_23-53-17

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,31015,39,0.899,0.3005695466995239
1,31015,39,0.906,0.298207067489624
2,38170,48,0.906,0.2987229833602905
3,30220,38,0.903,0.3064775722026825
4,31015,39,0.903,0.308808557510376
5,38965,49,0.909,0.29839405059814456
6,36580,46,0.904,0.2919742484092712
7,33400,42,0.892,0.3458668093681335
8,33400,42,0.9,0.2972355704307556
9,41350,52,0.908,0.3089628665447235
10,34195,43,0.901,0.3136313967704773
11,31015,39,0.908,0.3091118750572205
12,33400,42,0.904,0.30075490999221804
13,27835,35,0.912,0.29555139541625974
14,26245,33,0.907,0.30659654235839845
15,34990,44,0.899,0.29803743529319765
16,34990,44,0.9,0.31688138604164123
17,35785,45,0.9,0.3028119640350342
18,39760,50,0.904,0.3016138503551483
19,43735,55,0.911,0.2788009366989136
20,46915,59,0.907,0.27076578426361086
21,46915,59,0.905,0.2844392340183258
22,53275,67,0.918,0.26018286085128783
23,44530,56,0.911,0.2800472118854523
24,47710,60,0.911,0.27935455918312074
25,43735,55,0.904,0.28103401327133176
26,52480,66,0.914,0.2686044085025787
27,53275,67,0.91,0.2730579469203949
28,50095,63,0.901,0.28363336086273194
29,58840,74,0.911,0.2631845648288727
30,42145,53,0.902,0.3138113307952881
31,47710,60,0.903,0.32783339071273804
32,53275,67,0.905,0.3006035144329071
33,55660,70,0.917,0.2658390326499939
34,68380,86,0.91,0.2715251688957214
35,61225,77,0.916,0.254162814617157
36,93025,117,0.916,0.25193694019317625
37,102565,129,0.925,0.23498118495941162
38,116080,146,0.923,0.24669238352775574
39,116080,146,0.926,0.22917475521564484
40,139135,175,0.92,0.24586661672592164
41,128800,162,0.923,0.23306279516220094
42,107335,135,0.913,0.24252580094337464
43,129595,163,0.92,0.23840826106071472
44,137545,173,0.93,0.24613949465751647
45,123235,155,0.924,0.23458289706707
46,130390,164,0.921,0.23633565068244933
47,147085,185,0.923,0.23145595383644105
48,114490,144,0.929,0.2294910807609558
49,111310,140,0.921,0.2445374023914337
50,134365,169,0.921,0.2166787769794464
51,144700,182,0.929,0.22199749279022216
52,116875,147,0.924,0.2383124700784683
53,134365,169,0.925,0.2227059909105301
54,163780,206,0.924,0.22871429455280304
55,202735,255,0.924,0.22125175178050996
56,205915,259,0.932,0.21656620371341706
57,171730,216,0.924,0.2319880702495575
58,213070,268,0.932,0.22606966042518617
59,208300,262,0.931,0.22312939620018005
60,217045,273,0.932,0.2014351931810379
61,277465,349,0.928,0.22542425602674485
62,294955,371,0.933,0.2024842553138733
63,377635,475,0.939,0.19070633864402772
64,294955,371,0.931,0.20665532767772674
65,293365,369,0.932,0.20828830659389497
66,290980,366,0.931,0.21614525771141052
67,333115,419,0.927,0.20139361667633057
68,388765,489,0.938,0.1997687081694603
69,436465,549,0.935,0.2057711493372917
70,377635,475,0.932,0.21010077381134032
71,410230,516,0.929,0.20695907151699067
72,728230,916,0.94,0.19239612385630608
73,667810,840,0.936,0.19755609434843063
74,701200,882,0.942,0.18668945372104645
75,851455,1071,0.928,0.22628515934944152
76,733000,922,0.936,0.18173851191997528
77,841915,1059,0.94,0.1851850034892559
78,826810,1040,0.935,0.20514156544208526
79,856225,1077,0.94,0.1853069976568222
80,1041460,1310,0.942,0.17246368324756622
81,778315,979,0.945,0.1928887948989868
82,934135,1175,0.943,0.18736405050754548
83,934135,1175,0.943,0.18435591459274292
84,844300,1062,0.941,0.17936160063743592
85,1078030,1356,0.937,0.20006311762332915
86,981040,1234,0.943,0.18185990792512893
87,1158325,1457,0.94,0.18659533739089965
88,1158325,1457,0.941,0.20027910554409026
89,1188535,1495,0.931,0.2339160184264183
90,1643275,2067,0.943,0.19610342186689378
91,1181380,1486,0.941,0.19234706544876098
92,1303015,1639,0.942,0.1829169054031372
93,1446115,1819,0.939,0.18402052173018454
94,1576495,1983,0.945,0.19202128028869628
95,887230,1116,0.942,0.1815374139547348
96,1210000,1522,0.943,0.17874105930328368
97,877690,1104,0.937,0.18899623930454254
98,1344355,1691,0.928,0.2435196352005005
99,1190125,1497,0.943,0.18221164375543594
100,1248160,1570,0.933,0.23683246591687201
101,1015225,1277,0.936,0.19691530466079712
102,1853155,2331,0.937,0.20161518856883048
103,1225105,1541,0.944,0.18602252835035324
104,858610,1080,0.944,0.17630298110842704
105,1233850,1552,0.927,0.20252664107084276
106,1137655,1431,0.919,0.2474920939207077
107,1492225,1877,0.94,0.18851403665542601
108,1714825,2157,0.942,0.18756600642204285
109,870535,1095,0.941,0.18787507593631744
110,1319710,1660,0.935,0.18884252727031708
111,1621015,2039,0.944,0.1762370128184557
112,1343560,1690,0.947,0.17512576052546502
113,658270,828,0.938,0.1943115441799164
114,1194895,1503,0.929,0.22027006354928017
