Experiment 1 ,12_03_2020_06-45-09

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.selu
initial_max_nodes ,50
loss_function ,Loss.categorical_crossentropy
optimizer ,Optimizer.SGD

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,28630,36,0.865,0.5112958679199219
1,39760,50,0.864,0.48860506343841553
2,34195,43,0.862,0.49644268226623534
3,43735,55,0.846,0.5030046234130859
4,29425,37,0.854,0.5241997442245483
5,51685,65,0.851,0.49201996612548826
6,54070,68,0.854,0.5005467300415039
7,36580,46,0.863,0.4926779317855835
8,50890,64,0.861,0.5038613090515137
9,44530,56,0.854,0.500939805984497
10,35785,45,0.855,0.5138693046569824
11,35785,45,0.859,0.5001529498100281
12,38170,48,0.863,0.4907333335876465
13,42145,53,0.87,0.48852771854400634
14,42940,54,0.853,0.5048536210060119
15,38170,48,0.854,0.49362743425369265
16,53275,67,0.861,0.4953708176612854
17,31810,40,0.865,0.501736912727356
18,65995,83,0.868,0.4778123369216919
19,68380,86,0.87,0.4697327661514282
20,69175,87,0.865,0.47977022647857664
21,54865,69,0.864,0.486690224647522
22,98590,124,0.863,0.475739725112915
23,91435,115,0.871,0.472380295753479
24,93820,118,0.87,0.4743213701248169
25,93820,118,0.866,0.4709644298553467
26,85870,108,0.865,0.4693601770401001
27,108130,136,0.87,0.4766606531143188
28,85870,108,0.864,0.4805952682495117
29,97000,122,0.865,0.46388050556182864
30,113695,143,0.866,0.4665971760749817
31,82690,104,0.876,0.46638743448257447
32,81100,102,0.864,0.47532148122787476
33,93025,117,0.866,0.46797842359542846
34,103360,130,0.865,0.4780421118736267
35,109720,138,0.863,0.468162166595459
36,179680,226,0.869,0.4624673480987549
37,182065,229,0.869,0.4677725257873535
38,130390,164,0.869,0.4584542417526245
39,75535,95,0.858,0.48465322303771974
40,94615,119,0.865,0.4747545585632324
41,89050,112,0.861,0.48047344970703126
42,89050,112,0.87,0.4715430784225464
43,109720,138,0.876,0.45305025005340577
44,107335,135,0.867,0.463425817489624
45,128005,161,0.864,0.46619907522201537
46,158215,199,0.865,0.45352729177474976
47,168550,212,0.871,0.46047798109054566
48,198760,250,0.869,0.4527202343940735
49,259180,326,0.869,0.45050372791290283
50,282235,355,0.883,0.4519323773384094
51,197965,249,0.87,0.4489606513977051
52,184450,232,0.867,0.455409255027771
53,195580,246,0.874,0.4645098776817322
54,252820,318,0.877,0.4466561441421509
55,252820,318,0.874,0.46111536169052125
56,317215,399,0.87,0.4610731601715088
57,314035,395,0.869,0.4502789182662964
58,317215,399,0.869,0.457556086063385
59,317215,399,0.877,0.43882576751708985
60,317215,399,0.869,0.456328426361084
61,167755,211,0.871,0.46163054847717283
62,210685,265,0.869,0.45136907529830933
63,201940,254,0.872,0.4572750883102417
64,209095,263,0.872,0.45747027492523196
65,257590,324,0.864,0.45976909351348877
66,329140,414,0.875,0.4468278169631958
67,321985,405,0.866,0.45157371377944944
68,383995,483,0.871,0.4450694971084595
69,477010,600,0.881,0.44633721923828124
70,509605,641,0.876,0.43643287467956543
71,617725,777,0.879,0.4342314200401306
72,603415,759,0.874,0.43822539377212527
73,644755,811,0.871,0.43568270874023435
74,834760,1050,0.873,0.4402298831939697
75,644755,811,0.882,0.4327937569618225
76,669400,842,0.87,0.4431001143455505
77,899950,1132,0.878,0.4250665259361267
78,974680,1226,0.872,0.42999848747253416
79,566050,712,0.873,0.43517716789245603
80,928570,1168,0.871,0.42861461782455446
81,1186150,1492,0.879,0.41878675174713137
82,818065,1029,0.878,0.42503044509887694
83,697225,877,0.878,0.42792345333099363
84,973885,1225,0.874,0.4289106903076172
