Experiment 1 ,11_03_2020_23-45-04

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.elu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,34990,44,0.901,0.31862580180168154
1,29425,37,0.899,0.3237618408203125
2,53275,67,0.892,0.32547297978401185
3,46120,58,0.893,0.32911372709274295
4,44530,56,0.903,0.31649767541885376
5,42940,54,0.898,0.31084513187408447
6,49300,62,0.903,0.3210833764076233
7,60430,76,0.905,0.31251605224609375
8,43735,55,0.901,0.32877266693115237
9,50890,64,0.895,0.322677978515625
10,41350,52,0.893,0.3225826091766357
11,34990,44,0.9,0.3230453009605408
12,29425,37,0.899,0.3256932866573334
13,30220,38,0.902,0.32672132301330564
14,31810,40,0.895,0.3268663082122803
15,42940,54,0.899,0.331246337890625
16,44530,56,0.901,0.30266746068000794
17,45325,57,0.893,0.339803005695343
18,58045,73,0.894,0.32798362255096436
19,50890,64,0.896,0.3142636933326721
20,73945,93,0.897,0.35515979051589963
21,54070,68,0.901,0.3081217501163483
22,51685,65,0.901,0.33107819080352785
23,58045,73,0.887,0.35524113941192625
24,56455,71,0.903,0.32179560327529905
25,50890,64,0.902,0.31890787506103513
26,73945,93,0.899,0.31957435727119443
27,65995,83,0.906,0.30705320072174075
28,104155,131,0.904,0.31029922533035276
29,96205,121,0.907,0.2976503088474274
30,96205,121,0.901,0.29834607982635497
31,104950,132,0.899,0.3304183521270752
32,135955,171,0.893,0.3159027395248413
33,114490,144,0.899,0.30086284947395325
34,120055,151,0.903,0.30613374376297
35,148675,187,0.903,0.28903713631629946
36,115285,145,0.901,0.31093369603157045
37,58840,74,0.903,0.2991728096008301
38,58840,74,0.904,0.31572147250175475
39,60430,76,0.908,0.2973271217346191
40,95410,120,0.903,0.32195109987258913
41,120850,152,0.897,0.3104399483203888
42,137545,173,0.907,0.31735418128967285
43,178090,224,0.908,0.2895037214756012
44,219430,276,0.907,0.3003750586509705
45,107335,135,0.901,0.32489501643180846
46,137545,173,0.889,0.33877685260772705
47,162190,204,0.902,0.29106673288345336
48,135955,171,0.907,0.2955229318141937
49,167755,211,0.915,0.29459911155700685
50,170935,215,0.904,0.30327895140647887
51,168550,212,0.896,0.29140048909187316
52,155035,195,0.898,0.3157768182754517
53,201145,253,0.913,0.2949682669639587
54,169345,213,0.908,0.3036806995868683
55,201940,254,0.911,0.2969624228477478
56,241690,304,0.91,0.3032743544578552
57,134365,169,0.902,0.2934624819755554
58,152650,192,0.91,0.303924809217453
59,186835,235,0.898,0.32518530774116516
60,237715,299,0.915,0.28467375588417054
61,302110,380,0.919,0.3015423188209534
62,354580,446,0.91,0.2903128218650818
63,160600,202,0.902,0.31624293053150176
64,108130,136,0.902,0.31781080102920534
65,144700,182,0.908,0.3131160717010498
66,139930,176,0.907,0.304786904335022
67,176500,222,0.905,0.29325331926345827
68,147085,185,0.909,0.303466814994812
69,157420,198,0.906,0.29997272086143495
70,125620,158,0.903,0.3114601640701294
71,139930,176,0.886,0.3544854695796967
72,120850,152,0.902,0.298153959274292
73,165370,208,0.902,0.30441411209106445
74,185245,233,0.911,0.281309282541275
75,163780,206,0.904,0.3031103627681732
76,225790,284,0.9,0.29546705389022826
77,178090,224,0.899,0.3041668519973755
78,208300,262,0.903,0.2859870774745941
79,250435,315,0.905,0.30616993141174315
80,270310,340,0.905,0.3195504062175751
81,256000,322,0.908,0.2987693839073181
82,287005,361,0.9,0.3088551082611084
83,358555,451,0.905,0.30710992908477786
84,287800,362,0.905,0.31014337301254274
85,256000,322,0.898,0.32218335223197936
86,216250,272,0.896,0.3324987289905548
87,170140,214,0.895,0.3070979051589966
88,321190,404,0.908,0.2971817479133606
89,261565,329,0.913,0.29660844016075133
90,271105,341,0.911,0.2957495925426483
