Experiment 1 ,11_03_2020_05-53-20

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,34195,1,0.906,0.2994533746242523
1,38181,2,0.907,0.29156996893882753
2,37891,2,0.91,0.2781490342617035
3,47403,2,0.912,0.2628493394851685
4,48349,3,0.901,0.3193117036819458
5,48349,3,0.911,0.2727134119272232
6,31604,2,0.916,0.2661353278160095
7,48976,3,0.904,0.2996170964241028
8,48615,3,0.912,0.25088853073120115
9,49603,4,0.913,0.2562985429763794
10,48024,2,0.913,0.2669814474582672
11,23895,2,0.9,0.29510856652259826
12,46354,4,0.91,0.2921292691230774
13,46782,2,0.913,0.2683781390190125
14,47760,5,0.901,0.27304471492767335
15,47760,5,0.901,0.29908054280281066
16,47537,4,0.916,0.26487836384773256
17,52457,4,0.899,0.32632995557785033
18,46909,4,0.924,0.24785942351818085
19,46133,3,0.919,0.24003621768951416
20,47215,4,0.91,0.2788679440021515
21,71232,5,0.913,0.2852713829278946
22,57630,5,0.915,0.27272718691825865
23,48708,5,0.908,0.2958926899433136
24,49314,5,0.922,0.2401804668903351
25,50992,6,0.895,0.3208731167316437
26,49760,6,0.905,0.2922550301551819
27,26997,5,0.909,0.2850056065320969
28,49760,6,0.91,0.28553405448794367
29,50433,5,0.919,0.28381980204582213
30,41993,5,0.914,0.28901430332660677
31,54658,5,0.918,0.26910039472579955
32,54037,5,0.906,0.3011148357391357
33,54788,5,0.904,0.3167555363178253
34,52259,6,0.893,0.34411776351928713
35,50372,5,0.913,0.26499936962127685
36,47856,6,0.911,0.3035059130340815
37,47465,5,0.909,0.30166420817375184
38,46997,4,0.917,0.26126004886627197
39,47279,4,0.911,0.26153229546546936
40,49629,5,0.918,0.25344048047065737
41,40345,5,0.913,0.2856304688453674
42,38555,4,0.908,0.28527440094947815
43,31015,1,0.902,0.3060474452972412
44,23706,2,0.908,0.26961804628372193
45,23706,2,0.908,0.2909164049625397
46,25521,3,0.909,0.29834901666641234
47,49831,4,0.908,0.29677852749824524
48,45009,4,0.92,0.2521506426334381
49,49795,6,0.922,0.28442757391929624
50,47315,5,0.918,0.27837874126434325
51,46029,4,0.914,0.24439914655685424
52,46029,4,0.917,0.25740992760658266
53,46639,4,0.919,0.260472829580307
54,48993,5,0.932,0.2501716946363449
55,45915,4,0.912,0.26002771019935605
56,49753,5,0.915,0.29049840521812437
57,50399,6,0.913,0.30894407486915587
58,46687,5,0.918,0.2488495192527771
59,44497,4,0.912,0.262708380818367
60,44497,4,0.914,0.2678122363090515
61,41328,6,0.915,0.2987182879447937
62,44497,4,0.908,0.27834636223316195
63,54866,6,0.915,0.2739583830833435
64,41346,5,0.905,0.2878078062534332
65,39342,5,0.892,0.3685279991626739
66,38896,4,0.895,0.3068328083753586
67,35961,4,0.907,0.29508275115489957
68,29075,4,0.908,0.28927948212623594
69,37646,5,0.914,0.2829290173053741
70,36381,4,0.909,0.297423766374588
71,45412,4,0.924,0.2414471333026886
72,38749,5,0.92,0.26092819476127627
73,37027,4,0.901,0.3402273056507111
74,25646,3,0.904,0.3086337695121765
75,26471,3,0.901,0.2946118836402893
76,26535,3,0.915,0.2703393468856812
77,25742,3,0.904,0.2741465830802918
78,36249,2,0.909,0.2748146529197693
79,28693,4,0.918,0.26671417605876924
80,27194,2,0.913,0.2714297468662262
81,25021,4,0.909,0.28857778453826904
82,28632,5,0.896,0.31802020108699797
83,54909,3,0.927,0.252349992275238
84,54077,3,0.925,0.24085529857873916
85,54707,3,0.918,0.2377869153022766
86,64893,3,0.929,0.22650117254257202
87,69885,3,0.918,0.2516933765411377
88,71691,4,0.935,0.20822010838985444
89,44641,3,0.913,0.2739064462184906
90,68887,4,0.919,0.24996222281455993
91,70339,4,0.929,0.2363824405670166
92,66365,3,0.903,0.2819881761074066
93,79253,3,0.904,0.30892360472679137
94,66995,3,0.909,0.28484194588661194
95,66680,3,0.915,0.27575047945976255
96,87771,3,0.924,0.21493161249160767
97,90139,3,0.921,0.23667012310028077
98,70973,3,0.925,0.24190437471866608
99,65961,3,0.93,0.2448759995698929
100,72241,3,0.913,0.24398112297058105
101,75013,4,0.914,0.29680170583724974
102,75361,4,0.928,0.22801835215091706
103,60789,3,0.912,0.2931158375740051
104,65936,4,0.923,0.2381066986322403
105,66852,5,0.914,0.2858251640796661
106,64285,3,0.891,0.35027172923088074
107,66852,5,0.902,0.3192483208179474
108,69702,6,0.922,0.26843258118629454
109,79049,3,0.929,0.21953530752658845
110,68240,4,0.93,0.23114604997634888
111,57215,2,0.929,0.22986298370361327
112,64837,4,0.914,0.2771602581739426
113,65821,3,0.923,0.23507103806734084
114,67955,3,0.927,0.22136726093292236
115,70089,3,0.933,0.2108679783344269
116,67031,3,0.919,0.23598112142086028
117,104243,2,0.931,0.22153560757637025
118,68281,4,0.914,0.2882379758358002
119,105037,3,0.924,0.24776623582839966
120,70561,4,0.911,0.26845986980199815
121,70561,4,0.921,0.27127151829004287
122,68230,2,0.907,0.25230887365341187
123,58859,3,0.918,0.27468466687202453
124,72327,3,0.916,0.2641273514032364
