Experiment 3 ,11_03_2020_07-53-20

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,22270,1,0.904,0.3078810703754425
1,20680,1,0.904,0.3149897029399872
2,24175,2,0.903,0.3159213643074036
3,28993,3,0.919,0.26719793725013735
4,12461,2,0.896,0.3487672979831696
5,14894,2,0.889,0.3140429093837738
6,9635,2,0.887,0.3635206773281097
7,38438,3,0.909,0.2858275239467621
8,31886,3,0.903,0.3129710946083069
9,38600,6,0.901,0.33758956933021544
10,31751,3,0.917,0.27885283255577087
11,28395,5,0.89,0.35708351552486417
12,27675,2,0.925,0.2630257375240326
13,41649,2,0.909,0.2963494029045105
14,50427,2,0.914,0.2792151963710785
15,36567,2,0.903,0.29379292368888854
16,36567,2,0.911,0.27385182976722716
17,33358,3,0.912,0.2752467997074127
18,9327,2,0.895,0.33094734168052675
19,37789,4,0.906,0.29195393741130826
20,30445,4,0.897,0.2976548627614975
21,9959,2,0.893,0.3421628074645996
22,11191,3,0.885,0.37021042585372926
23,36567,3,0.909,0.28679063796997073
24,37513,4,0.912,0.285541850566864
25,37671,4,0.899,0.3034033627510071
26,9371,2,0.889,0.35102402925491333
27,9371,2,0.882,0.3593847665786743
28,38976,5,0.905,0.2826251351833344
29,39696,5,0.921,0.27739301562309265
30,39696,5,0.914,0.28511342632770537
31,38850,5,0.904,0.30854619812965395
32,38850,5,0.904,0.3134603064060211
33,6189,2,0.855,0.470639986038208
34,7012,2,0.878,0.3794865062236786
35,30854,5,0.902,0.31545128011703494
36,31306,5,0.903,0.3191952437162399
37,31768,4,0.927,0.25113533210754396
38,33702,5,0.905,0.30312187314033506
39,30715,3,0.908,0.2806262805461884
40,30715,3,0.907,0.27321915006637576
41,31592,4,0.917,0.2689810279607773
42,31592,4,0.913,0.2464331786632538
43,35851,3,0.913,0.27305626797676086
44,32507,3,0.902,0.29895390319824217
45,32507,3,0.904,0.2867915624380112
46,34113,4,0.902,0.3075280439853668
