Experiment 3 ,11_03_2020_04-53-19

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,18295,23,0.907,0.3418266744613647
1,27835,35,0.899,0.3069680404663086
2,15910,20,0.896,0.3444905240535736
3,10345,13,0.884,0.37180786418914796
4,49300,62,0.911,0.268943644285202
5,60430,76,0.911,0.2740601034164429
6,26245,33,0.897,0.31965102410316465
7,77125,97,0.921,0.2532615211009979
8,52480,66,0.91,0.2868877046108246
9,54865,69,0.918,0.2573688635826111
10,18295,23,0.896,0.32555435848236086
11,44530,56,0.916,0.26807626605033874
12,66790,84,0.916,0.25933589935302737
13,68380,86,0.91,0.27039974904060365
14,46915,59,0.916,0.26996514344215394
15,50890,64,0.917,0.26856615900993347
16,59635,75,0.907,0.26795262932777403
17,31810,40,0.9,0.29747525334358216
18,47710,60,0.915,0.2749987723827362
19,51685,65,0.912,0.27249700570106505
20,44530,56,0.914,0.2798350601196289
21,45325,57,0.912,0.2733041088581085
22,61225,77,0.912,0.26246788549423217
23,29425,37,0.905,0.3044067757129669
24,40555,51,0.91,0.29463263964653014
25,65200,82,0.914,0.26927067255973813
26,58045,73,0.912,0.27466984748840334
27,74740,94,0.919,0.24436534309387206
28,70765,89,0.911,0.2645095145702362
29,70765,89,0.904,0.27766957116127017
30,81895,103,0.913,0.2676117901802063
31,91435,115,0.917,0.2581666431427002
32,34990,44,0.909,0.29620716547966003
33,46120,58,0.919,0.25909217524528505
34,37375,47,0.899,0.31282503724098204
35,41350,52,0.91,0.2946628527641296
36,22270,28,0.889,0.33933939909934996
37,43735,55,0.913,0.2699592123031616
38,41350,52,0.911,0.2818705463409424
39,47710,60,0.909,0.271807737827301
40,41350,52,0.914,0.2865099821090698
41,63610,80,0.919,0.2693819570541382
42,49300,62,0.912,0.2663594529628754
43,46915,59,0.91,0.2843715341091156
44,63610,80,0.91,0.2633805434703827
45,55660,70,0.909,0.273835595369339
46,47710,60,0.912,0.2941295428276062
47,81895,103,0.914,0.25988658690452576
48,81895,103,0.915,0.25990150690078734
49,57250,72,0.912,0.25866004633903505
50,80305,101,0.917,0.262352525472641
51,92230,116,0.919,0.24005625784397125
52,54865,69,0.915,0.26734806680679324
53,50890,64,0.915,0.2713495070934296
54,60430,76,0.916,0.2609015004634857
55,74740,94,0.916,0.2618498547077179
56,77125,97,0.913,0.2626270604133606
57,78715,99,0.924,0.24630303144454957
58,78715,99,0.916,0.26656473326683044
59,85870,108,0.915,0.252807407617569
60,80305,101,0.923,0.24969852924346925
61,121645,153,0.919,0.2387506787776947
62,121645,153,0.928,0.22513222193717958
63,114490,144,0.923,0.2511854120492935
64,107335,135,0.919,0.23833840572834014
65,118465,149,0.919,0.25114691627025604
66,125620,158,0.916,0.24999279046058656
67,159805,201,0.93,0.2263499720096588
68,139135,175,0.929,0.2251553931236267
69,170935,215,0.925,0.22248686528205872
70,214660,270,0.929,0.21590644335746764
71,192400,242,0.93,0.21380183494091035
72,214660,270,0.924,0.2328105204105377
73,239305,301,0.926,0.203166499376297
74,190015,239,0.928,0.22094791960716248
75,168550,212,0.924,0.2383682131767273
76,201940,254,0.931,0.20728184866905214
77,206710,260,0.932,0.21499960112571717
78,252025,317,0.931,0.19435980808734893
79,275080,346,0.932,0.20588109087944031
80,274285,345,0.921,0.20849154275655746
81,325960,410,0.935,0.2049977548122406
82,274285,345,0.937,0.21574703395366668
83,352195,443,0.931,0.20127405762672423
84,407845,513,0.94,0.19382656890153885
85,467470,588,0.939,0.2077079216837883
86,577975,727,0.932,0.20313996809720994
87,593875,747,0.942,0.1840706232190132
88,539020,678,0.94,0.18880269902944566
89,430900,542,0.938,0.20442516398429872
90,488935,615,0.937,0.19531070041656495
91,611365,769,0.935,0.19844308611750602
92,611365,769,0.92,0.2357661726474762
93,785470,988,0.936,0.19936089026927947
94,785470,988,0.93,0.19699672323465348
95,667015,839,0.937,0.19449973607063292
96,577975,727,0.929,0.20061920714378356
97,497680,626,0.929,0.21068495440483093
98,440440,554,0.932,0.20337518060207366
99,530275,667,0.932,0.20961257308721543
100,837940,1054,0.939,0.19937814110517502
101,763210,960,0.937,0.184167919754982
102,585130,736,0.943,0.1955359381735325
103,562075,707,0.938,0.19558386325836183
104,564460,710,0.935,0.19433057981729507
105,643165,809,0.94,0.18229887914657592
106,703585,885,0.939,0.18724483454227447
107,667015,839,0.939,0.1827648469209671
108,1289500,1622,0.935,0.19870869541168212
109,1186945,1493,0.938,0.20704702031612396
110,605005,761,0.935,0.19610336494445801
111,604210,760,0.933,0.199945172727108
112,758440,954,0.938,0.1798701882660389
113,716305,901,0.933,0.21130503892898558
114,888025,1117,0.934,0.20099405908584594
115,973090,1224,0.94,0.18753363931179046
116,978655,1231,0.937,0.20220763635635375
117,1330840,1674,0.935,0.19286835372447966
118,1330840,1674,0.94,0.1773320456445217
119,1330840,1674,0.939,0.18767264586687088
120,1133680,1426,0.933,0.19265665179491043
121,1109035,1395,0.933,0.21158338755369185
122,1453270,1828,0.939,0.19168250596523284
123,1242595,1563,0.943,0.17991276514530183
124,1472350,1852,0.936,0.19198593991994858
125,1247365,1569,0.939,0.21011530405282974
126,1057360,1330,0.943,0.18596424639225007
127,1345945,1693,0.944,0.19375213319063186
128,1747420,2198,0.935,0.2407482652962208
129,2002615,2519,0.941,0.18713520643115045
130,1865875,2347,0.942,0.1997004930973053
131,1378540,1734,0.934,0.1893288892507553
132,1704490,2144,0.943,0.19086684426665307
133,2012155,2531,0.941,0.19488678967952727
134,2710165,3409,0.942,0.18748209124803544
135,2348440,2954,0.943,0.18650613248348236
136,2478820,3118,0.946,0.1884188691973686
137,1720390,2164,0.946,0.1808255649805069
138,1998640,2514,0.949,0.17723175013065337
139,2148100,2702,0.948,0.16066968977451324
140,1911190,2404,0.937,0.18419708001613616
141,2873140,3614,0.941,0.18870108702778815
142,2291200,2882,0.94,0.18822883582115174
143,2704600,3402,0.949,0.17722419068217277
144,3129130,3936,0.946,0.19203223925828933
145,2772175,3487,0.947,0.18742508739233016
146,2346850,2952,0.948,0.17294858968257903
147,2033620,2558,0.943,0.205061197578907
148,3032935,3815,0.936,0.2216253268122673
149,2900170,3648,0.949,0.16907212280482053
150,3619645,4553,0.947,0.17184674715995787
151,3816010,4800,0.943,0.20547052198648452
152,2400910,3020,0.947,0.1849657914042473
153,2783305,3501,0.945,0.17589508840441703
154,2072575,2607,0.945,0.17820028187334538
155,3549685,4465,0.943,0.20048718321323394
156,2059855,2591,0.938,0.1908447350859642
157,3017830,3796,0.942,0.2071394407749176
158,4542640,5714,0.93,0.2510679478049278
159,3381940,4254,0.934,0.21197190852463246
160,3381940,4254,0.925,0.26321276238560676
161,2985235,3755,0.928,0.21926232513785363
162,2985235,3755,0.942,0.18718191373348236
163,3637930,4576,0.932,0.2058713812828064
164,2668030,3356,0.938,0.18878070765733718
165,1567750,1972,0.947,0.18101458168029785
166,1335610,1680,0.937,0.19728313702344893
167,1335610,1680,0.942,0.18519820162653924
