Experiment 1 ,12_03_2020_02-45-06

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Nadam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,39760,50,0.91,0.2912103798389435
1,46915,59,0.911,0.278502215385437
2,46915,59,0.913,0.2741753768920898
3,62020,78,0.911,0.26835320925712586
4,72355,91,0.915,0.2568016333580017
5,79510,100,0.917,0.2556669728755951
6,79510,100,0.911,0.27760759520530703
7,68380,86,0.913,0.28251932764053345
8,26245,33,0.903,0.3261938419342041
9,31015,39,0.907,0.3066950852870941
10,32605,41,0.903,0.30767208290100095
11,37375,47,0.893,0.3066422085762024
12,37375,47,0.915,0.26883598971366884
13,42145,53,0.904,0.3037732081413269
14,42145,53,0.901,0.31282954406738284
15,42940,54,0.905,0.29685106801986694
16,17500,22,0.894,0.3440347032546997
17,20680,26,0.898,0.32335203790664674
18,20680,26,0.902,0.32095769786834716
19,18295,23,0.903,0.3322218475341797
20,17500,22,0.908,0.3175927128791809
21,20680,26,0.898,0.3246766152381897
22,25450,32,0.896,0.34807612323760984
23,29425,37,0.9,0.3290857565402985
24,33400,42,0.906,0.29309326577186584
25,38170,48,0.916,0.28520180130004885
26,47710,60,0.906,0.2890874955654144
27,38170,48,0.907,0.28522623467445374
28,44530,56,0.912,0.26881901526451113
29,57250,72,0.912,0.2776239414215088
30,54865,69,0.906,0.2872664985656738
31,49300,62,0.911,0.28830497908592223
32,52480,66,0.91,0.2803401920795441
33,47710,60,0.905,0.2960216045379639
34,36580,46,0.909,0.2827584903240204
35,36580,46,0.901,0.31458445692062376
36,32605,41,0.91,0.279063619852066
37,35785,45,0.912,0.29156982398033143
38,33400,42,0.907,0.30138941407203673
39,34195,43,0.915,0.28868925452232364
40,40555,51,0.906,0.2878615868091583
41,50890,64,0.915,0.27545747137069704
42,59635,75,0.913,0.28387357330322266
43,48505,61,0.91,0.26794455289840696
44,43735,55,0.914,0.27845877504348754
45,55660,70,0.913,0.27618282771110536
46,70765,89,0.91,0.2836468343734741
47,62020,78,0.911,0.28066536569595335
48,77920,98,0.914,0.2682827954292297
49,81895,103,0.92,0.26141613483428955
50,107335,135,0.92,0.24708444476127625
51,97000,122,0.917,0.24402780389785766
52,111310,140,0.922,0.23752044749259948
53,103360,130,0.919,0.2560756869316101
54,103360,130,0.919,0.26254548168182373
55,112105,141,0.921,0.2418359787464142
56,106540,134,0.923,0.2491905734539032
57,138340,174,0.924,0.2427378406524658
58,151855,191,0.914,0.24881120896339418
59,121645,153,0.926,0.23235412895679475
60,138340,174,0.921,0.23936409282684326
61,129595,163,0.927,0.2216169092655182
62,165370,208,0.92,0.21886031317710877
63,151855,191,0.92,0.2272697937488556
64,192400,242,0.924,0.22163992023468018
65,187630,236,0.925,0.22897011375427245
