Experiment 1 ,12_03_2020_05-45-08

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.RMSprop

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,39760,50,0.904,0.28305481863021853
1,47710,60,0.907,0.2833074088096619
2,59635,75,0.899,0.28914178419113157
3,47710,60,0.906,0.31274643635749816
4,58840,74,0.912,0.2718476848602295
5,37375,47,0.901,0.3118817982673645
6,42940,54,0.918,0.27733664560317994
7,53275,67,0.913,0.2866332387924194
8,53275,67,0.914,0.27865236353874206
9,53275,67,0.91,0.27628306531906127
10,62020,78,0.907,0.26886017894744874
11,70765,89,0.901,0.2799516499042511
12,47710,60,0.916,0.2798569338321686
13,42940,54,0.907,0.3043961982727051
14,54070,68,0.911,0.2741442039012909
15,57250,72,0.913,0.27763654828071593
16,73150,92,0.903,0.28871954345703127
17,65995,83,0.908,0.2874099986553192
18,64405,81,0.912,0.2667378199100494
19,64405,81,0.909,0.26636555790901184
20,86665,109,0.915,0.2544827494621277
21,100975,127,0.923,0.24452610838413238
22,56455,71,0.91,0.2786348009109497
23,62815,79,0.911,0.26863140273094177
24,61225,77,0.908,0.27691372120380403
25,65995,83,0.912,0.265522518992424
26,62815,79,0.908,0.2559985290765762
27,68380,86,0.919,0.2630492691993713
28,44530,56,0.903,0.2973777105808258
29,50890,64,0.912,0.27802444410324095
30,53275,67,0.905,0.2749850580692291
31,53275,67,0.91,0.2802362494468689
32,49300,62,0.92,0.2894967677593231
33,56455,71,0.893,0.33397398138046264
34,50890,64,0.91,0.28067960500717165
35,66790,84,0.917,0.27100275707244875
36,76330,96,0.914,0.25955148148536683
37,76330,96,0.919,0.253054039478302
38,71560,90,0.917,0.254130343914032
39,91435,115,0.916,0.24861739468574523
40,85075,107,0.916,0.2660613398551941
41,105745,133,0.915,0.2609833428859711
42,83485,105,0.919,0.24178114223480224
43,82690,104,0.912,0.2640155630111694
44,87460,110,0.918,0.2554687724113464
45,95410,120,0.919,0.27445529723167417
46,80305,101,0.911,0.28621197056770326
47,75535,95,0.91,0.25811898994445803
48,61225,77,0.906,0.28826328420639036
49,87460,110,0.918,0.2505768849849701
50,105745,133,0.925,0.23643316733837128
51,122440,154,0.927,0.2326616108417511
52,131980,166,0.918,0.2328941626548767
53,140725,177,0.928,0.24235934937000275
54,207505,261,0.926,0.2095944311618805
55,133570,168,0.923,0.24278646671772003
56,142315,179,0.925,0.24036742269992828
57,174115,219,0.919,0.2505568137168884
58,170935,215,0.922,0.24287840390205384
59,193195,243,0.92,0.22586628937721254
60,187630,236,0.924,0.21414370942115785
61,170935,215,0.934,0.21386370944976807
62,193990,244,0.919,0.237590969145298
63,205120,258,0.918,0.23428130483627319
64,229765,289,0.928,0.22258626002073287
65,243280,306,0.927,0.2126472715139389
66,281440,354,0.928,0.2113956491947174
67,293365,369,0.933,0.2014594122171402
68,302110,380,0.934,0.21700497162342072
69,341860,430,0.929,0.223089959025383
70,365710,460,0.93,0.20952988451719284
71,494500,622,0.93,0.2238217503428459
72,391150,492,0.935,0.21233295845985412
73,395125,497,0.935,0.1939878752231598
74,378430,476,0.929,0.21097817015647888
75,378430,476,0.945,0.17913487893342972
76,402280,506,0.929,0.22360889863967895
77,502450,632,0.941,0.19510612869262695
78,549355,691,0.936,0.21805073738098144
79,492115,619,0.935,0.19983768421411513
80,628060,790,0.947,0.1672851619720459
81,333910,420,0.919,0.23483644980192184
