Experiment 1 ,11_03_2020_22-45-03

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,36580,46,0.9,0.29544461679458617
1,38965,49,0.907,0.2899524734020233
2,38170,48,0.903,0.29769178438186644
3,47710,60,0.911,0.28329519486427307
4,23860,30,0.903,0.31244670486450193
5,31810,40,0.897,0.3071097755432129
6,26245,33,0.913,0.2966573534011841
7,33400,42,0.905,0.29701573395729064
8,31015,39,0.915,0.29857906341552737
9,27835,35,0.909,0.309120361328125
10,34195,43,0.904,0.2963709020614624
11,39760,50,0.913,0.2867474496364594
12,38170,48,0.916,0.2841068058013916
13,54070,68,0.906,0.2892576546669006
14,54070,68,0.911,0.2866690225601196
15,49300,62,0.907,0.2901097800731659
16,48505,61,0.91,0.2774672961235046
17,58045,73,0.909,0.2902597179412842
18,72355,91,0.917,0.2584961643218994
19,57250,72,0.919,0.2614886467456818
20,64405,81,0.914,0.26197658157348636
21,77920,98,0.921,0.25707543087005613
22,102565,129,0.923,0.23701188874244689
23,116875,147,0.921,0.23960588991641998
24,111310,140,0.922,0.24167388200759887
25,99385,125,0.923,0.24608081221580505
26,100975,127,0.927,0.24338217496871947
27,110515,139,0.928,0.25164919590950013
28,109720,138,0.916,0.24591231894493104
29,138340,174,0.918,0.24477260446548463
30,116080,146,0.925,0.240500790476799
31,116080,146,0.918,0.23785821771621704
32,124825,157,0.923,0.2274909256696701
33,126415,159,0.923,0.2318823835849762
34,134365,169,0.933,0.22395127642154694
35,151060,190,0.915,0.2566470158100128
36,129595,163,0.919,0.23671231007575988
37,179680,226,0.921,0.2282344673871994
38,121645,153,0.92,0.2458553878068924
39,152650,192,0.923,0.22363129317760466
40,137545,173,0.916,0.2555886175632477
41,124825,157,0.92,0.24272071826457978
42,116080,146,0.917,0.25054104733467103
43,159010,200,0.923,0.22461230587959288
44,145495,183,0.926,0.2151542820930481
45,134365,169,0.932,0.2256301862001419
46,172525,217,0.929,0.2190476882457733
47,124825,157,0.926,0.22104329800605774
48,136750,172,0.916,0.22969336915016175
49,151060,190,0.931,0.21908874249458313
50,151060,190,0.927,0.23071425378322602
51,142315,179,0.924,0.23633848309516906
52,113695,143,0.92,0.22842412281036378
53,104155,131,0.918,0.24205990707874298
54,122440,154,0.921,0.23631173062324523
55,109720,138,0.917,0.2376543266773224
56,149470,188,0.929,0.22262663245201111
57,149470,188,0.926,0.22335339164733886
58,155830,196,0.92,0.2236503653526306
59,145495,183,0.921,0.2309137841463089
60,182860,230,0.927,0.22833570039272308
61,177295,223,0.924,0.24648169493675232
62,196375,247,0.93,0.21766300058364868
63,196375,247,0.927,0.22028086864948274
64,208300,262,0.933,0.22378011560440064
65,256000,322,0.928,0.21843945145606994
66,197965,249,0.923,0.23022540760040283
67,182065,229,0.932,0.2221294138431549
68,221020,278,0.933,0.20565008628368378
69,221020,278,0.928,0.2094565761089325
70,193990,244,0.911,0.2621715248823166
71,193990,244,0.92,0.21182621693611145
72,145495,183,0.935,0.2249443962574005
73,166165,209,0.926,0.2045266535282135
74,162985,205,0.924,0.23158583045005798
75,166165,209,0.919,0.22861825132369995
76,177295,223,0.93,0.22705627703666686
77,170140,214,0.925,0.22094240391254424
78,133570,168,0.926,0.2285156970024109
79,139930,176,0.928,0.21892797994613647
80,151060,190,0.911,0.2539739114046097
81,155830,196,0.922,0.2305457580089569
82,170935,215,0.927,0.2233991038799286
83,159805,201,0.915,0.23169838333129883
84,151060,190,0.931,0.22706445360183716
85,151855,191,0.925,0.22169092750549316
86,161395,203,0.915,0.24457771587371827
87,145495,183,0.928,0.21742388319969178
88,135955,171,0.926,0.23244652938842775
89,151060,190,0.931,0.22369390916824342
90,101770,128,0.911,0.24389173305034637
