Experiment 2 ,12_03_2020_05-15-08

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.SGD

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,39760,50,0.842,0.5588269643783569
1,44530,56,0.85,0.5549772872924804
2,34990,44,0.85,0.5677922339439392
3,35785,45,0.852,0.5430025944709778
4,43735,55,0.848,0.5652575016021728
5,42940,54,0.851,0.5651196436882019
6,45325,57,0.853,0.5543712520599365
7,56455,71,0.867,0.5343139772415161
8,38965,49,0.864,0.5322801551818848
9,61225,77,0.857,0.5408294587135315
10,52480,66,0.857,0.5479002933502197
11,69970,88,0.848,0.5473580746650696
12,27835,35,0.851,0.5654084215164185
13,23065,29,0.849,0.5696305837631226
14,17500,22,0.84,0.5725551795959473
15,22270,28,0.835,0.582123110294342
16,20680,26,0.855,0.5667153663635254
17,20680,26,0.852,0.5731366062164307
18,22270,28,0.842,0.5765897874832153
19,23065,29,0.858,0.5484276866912842
20,20680,26,0.848,0.5692789840698242
21,23065,29,0.86,0.5663880100250244
22,27835,35,0.839,0.5796870574951172
23,27835,35,0.852,0.5664847707748413
24,27835,35,0.844,0.6049793424606323
25,34990,44,0.85,0.5819887132644653
26,28630,36,0.845,0.5584355382919312
27,28630,36,0.843,0.5939797477722168
28,31810,40,0.857,0.5605871305465698
29,34990,44,0.857,0.5756417779922486
30,18295,23,0.83,0.6130305404663086
31,22270,28,0.84,0.5794371719360352
32,19885,25,0.846,0.5884786911010742
33,22270,28,0.844,0.5879666442871094
34,16705,21,0.845,0.5820303797721863
35,25450,32,0.846,0.5801700925827027
36,25450,32,0.835,0.5853264856338501
37,24655,31,0.857,0.5545028285980225
38,24655,31,0.848,0.5702159209251404
39,20680,26,0.839,0.5951693820953369
40,18295,23,0.859,0.5671174716949463
41,23065,29,0.847,0.6051929988861084
42,26245,33,0.832,0.5858348236083984
43,24655,31,0.852,0.5580703339576721
44,19090,24,0.837,0.5835011100769043
45,19090,24,0.851,0.5833756923675537
46,20680,26,0.85,0.5866268301010131
47,16705,21,0.848,0.5957706966400147
48,25450,32,0.855,0.5890307331085205
49,30220,38,0.841,0.5635497360229492
50,22270,28,0.845,0.5672202224731445
51,15115,19,0.839,0.6017276973724365
52,19090,24,0.822,0.6381235365867615
53,11140,14,0.835,0.6350083146095276
54,17500,22,0.847,0.5836036634445191
55,22270,28,0.856,0.5723041043281555
56,20680,26,0.837,0.5894661765098572
57,23065,29,0.85,0.5630893754959106
58,12730,16,0.841,0.601687162399292
59,11140,14,0.832,0.6088205900192261
60,19090,24,0.845,0.5952359962463379
61,20680,26,0.848,0.6019690837860108
62,25450,32,0.84,0.5857223310470581
63,17500,22,0.839,0.6091303834915162
64,23065,29,0.845,0.5876644902229309
65,19090,24,0.846,0.5925888757705688
66,22270,28,0.853,0.5755058946609497
67,28630,36,0.848,0.5750741424560547
68,19090,24,0.854,0.5777491235733032
69,18295,23,0.848,0.6031428213119507
70,18295,23,0.831,0.6104068918228149
71,18295,23,0.848,0.5774831333160401
72,15910,20,0.854,0.5919799785614014
73,15115,19,0.829,0.6065577373504639
74,13525,17,0.837,0.6114271125793457
75,20680,26,0.846,0.6012150115966797
76,16705,21,0.846,0.5749934453964234
77,16705,21,0.848,0.5767831554412842
78,29425,37,0.858,0.5401832103729248
79,35785,45,0.846,0.5718296213150025
80,35785,45,0.846,0.5610074510574341
81,29425,37,0.852,0.536859603881836
82,37375,47,0.847,0.5402049927711486
83,34990,44,0.861,0.5573637037277221
84,34195,43,0.844,0.5710850329399109
85,61225,77,0.853,0.5341670656204224
86,67585,85,0.849,0.53411465549469
87,67585,85,0.855,0.5433539338111878
88,42940,54,0.858,0.5416171436309815
89,73150,92,0.845,0.5439110050201416
90,60430,76,0.841,0.5610391631126403
91,73945,93,0.857,0.534961256980896
92,68380,86,0.856,0.5259419317245484
93,77920,98,0.862,0.5394713497161865
94,63610,80,0.859,0.5321732311248779
95,62815,79,0.856,0.5442125558853149
