Experiment 1 ,09_03_2020_22-49-56

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Nadam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,28630,36,0.908,0.2934114234447479
1,31810,40,0.902,0.29633381915092466
2,37375,47,0.901,0.2992816791534424
3,39760,50,0.903,0.30826544070243833
4,39760,50,0.901,0.30451867246627806
5,43735,55,0.914,0.27588499307632447
6,45325,57,0.907,0.28727198219299316
7,50095,63,0.907,0.29026399946212766
8,39760,50,0.903,0.2862094252109528
9,44530,56,0.911,0.2924077129364014
10,55660,70,0.912,0.27921422791481015
11,51685,65,0.905,0.29247961163520814
12,65200,82,0.914,0.27783698606491086
13,83485,105,0.919,0.24771618890762329
14,95410,120,0.915,0.25517727446556093
15,97795,123,0.92,0.2527919523715973
16,81100,102,0.922,0.24225280785560607
17,62815,79,0.907,0.2773683598041534
18,30220,38,0.9,0.31849232578277586
19,32605,41,0.907,0.2999214246273041
20,31015,39,0.9,0.31610169506073
21,34990,44,0.911,0.29131411814689634
22,34195,43,0.9,0.30596917510032656
23,34990,44,0.905,0.2965856668949127
24,38965,49,0.914,0.2901691901683807
25,38170,48,0.907,0.2925631694793701
26,40555,51,0.91,0.2718414180278778
27,31810,40,0.908,0.2955959153175354
28,31810,40,0.907,0.2917636845111847
29,36580,46,0.912,0.2910273365974426
30,31015,39,0.904,0.29497021627426145
31,31015,39,0.906,0.3108380751609802
32,11140,14,0.881,0.38228131914138797
33,11140,14,0.888,0.3757344086170197
34,8755,11,0.88,0.39914358615875245
35,8755,11,0.886,0.37484675455093386
36,8755,11,0.876,0.4052337746620178
37,8755,11,0.875,0.41217100763320924
38,7960,10,0.868,0.4396769223213196
39,7960,10,0.881,0.39600089597702026
40,7960,10,0.876,0.41912658309936524
41,8755,11,0.873,0.41546809482574465
42,8755,11,0.884,0.3923699469566345
43,6370,8,0.871,0.43050623226165774
44,7960,10,0.867,0.4331057276725769
45,7960,10,0.859,0.432030002117157
46,8755,11,0.881,0.39280326557159423
47,8755,11,0.882,0.38581165599823
48,7960,10,0.872,0.40601189947128297
49,7960,10,0.88,0.39677270221710204
50,6370,8,0.875,0.42870857667922974
51,6370,8,0.856,0.4684608826637268
52,6370,8,0.877,0.4665802779197693
53,7165,9,0.859,0.40923188400268556
54,7960,10,0.875,0.41214757919311523
55,7960,10,0.877,0.3978169159889221
56,8755,11,0.881,0.41036075353622437
57,6370,8,0.886,0.4176095652580261
58,6370,8,0.874,0.4314978332519531
59,6370,8,0.86,0.4501020312309265
60,6370,8,0.853,0.48215910339355467
61,7960,10,0.887,0.39768079996109007
62,7165,9,0.875,0.43674167203903197
63,7165,9,0.884,0.40414528369903563
64,7960,10,0.874,0.4148177914619446
65,7165,9,0.876,0.44028744888305665
66,7165,9,0.871,0.4321831398010254
67,6370,8,0.84,0.5347874588966369
68,7165,9,0.868,0.44213707208633424
69,6370,8,0.856,0.4930195803642273
70,6370,8,0.862,0.4671675806045532
