Experiment 3 ,10_03_2020_06-49-58

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Nadam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,15910,1,0.896,0.32034824085235597
1,7815,2,0.869,0.38731836605072023
2,16485,2,0.904,0.3353123836517334
3,33287,2,0.906,0.31814168429374695
4,34093,2,0.914,0.26595288610458373
5,31702,2,0.918,0.2712412650585175
6,35387,3,0.908,0.282302835226059
7,34990,1,0.909,0.29212741112709045
8,15910,1,0.895,0.33734593439102173
9,17043,2,0.898,0.3096958775520325
10,37463,2,0.91,0.2614966915845871
11,19448,3,0.897,0.32484276580810545
12,18881,3,0.896,0.3234911060333252
13,18881,3,0.9,0.31288990211486817
14,19259,3,0.897,0.32139084553718567
15,19511,3,0.888,0.314475615978241
16,19639,3,0.897,0.3430714511871338
17,14559,2,0.9,0.3219530282020569
18,17647,2,0.901,0.29073406076431274
19,17967,2,0.898,0.3229719536304474
20,29555,2,0.909,0.28377117109298705
21,27377,3,0.914,0.2599178730249405
22,27737,3,0.923,0.25165580987930297
23,29181,3,0.924,0.24509933185577393
24,43350,2,0.914,0.2536937515735626
25,23940,2,0.917,0.2724264237880707
26,39225,2,0.918,0.2640659611225128
27,40907,2,0.908,0.27964430260658263
28,51463,2,0.917,0.2676175924539566
29,33125,2,0.909,0.2802128920555115
30,33125,2,0.914,0.2762983771562576
31,32094,2,0.911,0.2782679719924927
32,39805,2,0.92,0.24914484167099
33,33246,2,0.909,0.27019992876052856
34,30635,3,0.905,0.292651264667511
35,30635,3,0.916,0.25575295639038087
36,30635,3,0.914,0.27508482372760773
37,32122,4,0.885,0.34758547735214235
38,32374,4,0.903,0.3167178726196289
39,26801,3,0.904,0.2878467872142792
40,30053,3,0.921,0.2680254054069519
41,31662,4,0.905,0.29273613822460176
42,31715,4,0.903,0.28948821377754214
43,34445,3,0.907,0.29270593082904817
44,31307,3,0.912,0.2743876476287842
45,31517,3,0.919,0.26109668135643005
46,31690,3,0.909,0.2659109156131744
47,30620,2,0.907,0.29064783358573915
48,33144,5,0.913,0.28039518612623215
49,41106,4,0.922,0.27355077528953553
50,41106,4,0.908,0.2676953904628754
51,32631,4,0.914,0.2888031284809113
52,43683,3,0.919,0.23611033940315246
53,52487,3,0.915,0.25598837876319885
54,33575,2,0.919,0.2656745471954346
55,27443,3,0.908,0.29133838176727295
56,30385,2,0.915,0.2522388687133789
57,32605,1,0.913,0.27924059772491455
58,33183,2,0.904,0.30671469259262085
59,33953,3,0.901,0.306411559343338
60,33953,3,0.883,0.3186508255004883
61,33953,3,0.898,0.3127689118385315
62,40395,2,0.909,0.26731239223480224
63,37431,2,0.927,0.2557515997886658
64,35312,2,0.912,0.2610146780014038
65,38255,3,0.891,0.3567918050289154
66,37251,3,0.904,0.29496523523330687
67,27015,2,0.904,0.30186259078979494
68,38628,2,0.915,0.2761525654792786
69,42773,2,0.92,0.252124685049057
70,42773,2,0.906,0.28224188661575317
71,47574,3,0.921,0.24373597168922426
72,41908,3,0.917,0.26203641784191134
73,69957,3,0.92,0.23959243059158325
74,69957,3,0.92,0.22964872705936432
75,69249,3,0.914,0.271800977230072
76,69865,4,0.93,0.2578440696001053
77,86325,4,0.93,0.2565968643426895
78,62734,4,0.908,0.28392375183105467
79,62734,4,0.925,0.23919062495231627
80,56653,5,0.921,0.26748535108566285
81,62278,3,0.923,0.22870302867889405
82,57210,3,0.932,0.2313751657009125
83,63910,4,0.908,0.3071807001829147
84,63696,4,0.923,0.23749074292182923
85,56705,3,0.925,0.23831434547901154
86,62179,5,0.929,0.22665400302410127
87,56993,3,0.922,0.23615544164180755
88,52883,3,0.926,0.23844284152984618
89,79283,3,0.919,0.26405562591552734
90,64072,4,0.916,0.24968850541114807
91,44547,3,0.921,0.27014180791378023
92,45235,3,0.91,0.26086700570583343
93,48460,6,0.926,0.2686717779636383
94,54120,4,0.909,0.2593165192604065
95,47194,4,0.924,0.24978066682815553
96,62267,4,0.919,0.24901795125007628
97,62647,4,0.921,0.2366140810251236
98,63484,4,0.918,0.2580849416255951
99,63826,4,0.912,0.2755460112094879
100,55231,4,0.917,0.25123487973213193
101,64760,5,0.918,0.25980425882339475
102,44810,3,0.913,0.27955644762516024
103,62989,4,0.923,0.2224712620973587
104,56090,3,0.919,0.24313743829727172
105,65459,5,0.926,0.235646719455719
106,63105,4,0.911,0.2859151055812836
