Experiment 1 ,10_03_2020_01-49-57

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Nadam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,11140,14,0.888,0.3678101468086243
1,12730,16,0.905,0.3419210786819458
2,23065,29,0.912,0.29261445546150205
3,34195,43,0.907,0.29682287645339966
4,27040,34,0.904,0.30831683349609373
5,19885,25,0.897,0.329162278175354
6,30220,38,0.906,0.3136644718647003
7,24655,31,0.906,0.32114007687568663
8,21475,27,0.906,0.3138732089996338
9,30220,38,0.91,0.28009249424934385
10,23065,29,0.903,0.30954421758651735
11,11140,14,0.885,0.36836095237731936
12,13525,17,0.893,0.36174008083343506
13,13525,17,0.895,0.339635582447052
14,22270,28,0.908,0.3228913106918335
15,10345,13,0.89,0.35720957803726194
16,22270,28,0.903,0.3171998019218445
17,22270,28,0.899,0.3147066946029663
18,11140,14,0.894,0.3647599515914917
19,15115,19,0.891,0.3553109579086304
20,16705,21,0.891,0.35586166620254517
21,10345,13,0.894,0.3568836193084717
22,14320,18,0.897,0.35518967247009275
23,12730,16,0.884,0.3714663348197937
24,15910,20,0.901,0.3264261927604675
25,13525,17,0.895,0.3469044613838196
26,18295,23,0.908,0.3295484347343445
27,16705,21,0.894,0.33548617506027223
28,14320,18,0.889,0.34681587648391726
29,16705,21,0.892,0.3355153155326843
30,13525,17,0.896,0.3283147785663605
31,11935,15,0.887,0.36017657470703124
32,13525,17,0.9,0.35372783041000366
33,11935,15,0.889,0.35180608463287355
34,11935,15,0.895,0.3634867391586304
35,11140,14,0.887,0.38260770750045775
36,16705,21,0.904,0.33603694915771487
37,13525,17,0.894,0.3579657926559448
38,11935,15,0.887,0.3717922468185425
39,13525,17,0.893,0.35722732019424436
40,17500,22,0.902,0.31699922275543213
41,23860,30,0.897,0.33198039054870604
42,15910,20,0.891,0.33303719425201417
43,22270,28,0.902,0.3155535244941711
44,15115,19,0.9,0.3382508153915405
45,17500,22,0.891,0.3451284420490265
46,11140,14,0.894,0.3532208366394043
47,20680,26,0.909,0.3328619775772095
48,19090,24,0.889,0.34424470949172975
49,11935,15,0.89,0.37107182836532593
50,11935,15,0.893,0.3594547281265259
51,13525,17,0.899,0.34349116468429564
52,11935,15,0.892,0.339993239402771
53,14320,18,0.901,0.3516549005508423
54,13525,17,0.894,0.34016323614120486
55,12730,16,0.889,0.3574098200798035
56,13525,17,0.894,0.35085107398033144
57,11935,15,0.889,0.3717269072532654
58,8755,11,0.878,0.4102932267189026
59,9550,12,0.884,0.3834063591957092
60,10345,13,0.887,0.36972645378112795
61,10345,13,0.878,0.3743530149459839
62,9550,12,0.88,0.3909102168083191
63,7960,10,0.878,0.3963484179973602
64,9550,12,0.88,0.3992621417045593
65,7165,9,0.873,0.4271014108657837
66,6370,8,0.858,0.5031429109573364
67,7960,10,0.875,0.4055958309173584
68,7165,9,0.872,0.4215919795036316
69,8755,11,0.867,0.40781752061843873
70,6370,8,0.849,0.4901534192562103
71,7960,10,0.881,0.4131807432174683
72,7960,10,0.879,0.40175374364852906
73,7960,10,0.883,0.38861560344696044
74,7960,10,0.876,0.41320665645599364
75,8755,11,0.893,0.3841469492912292
76,7960,10,0.881,0.4006829881668091
77,8755,11,0.885,0.37432027196884154
78,7960,10,0.884,0.39357953214645386
79,11935,15,0.895,0.3650070161819458
80,9550,12,0.875,0.40531559371948245
81,7960,10,0.875,0.415814432144165
82,7165,9,0.871,0.42799523591995237
83,7960,10,0.859,0.4475103087425232
84,7960,10,0.875,0.4243928899765015
85,9550,12,0.88,0.4204131622314453
86,10345,13,0.885,0.37768393754959106
87,8755,11,0.895,0.37601480436325074
88,7960,10,0.879,0.4061555919647217
89,9550,12,0.884,0.3650814037322998
90,7960,10,0.874,0.4215760750770569
91,7960,10,0.874,0.40566932344436646
92,10345,13,0.888,0.39253889179229734
93,13525,17,0.893,0.3461013062000275
94,11140,14,0.893,0.3546768617630005
95,11140,14,0.885,0.37573537254333494
96,8755,11,0.89,0.3704490637779236
97,11140,14,0.889,0.3541512751579285
98,17500,22,0.903,0.33044903230667116
99,14320,18,0.901,0.33893997383117674
100,18295,23,0.894,0.33703415536880493
101,18295,23,0.897,0.34371181392669675
102,19090,24,0.897,0.3345777397155762
103,19090,24,0.894,0.33824897480010985
104,15910,20,0.89,0.3382311418056488
105,19090,24,0.913,0.321766827583313
106,20680,26,0.908,0.30457536816596986
107,17500,22,0.9,0.3319417378902435
108,14320,18,0.895,0.3452327308654785
109,18295,23,0.896,0.33042685270309446
110,14320,18,0.896,0.33916558361053467
111,12730,16,0.903,0.35240568113327025
112,11140,14,0.88,0.3677195143699646
113,13525,17,0.898,0.3489542236328125
114,27040,34,0.914,0.3045340418815613
115,23860,30,0.905,0.3158653302192688
116,37375,47,0.916,0.29629826736450193
117,18295,23,0.902,0.33625938057899474
118,23065,29,0.906,0.30324084758758546
119,11140,14,0.889,0.35767029285430907
120,10345,13,0.899,0.3576375684738159
121,19090,24,0.905,0.33145092153549194
122,28630,36,0.911,0.28977777004241945
123,11140,14,0.887,0.36716791772842405
124,34990,44,0.908,0.2775524501800537
125,34990,44,0.899,0.28803203129768373
126,12730,16,0.898,0.34511145257949827
127,12730,16,0.889,0.36036364364624024
128,12730,16,0.898,0.3536654906272888
129,19090,24,0.898,0.3400411410331726
130,10345,13,0.893,0.3571045734882355
131,8755,11,0.886,0.3775825457572937
132,14320,18,0.887,0.3468620276451111
133,12730,16,0.897,0.3383052222728729
134,10345,13,0.889,0.3702813639640808
135,14320,18,0.901,0.33743243932724
