Experiment 1 ,09_03_2020_03-07-52

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,37375,47,0.903,0.2924073269367218
1,41350,52,0.912,0.29191255712509157
2,59635,75,0.91,0.27020593428611756
3,66790,84,0.912,0.27333572030067443
4,83485,105,0.92,0.25875279879570007
5,67585,85,0.918,0.2770882995128632
6,82690,104,0.916,0.24909137368202208
7,101770,128,0.924,0.24409867930412293
8,122440,154,0.923,0.24940590238571167
9,112900,142,0.918,0.25323261713981626
10,140725,177,0.92,0.23440839231014252
11,157420,198,0.921,0.23051104378700257
12,155830,196,0.928,0.23516593515872955
13,128800,162,0.918,0.24509247732162476
14,134365,169,0.922,0.22689059698581696
15,162985,205,0.924,0.22693532800674437
16,191605,241,0.924,0.2344404866695404
17,146290,184,0.928,0.2228155870437622
18,151060,190,0.928,0.22435602283477782
19,146290,184,0.922,0.23066608476638795
20,146290,184,0.923,0.2300828479528427
21,160600,202,0.923,0.2353646628856659
22,145495,183,0.925,0.2241943440437317
23,142315,179,0.918,0.24133642029762267
24,155830,196,0.923,0.22223126125335693
25,178885,225,0.93,0.22740545392036438
26,178885,225,0.937,0.21401680994033814
27,186835,235,0.926,0.22399352324008942
28,225790,284,0.932,0.21582171976566314
29,258385,325,0.934,0.21354944062232972
30,270310,340,0.922,0.23644557905197144
31,341065,429,0.931,0.20988869965076445
32,302110,380,0.926,0.2016209501028061
33,344245,433,0.931,0.20190276080369948
34,385585,485,0.928,0.2110047208070755
35,444415,559,0.937,0.19836135625839232
36,539020,678,0.938,0.1788736093342304
37,435670,548,0.936,0.20206198781728746
38,555715,699,0.935,0.1937324919104576
39,443620,558,0.933,0.18731692254543306
40,535045,673,0.941,0.1839888926744461
41,561280,706,0.929,0.19431422758102418
42,597055,751,0.942,0.18999573665857314
43,625675,787,0.94,0.19295569401979445
44,611365,769,0.935,0.2067578657269478
45,940495,1183,0.947,0.1775891537666321
46,836350,1052,0.932,0.19336819612979889
47,969910,1220,0.941,0.1967044893503189
48,969910,1220,0.937,0.20800987705588342
49,1100290,1384,0.943,0.18073569083213806
50,1260085,1585,0.941,0.18169821086525917
51,1025560,1290,0.947,0.17846356952190398
52,1165480,1466,0.945,0.18042481136322022
53,1027150,1292,0.934,0.18857577124238015
54,1720390,2164,0.933,0.20596260821819307
55,920620,1158,0.936,0.20813741409778594
56,1016020,1278,0.924,0.21223804545402528
57,1106650,1392,0.937,0.17505755656957625
58,988990,1244,0.945,0.1740940210223198
59,1302220,1638,0.941,0.1780446520447731
60,1248160,1570,0.935,0.19729755717515945
61,1033510,1300,0.944,0.18762990701198579
62,1124935,1415,0.938,0.19532971757650375
63,1659175,2087,0.941,0.2000026478767395
64,1012840,1274,0.941,0.18820766282081605
65,1221925,1537,0.933,0.20174156826734543
66,1600345,2013,0.938,0.1850210625529289
67,2036800,2562,0.944,0.17059052155911922
68,1748215,2199,0.941,0.18090788234770297
69,1543900,1942,0.948,0.16795518073439597
70,2423965,3049,0.933,0.20480976569652556
71,2051905,2581,0.938,0.20702180856466293
72,1587625,1997,0.945,0.17464440834522246
73,1628965,2049,0.937,0.20040427950024606
74,2755480,3466,0.938,0.21200054186582565
75,1698130,2136,0.946,0.18266877552866936
76,1970815,2479,0.939,0.20650018179416657
77,3608515,4539,0.928,0.26577352902293205
78,1962070,2468,0.943,0.19465971848368643
79,1396030,1756,0.943,0.18344487607479096
80,2008180,2526,0.943,0.18027430188655852
81,3023395,3803,0.947,0.17392471624910832
82,2188645,2753,0.94,0.1940028070807457
83,2741965,3449,0.948,0.1671048665046692
84,2779330,3496,0.942,0.1842467216849327
85,3313570,4168,0.949,0.1540535003244877
86,2957410,3720,0.936,0.20158402180671692
87,3379555,4251,0.95,0.17035028183460235
