Experiment 2 ,09_03_2020_03-37-52

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,18295,23,0.902,0.3335827217102051
1,17500,22,0.89,0.34936845970153807
2,16705,21,0.895,0.3352889895439148
3,18295,23,0.901,0.3301187243461609
4,23065,29,0.898,0.32960216522216795
5,27835,35,0.912,0.3006161861419678
6,23860,30,0.895,0.32761594414711
7,23860,30,0.896,0.32335075283050535
8,29425,37,0.913,0.28571421456336976
9,31810,40,0.903,0.30678119325637815
10,28630,36,0.904,0.31298281955718993
11,40555,51,0.902,0.2955374517440796
12,42145,53,0.899,0.3052735171318054
13,51685,65,0.913,0.27591987609863283
14,45325,57,0.909,0.2920826964378357
15,47710,60,0.911,0.28331962752342227
16,58840,74,0.918,0.276397540807724
17,51685,65,0.903,0.30223860001564024
18,51685,65,0.907,0.3003520028591156
19,61225,77,0.917,0.2648204469680786
20,78715,99,0.915,0.24800649046897888
21,99385,125,0.92,0.23916802406311036
22,99385,125,0.916,0.23876924896240234
23,99385,125,0.916,0.2474115413427353
24,100180,126,0.918,0.25182295417785644
25,87460,110,0.916,0.26282000422477725
26,105745,133,0.917,0.25781933093070986
27,89050,112,0.92,0.2561965961456299
28,118465,149,0.923,0.25382277131080627
29,142315,179,0.915,0.23648171401023865
30,147880,186,0.927,0.2270151288509369
31,139930,176,0.931,0.2278884811401367
32,182065,229,0.921,0.25128907108306886
33,206710,260,0.927,0.2131298153400421
34,205120,258,0.922,0.22392643344402313
35,211480,266,0.93,0.21603426826000213
36,248845,313,0.931,0.21573147773742676
37,259180,326,0.919,0.22863079738616943
38,300520,378,0.931,0.21224918305873872
39,335500,422,0.93,0.20024597311019898
40,321190,404,0.928,0.202016233086586
41,354580,446,0.931,0.22972054445743562
42,394330,496,0.927,0.21176431572437288
43,394330,496,0.934,0.20279573011398316
44,394330,496,0.932,0.19405905044078828
45,413410,520,0.937,0.19827265310287476
46,498475,627,0.94,0.19002480965852736
47,484165,609,0.925,0.21648224759101867
48,530275,667,0.917,0.24669287383556365
49,531865,669,0.935,0.2081885851621628
50,657475,827,0.94,0.19053396195173264
51,657475,827,0.94,0.18823895543813707
52,571615,719,0.938,0.18587187737226485
53,709150,892,0.937,0.19450305235385895
54,662245,833,0.936,0.18427675783634187
55,868945,1093,0.946,0.1698443683385849
56,868945,1093,0.938,0.18268767046928405
57,1306195,1643,0.936,0.20142355996370315
58,993760,1250,0.94,0.1793920186161995
59,959575,1207,0.939,0.1906832081079483
60,1221130,1536,0.944,0.1906730764210224
61,1157530,1456,0.945,0.17194460451602936
62,1338790,1684,0.942,0.18005691059678794
63,1066105,1341,0.938,0.19195546734333038
64,1485070,1868,0.946,0.1811086391210556
65,959575,1207,0.936,0.18786889570951462
66,1938220,2438,0.94,0.18775722336769105
67,1263265,1589,0.941,0.179463338971138
68,1152760,1450,0.944,0.17806519347429275
69,1524820,1918,0.946,0.18750772726535797
70,1244185,1565,0.937,0.18217333567142485
71,1341970,1688,0.938,0.19458386772871017
72,1616245,2033,0.944,0.1810680058002472
73,2222035,2795,0.945,0.18770660841464995
74,1991485,2505,0.94,0.20432989996671677
75,1889725,2377,0.945,0.17048628893494605
76,1961275,2467,0.937,0.19936974860727788
77,2261785,2845,0.94,0.19328492185473442
78,1966045,2473,0.936,0.19767675197124482
79,3296875,4147,0.946,0.1710846097022295
80,3045655,3831,0.942,0.21193424826860427
81,1715620,2158,0.935,0.2050962760448456
82,1909600,2402,0.94,0.19378616762161255
83,1402390,1764,0.941,0.1876318355202675
84,2282455,2871,0.939,0.19121135759353639
85,1853950,2332,0.948,0.1699054419994354
86,1892110,2380,0.937,0.19447521805763246
87,2637820,3318,0.936,0.2451085340678692
88,3204655,4031,0.934,0.1987545184791088
