Experiment 3 ,09_03_2020_01-07-51

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,38965,49,0.907,0.28658409905433657
1,35785,45,0.904,0.2951592335700989
2,31810,40,0.911,0.2979049253463745
3,31810,40,0.904,0.3088200681209564
4,37375,47,0.904,0.30428652811050416
5,46915,59,0.901,0.2916627650260925
6,41350,52,0.905,0.2904656991958618
7,50890,64,0.915,0.27906883811950683
8,63610,80,0.907,0.27268535351753237
9,81100,102,0.927,0.24965554094314577
10,87460,110,0.906,0.2747854332923889
11,87460,110,0.915,0.26723860931396487
12,62815,79,0.916,0.258121481180191
13,56455,71,0.913,0.2583697452545166
14,59635,75,0.912,0.27606718516349793
15,70765,89,0.91,0.28849305057525637
16,85075,107,0.905,0.2903030745983124
17,85075,107,0.91,0.26024314761161804
18,85075,107,0.919,0.2705836012363434
19,107335,135,0.924,0.23794963574409486
20,126415,159,0.924,0.2336488699913025
21,106540,134,0.913,0.25759399628639224
22,135955,171,0.911,0.2544560797214508
23,153445,193,0.924,0.24845535659790038
24,156625,197,0.924,0.23609052324295043
25,166960,210,0.927,0.23111894249916076
26,140725,177,0.93,0.2167428638935089
27,168550,212,0.922,0.23552843689918518
28,143905,181,0.926,0.23664346146583556
29,38170,48,0.908,0.2870356698036194
30,42145,53,0.911,0.2829780967235565
31,54070,68,0.919,0.26726450777053834
32,41350,52,0.913,0.28022436809539797
33,53275,67,0.904,0.27873948764801026
34,55660,70,0.91,0.2716218056678772
35,70765,89,0.914,0.266305371761322
36,70765,89,0.918,0.25654270792007444
37,62020,78,0.918,0.2645887789726257
38,70765,89,0.919,0.2576994526386261
39,57250,72,0.912,0.26175767517089843
40,65200,82,0.913,0.2696600208282471
41,77920,98,0.908,0.2661295120716095
42,68380,86,0.914,0.2590477429628372
43,69970,88,0.913,0.2444709587097168
44,66790,84,0.913,0.26453613686561583
45,73150,92,0.914,0.2678084478378296
46,85075,107,0.92,0.2527014672756195
47,16705,21,0.896,0.3376004023551941
48,16705,21,0.904,0.32666175317764284
49,15910,20,0.893,0.33732436299324037
50,18295,23,0.902,0.32851042318344115
51,18295,23,0.899,0.326165135383606
52,16705,21,0.897,0.3414464626312256
53,20680,26,0.898,0.3267319965362549
54,20680,26,0.897,0.3337995362281799
55,15910,20,0.891,0.3431617875099182
56,19885,25,0.903,0.323759765625
57,24655,31,0.902,0.3236464672088623
58,20680,26,0.898,0.32930655431747435
59,22270,28,0.903,0.3129754238128662
60,27040,34,0.907,0.29625871062278747
61,27040,34,0.904,0.31538307237625124
62,31015,39,0.899,0.3207383041381836
63,27835,35,0.898,0.3161375684738159
64,15115,19,0.893,0.3609758815765381
65,11935,15,0.881,0.3901412644386292
66,11935,15,0.891,0.36270936727523806
67,14320,18,0.885,0.3582155628204346
68,8755,11,0.889,0.40311011171340944
69,8755,11,0.87,0.40950469064712525
70,10345,13,0.887,0.3695094561576843
71,8755,11,0.886,0.38136186838150027
72,7960,10,0.883,0.41776734733581544
73,7165,9,0.859,0.43365308427810667
74,7960,10,0.867,0.43683142971992495
75,7960,10,0.879,0.4256638660430908
76,7165,9,0.874,0.39793020534515383
77,7165,9,0.875,0.43336173152923585
78,7960,10,0.881,0.4107235469818115
79,8755,11,0.884,0.38764391517639163
80,7165,9,0.881,0.4024091348648071
81,7960,10,0.872,0.442642026424408
82,6370,8,0.864,0.4339782633781433
83,6370,8,0.861,0.4437257676124573
84,8755,11,0.883,0.39274727725982667
85,9550,12,0.885,0.367115749835968
86,9550,12,0.883,0.38447735500335695
87,9550,12,0.89,0.3890024428367615
88,8755,11,0.884,0.38277559947967527
89,7165,9,0.873,0.41379058933258056
90,8755,11,0.874,0.40930917739868167
91,7960,10,0.874,0.40127412891387937
92,9550,12,0.888,0.40228196716308595
93,8755,11,0.883,0.3923063430786133
