Experiment 2 ,09_03_2020_02-07-51

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,34195,43,0.904,0.29907528519630433
1,41350,52,0.909,0.28623495292663576
2,38965,49,0.907,0.2821641638278961
3,54070,68,0.913,0.27829087352752685
4,57250,72,0.912,0.266981264591217
5,72355,91,0.904,0.2758212125301361
6,81895,103,0.916,0.25306792330741884
7,85870,108,0.914,0.27455937457084656
8,85870,108,0.916,0.25316962349414823
9,89845,113,0.909,0.2792794578075409
10,97000,122,0.932,0.23813454186916352
11,115285,145,0.92,0.2567906845808029
12,103360,130,0.92,0.23877891826629638
13,131980,166,0.929,0.22323529744148254
14,168550,212,0.92,0.23279493570327758
15,209890,264,0.925,0.21683978712558746
16,245665,309,0.93,0.21349907624721526
17,230560,290,0.933,0.21592960345745088
18,219430,276,0.928,0.21853769779205323
19,241690,304,0.93,0.20807350492477417
20,294160,370,0.928,0.20199039781093597
21,224200,282,0.918,0.23591821694374085
22,287005,361,0.932,0.21128196620941161
23,357760,450,0.924,0.22641552138328552
24,357760,450,0.926,0.2184889566898346
25,411820,518,0.939,0.19137611252069472
26,411820,518,0.93,0.20862572145462036
27,361735,455,0.929,0.22391321551799775
28,415000,522,0.937,0.19314675283432006
29,429310,540,0.938,0.20314697754383088
30,502450,632,0.93,0.220213796377182
31,534250,672,0.943,0.18067108196020126
32,623290,784,0.939,0.18655346566438674
33,639190,804,0.94,0.20258014065027236
34,740155,931,0.943,0.1899076864719391
35,791830,996,0.934,0.18663270246982575
36,886435,1115,0.938,0.186695734500885
37,1027150,1292,0.941,0.20622912120819092
38,1101880,1386,0.942,0.17205837428569792
39,1101880,1386,0.927,0.20328389728069304
40,1101880,1386,0.949,0.17533837944269182
41,1221130,1536,0.936,0.22335966181755065
42,1531180,1926,0.944,0.17149448496103287
43,1128910,1420,0.947,0.17069264894723893
44,1485865,1869,0.943,0.18018429839611053
45,1525615,1919,0.947,0.17213679987192154
46,1283140,1614,0.946,0.1722203240096569
47,1403185,1765,0.941,0.18724839103221894
48,1365820,1718,0.939,0.17624612101912498
49,1258495,1583,0.948,0.17638840493559838
50,1619425,2037,0.937,0.19681940531730652
51,1599550,2012,0.937,0.19687204825878143
52,1753780,2206,0.932,0.20642440193891526
53,2642590,3324,0.941,0.18639887338876723
54,3218965,4049,0.943,0.18425702482461928
55,2851675,3587,0.943,0.18537446928024293
56,2136175,2687,0.933,0.20568986642360687
57,1919140,2414,0.945,0.17428502002358437
58,2264965,2849,0.942,0.20153639101982115
59,2551960,3210,0.942,0.19506905326247215
60,3317545,4173,0.94,0.1823791501969099
61,3106075,3907,0.941,0.17954697141051293
62,2765020,3478,0.949,0.1806604159474373
63,4308115,5419,0.943,0.18701129496097565
64,2862010,3600,0.954,0.16407006922364234
65,2480410,3120,0.945,0.19707648968696595
66,4206355,5291,0.951,0.18273629988729953
67,3379555,4251,0.948,0.17682802844047546
68,4215100,5302,0.932,0.22602484261989594
69,4215100,5302,0.936,0.2071920450180769
70,4942525,6217,0.938,0.2017137804031372
71,2617150,3292,0.947,0.16223959924280643
72,5442580,6846,0.944,0.17755986437201499
73,2559115,3219,0.948,0.17463828378915786
74,6991240,8794,0.935,0.2509185088276863
75,2986030,3756,0.943,0.18734797215461732
76,3052015,3839,0.947,0.1676288328319788
77,7189990,9044,0.944,0.18155966538190843
78,8194075,10307,0.953,0.20071632304787637
79,8448475,10627,0.942,0.20620874160528183
80,3464620,4358,0.945,0.19253146788477898
81,2813515,3539,0.935,0.24551216900348663
