Experiment 2 ,09_03_2020_23-49-56

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Nadam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,35785,45,0.917,0.28292307806015016
1,28630,36,0.901,0.3279165368080139
2,31810,40,0.903,0.3135053124427795
3,19885,25,0.903,0.32136239743232725
4,21475,27,0.898,0.33932212352752683
5,23860,30,0.902,0.31226085233688355
6,23860,30,0.9,0.3171535892486572
7,34990,44,0.907,0.31238254690170286
8,34195,43,0.907,0.2896415629386902
9,38170,48,0.914,0.29068782401084897
10,41350,52,0.913,0.27377639079093935
11,46915,59,0.911,0.2795251793861389
12,57250,72,0.904,0.2805229547023773
13,61225,77,0.92,0.2547951021194458
14,78715,99,0.914,0.263079927444458
15,78715,99,0.909,0.2648148913383484
16,86665,109,0.912,0.27328806018829344
17,96205,121,0.919,0.24615350294113159
18,124825,157,0.915,0.26187916898727415
19,144700,182,0.912,0.2362581169605255
20,175705,221,0.923,0.24021698141098022
21,121645,153,0.919,0.2394498553276062
22,138340,174,0.922,0.23837203288078307
23,170935,215,0.927,0.22024731957912444
24,197170,248,0.925,0.23310474753379823
25,252025,317,0.927,0.21553837490081787
26,263155,331,0.931,0.22033153438568115
27,233740,294,0.929,0.20548134982585908
28,216250,272,0.93,0.20852749758958816
29,247255,311,0.929,0.23477429246902465
30,247255,311,0.922,0.21754628026485442
31,303700,382,0.922,0.2267825381755829
32,369685,465,0.932,0.20523561584949493
33,277465,349,0.934,0.2028072493672371
34,282235,355,0.93,0.2148760198354721
35,375250,472,0.935,0.23178769731521606
36,454750,572,0.938,0.20316469359397887
37,318010,400,0.931,0.21625859951972962
38,318010,400,0.927,0.213800474524498
39,344245,433,0.932,0.20188191533088684
40,363325,457,0.935,0.1919497127532959
41,360145,453,0.926,0.21217434310913086
42,351400,442,0.932,0.20175053083896638
43,438850,552,0.941,0.18465654557943345
44,447595,563,0.936,0.1912464582324028
45,356170,448,0.935,0.1961851189136505
46,340270,428,0.935,0.2141299817562103
47,540610,680,0.931,0.18755945789813996
48,540610,680,0.928,0.22246023774147033
49,644755,811,0.938,0.19408728897571564
50,688480,866,0.942,0.182000622600317
51,703585,885,0.945,0.1724516212940216
52,857815,1079,0.935,0.19853148877620697
53,721870,908,0.943,0.1958630667924881
54,883255,1111,0.94,0.18919518464803695
55,965140,1214,0.933,0.21417590337991715
56,965140,1214,0.933,0.21970516228675843
57,789445,993,0.94,0.1832774498462677
58,858610,1080,0.934,0.197598002076149
59,923005,1161,0.938,0.17969912278652192
60,1110625,1397,0.946,0.18423099422454833
61,1110625,1397,0.939,0.17368860247731208
62,933340,1174,0.935,0.21279669159650802
63,1152760,1450,0.946,0.17369582456350327
64,1377745,1733,0.941,0.1768303551673889
65,1140040,1434,0.94,0.18968445754051208
66,1475530,1856,0.941,0.1750442272424698
67,1473145,1853,0.948,0.16207771360874176
68,1686205,2121,0.941,0.1820731008350849
69,1241005,1561,0.939,0.19121443152427672
70,1404775,1767,0.939,0.20964101082086564
71,1157530,1456,0.945,0.17518741354346276
72,1746625,2197,0.928,0.22845458595454693
73,1429420,1798,0.943,0.17751752769947052
74,2061445,2593,0.947,0.17884782236814498
75,1977175,2487,0.949,0.16607854548096657
76,2426350,3052,0.946,0.17758789253234863
77,1000120,1258,0.942,0.1896150369644165
78,1960480,2466,0.937,0.20011662375926972
79,3025780,3806,0.939,0.20399547868967055
80,3207835,4035,0.946,0.17299972777068615
81,2281660,2870,0.943,0.1991635626554489
82,4468705,5621,0.905,0.3511218827366829
83,3426460,4310,0.945,0.19524067109823226
84,3629980,4566,0.948,0.1848078601062298
85,3062350,3852,0.941,0.19886344653367996
86,3258715,4099,0.938,0.19771119590103625
87,1469965,1849,0.934,0.18883738616108894
88,1621015,2039,0.946,0.1823203332722187
89,1495405,1881,0.945,0.16149435943365098
90,3315955,4171,0.942,0.19624024778604507
91,1644865,2069,0.936,0.1926648843884468
92,1762525,2217,0.948,0.16555690667033196
93,1798300,2262,0.942,0.18479490227997303
94,1262470,1588,0.938,0.21564851421117784
95,1277575,1607,0.933,0.20020283609628678
96,1660765,2089,0.937,0.20631130668520928
97,1506535,1895,0.946,0.1800251668691635
98,1690975,2127,0.945,0.18412962341308595
99,1754575,2207,0.944,0.17066794276237487
100,1516870,1908,0.945,0.17929984530806542
101,1718005,2161,0.941,0.18465978744626046
102,1442935,1815,0.942,0.1826475648880005
103,2326180,2926,0.92,0.2513223816752434
104,1969225,2477,0.937,0.199181567966938
105,1664740,2094,0.946,0.18135422506928445
106,3201475,4027,0.942,0.20626879188418387
107,2947870,3708,0.948,0.1858427583053708
108,3660190,4604,0.944,0.2020633736252785
109,2307100,2902,0.939,0.19204886877536773
110,1780810,2240,0.945,0.1788813636302948
111,2249860,2830,0.945,0.18141418278217317
112,3087790,3884,0.94,0.19829568527638913
113,4219075,5307,0.942,0.20180180606245995
114,3285745,4133,0.951,0.17415305882692336
