Experiment 3 ,10_03_2020_00-49-56

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Nadam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,38965,49,0.908,0.3048591694831848
1,34990,44,0.907,0.30017789149284363
2,39760,50,0.903,0.2889695782661438
3,39760,50,0.899,0.29569602918624877
4,41350,52,0.907,0.2943190174102783
5,49300,62,0.911,0.2710663831233978
6,54070,68,0.904,0.291776332616806
7,58045,73,0.913,0.27844793176651
8,61225,77,0.909,0.2740124752521515
9,67585,85,0.912,0.25520994544029235
10,67585,85,0.918,0.2713297617435455
11,71560,90,0.916,0.25521462297439573
12,85075,107,0.906,0.2779685788154602
13,108925,137,0.92,0.25775300455093386
14,95410,120,0.916,0.2610645785331726
15,125620,158,0.911,0.2539805008172989
16,117670,148,0.928,0.2446998620033264
17,144700,182,0.915,0.254184095621109
18,155830,196,0.924,0.23402245807647706
19,109720,138,0.921,0.24915436553955078
20,123235,155,0.92,0.2434037263393402
21,131980,166,0.928,0.24151028871536254
22,144700,182,0.913,0.2680562118291855
23,144700,182,0.919,0.24224516522884368
24,131980,166,0.919,0.25368172788619997
25,104155,131,0.924,0.2411251242160797
26,107335,135,0.923,0.24263502383232116
27,107335,135,0.92,0.2387567148208618
28,135955,171,0.922,0.25053242439031603
29,151060,190,0.922,0.24409447312355043
30,124030,156,0.923,0.24067122066020966
31,116875,147,0.919,0.23952562510967254
32,60430,76,0.916,0.26228419971466066
33,58840,74,0.913,0.27538874650001527
34,71560,90,0.918,0.24967674016952515
35,63610,80,0.916,0.2604794143438339
36,73150,92,0.915,0.2742448093891144
37,62020,78,0.916,0.26640836834907533
38,77125,97,0.911,0.2739797463417053
39,78715,99,0.919,0.2431320559978485
40,77125,97,0.92,0.2534754817485809
41,77125,97,0.908,0.26348688268661496
42,96205,121,0.921,0.2218875994682312
43,77125,97,0.914,0.27342524242401123
44,85075,107,0.916,0.2492646996974945
45,92230,116,0.924,0.24423186707496644
46,97795,123,0.916,0.2439411861896515
47,106540,134,0.921,0.2369001626968384
48,112105,141,0.927,0.23815864193439484
49,135955,171,0.926,0.23237656021118164
50,181270,228,0.921,0.20979193723201753
51,169345,213,0.928,0.23285616207122803
52,130390,164,0.92,0.24373170077800752
53,161395,203,0.916,0.2468969442844391
54,120850,152,0.915,0.25179703092575073
55,142315,179,0.916,0.25492923402786255
56,157420,198,0.922,0.24007560753822327
57,180475,227,0.919,0.21818936359882354
58,188425,237,0.929,0.21206165230274202
59,181270,228,0.925,0.21911147224903108
60,234535,295,0.922,0.21310837554931641
61,234535,295,0.931,0.22877714574337005
62,224200,282,0.932,0.2077105360031128
63,237715,299,0.939,0.19349443447589873
64,282235,355,0.932,0.21365321683883667
65,322780,406,0.93,0.207372033059597
66,404665,509,0.926,0.22230844271183015
67,460315,579,0.931,0.19749448907375336
68,402280,506,0.935,0.20318450891971587
69,336295,423,0.938,0.19496567177772522
70,372865,469,0.93,0.21361142027378083
71,437260,550,0.934,0.18702356094121933
72,537430,676,0.938,0.18791237258911134
73,523915,659,0.932,0.19738098019361497
74,58840,74,0.909,0.2861064236164093
75,55660,70,0.919,0.28054946994781493
76,64405,81,0.917,0.2576366879940033
77,81100,102,0.916,0.26259268450737
78,99385,125,0.919,0.25191518115997313
79,85075,107,0.917,0.2558041636943817
80,106540,134,0.922,0.2346892867088318
81,106540,134,0.92,0.25681131863594053
82,112105,141,0.922,0.24500408029556275
83,147085,185,0.918,0.23494973492622376
84,179680,226,0.919,0.2274055470228195
85,174115,219,0.92,0.22141216111183165
86,217045,273,0.936,0.21878148019313812
87,238510,300,0.929,0.19948066353797914
88,232150,292,0.931,0.20438432240486146
89,239305,301,0.929,0.21389581382274628
90,282235,355,0.93,0.2041777559518814
91,300520,378,0.906,0.27090224969387056
92,263155,331,0.929,0.22174695336818695
93,259180,326,0.939,0.20368298768997192
94,283030,356,0.929,0.2165284342765808
95,325960,410,0.93,0.2048882429599762
96,379225,477,0.927,0.2182722682952881
97,460315,579,0.929,0.21277792131900788
98,460315,579,0.931,0.20410360670089722
99,596260,750,0.937,0.19541715776920318
100,596260,750,0.938,0.2060788363814354
101,872125,1097,0.938,0.21284370136260986
102,883255,1111,0.922,0.24076224386692047
103,792625,997,0.937,0.18223811703920365
104,821245,1033,0.943,0.19475989484786987
105,821245,1033,0.94,0.19361082297563553
106,639190,804,0.934,0.1955699295401573
107,1005685,1265,0.945,0.16340254387259484
108,860200,1082,0.951,0.1640518391728401
109,860200,1082,0.947,0.177809854388237
110,991375,1247,0.94,0.18998364508152008
111,1143220,1438,0.946,0.1692949924468994
112,1483480,1866,0.934,0.19936323428153993
113,1820560,2290,0.947,0.1813468382805586
114,1583650,1992,0.929,0.22880091819167137
115,1915165,2409,0.937,0.20633107069134712
116,1772860,2230,0.936,0.19292106014490126
117,1813405,2281,0.954,0.1709716983437538
118,1343560,1690,0.945,0.18786641621589661
119,1194895,1503,0.936,0.19562419247627258
120,1536745,1933,0.942,0.18200739073753358
121,1536745,1933,0.929,0.19354855644702912
122,1850770,2328,0.939,0.19935361337661744
123,1946170,2448,0.939,0.20011558502912521
124,1580470,1988,0.94,0.19365469574928285
125,1417495,1783,0.93,0.20800961685180663
126,1284730,1616,0.946,0.1777097578048706
127,1326865,1669,0.936,0.20142583575844764
128,1418290,1784,0.942,0.1984962089061737
