Experiment 2 ,08_03_2020_14-28-56

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,29425,37,0.909,0.28691776299476623
1,42940,54,0.923,0.2623652024269104
2,25450,32,0.902,0.29393874740600584
3,19885,25,0.896,0.3315184783935547
4,67585,85,0.91,0.27207363986968996
5,41350,52,0.907,0.2842832510471344
6,43735,55,0.907,0.2825133247375488
7,27835,35,0.911,0.2910937969684601
8,20680,26,0.906,0.3226195855140686
9,20680,26,0.908,0.3151248724460602
10,47710,60,0.91,0.28821177458763125
11,54865,69,0.907,0.2742809031009674
12,69175,87,0.912,0.2704076735973358
13,78715,99,0.923,0.25957219982147217
14,31015,39,0.909,0.29549721813201907
15,57250,72,0.91,0.26035794711112975
16,77920,98,0.912,0.2555006835460663
17,23860,30,0.904,0.3119162473678589
18,19885,25,0.909,0.320187038898468
19,25450,32,0.897,0.31188788533210754
20,23065,29,0.902,0.31158565044403075
21,43735,55,0.907,0.2913048083782196
22,26245,33,0.905,0.3200741822719574
23,21475,27,0.905,0.3088327193260193
24,19885,25,0.899,0.3029155297279358
25,15115,19,0.882,0.35143113899230954
26,27040,34,0.903,0.3104927325248718
27,12730,16,0.892,0.3500230450630188
28,16705,21,0.903,0.3266489205360413
29,18295,23,0.891,0.3351471266746521
30,17500,22,0.903,0.32254656171798707
31,12730,16,0.901,0.3321894669532776
32,41350,52,0.906,0.2963744173049927
33,31015,39,0.902,0.3024343214035034
34,16705,21,0.902,0.33337020230293274
35,28630,36,0.906,0.29729533195495605
36,21475,27,0.902,0.31299849462509155
37,14320,18,0.896,0.3338301043510437
38,23065,29,0.911,0.31085838985443115
39,19885,25,0.896,0.3349653453826904
40,23860,30,0.899,0.32033313846588135
41,15115,19,0.9,0.33896834659576414
42,18295,23,0.903,0.3202397630214691
43,19090,24,0.895,0.3236306529045105
44,30220,38,0.901,0.29745847630500794
45,46120,58,0.915,0.27584290623664853
46,58045,73,0.906,0.29011235570907595
47,73150,92,0.924,0.24890977835655212
48,89845,113,0.923,0.2484413628578186
49,50890,64,0.907,0.2754294784069061
50,65200,82,0.915,0.2585915002822876
51,30220,38,0.908,0.30029085063934324
52,62020,78,0.915,0.26374472391605375
53,66790,84,0.908,0.27150328588485717
54,58840,74,0.913,0.26816547656059264
55,76330,96,0.927,0.2493961228132248
56,65995,83,0.911,0.26799814248085024
57,82690,104,0.925,0.24917758846282959
58,64405,81,0.91,0.2673276455402374
59,72355,91,0.909,0.28364708709716796
60,104155,131,0.919,0.24274391436576842
61,85075,107,0.926,0.25433306622505186
62,93820,118,0.919,0.2403713402748108
63,94615,119,0.919,0.27000561213493346
64,122440,154,0.921,0.22979801964759827
65,157420,198,0.925,0.23099898731708526
66,90640,114,0.919,0.24915721797943116
67,77125,97,0.916,0.24901144862174987
68,107335,135,0.919,0.2527564857006073
69,73945,93,0.915,0.26599470686912535
70,85870,108,0.921,0.26164577198028566
71,96205,121,0.919,0.24202689480781556
72,100180,126,0.917,0.2437523138523102
73,116080,146,0.916,0.2548367760181427
74,118465,149,0.923,0.24660013222694396
75,127210,160,0.927,0.23154040694236755
76,110515,139,0.928,0.22786081528663635
77,110515,139,0.918,0.2390097210407257
78,144700,182,0.925,0.22667178106307984
79,171730,216,0.926,0.22598146188259124
80,125620,158,0.916,0.23017696416378022
81,86665,109,0.917,0.24757958364486693
82,112900,142,0.917,0.2369784346818924
83,86665,109,0.909,0.25679713547229766
84,122440,154,0.92,0.2334529037475586
85,149470,188,0.925,0.23136237692832948
