Experiment 2 ,08_03_2020_13-28-55

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,38965,49,0.91,0.29131763553619383
1,44530,56,0.917,0.2727455381155014
2,54865,69,0.914,0.27359661769866944
3,67585,85,0.911,0.26335598063468935
4,82690,104,0.916,0.24881961679458617
5,66790,84,0.926,0.24547924685478212
6,69175,87,0.918,0.2687147659063339
7,54865,69,0.912,0.28590534687042235
8,65200,82,0.908,0.2762315857410431
9,54865,69,0.913,0.2756552867889404
10,61225,77,0.909,0.2676954185962677
11,65200,82,0.914,0.26653059220314024
12,65200,82,0.909,0.26632951068878175
13,75535,95,0.923,0.25459394574165345
14,77125,97,0.919,0.2474343204498291
15,76330,96,0.919,0.25045266127586363
16,96205,121,0.92,0.25298764407634733
17,93025,117,0.925,0.25204718971252443
18,105745,133,0.925,0.2235970492362976
19,82690,104,0.925,0.2447187385559082
20,86665,109,0.924,0.2504660232067108
21,93025,117,0.909,0.26065224504470824
22,139135,175,0.924,0.22564433968067169
23,128800,162,0.916,0.2349489743709564
24,127210,160,0.922,0.25701508128643036
25,126415,159,0.924,0.22552051901817322
26,138340,174,0.915,0.25078750371932984
27,113695,143,0.924,0.22563849449157714
28,156625,197,0.925,0.2246353656053543
29,155035,195,0.922,0.22519065141677858
30,159010,200,0.924,0.2206485641002655
31,222610,280,0.923,0.2254365919828415
32,219430,276,0.927,0.2139066746234894
33,256000,322,0.923,0.2227669489979744
34,240100,302,0.928,0.2135830682516098
35,230560,290,0.924,0.2196812343597412
36,282235,355,0.934,0.21359958779811858
37,380020,478,0.936,0.20149764728546143
38,380020,478,0.928,0.2013354799747467
39,318805,401,0.928,0.21410191988945007
40,343450,432,0.929,0.21959192776679992
41,320395,403,0.937,0.192781049489975
42,310060,390,0.934,0.1993641995191574
43,446005,561,0.935,0.197947026014328
44,510400,642,0.934,0.20129549208283423
45,525505,661,0.928,0.20069491457939148
46,436465,549,0.929,0.21636791586875914
47,525505,661,0.93,0.22429079830646514
48,709945,893,0.929,0.2212155613899231
49,975475,1227,0.94,0.17869990080595016
50,704380,886,0.94,0.19043858975172043
51,1268035,1595,0.938,0.19734176141023635
52,1278370,1608,0.935,0.2042840733230114
53,1354690,1704,0.941,0.20386846321821211
54,1370590,1724,0.944,0.18821277570724487
55,1690180,2126,0.954,0.17320670053362847
56,1921525,2417,0.941,0.18869170877337454
57,1555825,1957,0.948,0.16688423788547516
58,1535950,1932,0.944,0.1691143397986889
59,1059745,1333,0.936,0.19513287234306337
60,1423855,1791,0.939,0.19856035614013673
61,1642480,2066,0.951,0.16851434403657914
62,1892110,2380,0.941,0.1720179321616888
63,1609090,2024,0.943,0.1884967143535614
64,1966045,2473,0.938,0.20227048927545546
65,2553550,3212,0.949,0.1555457227230072
66,2361160,2970,0.937,0.21387181687355042
67,2675185,3365,0.94,0.2084695882499218
68,1116190,1404,0.936,0.197600412607193
69,2229985,2805,0.949,0.17011530977487563
70,1702105,2141,0.942,0.19222522431612016
71,2560705,3221,0.945,0.18981847167015076
72,1765705,2221,0.943,0.18567747551202773
73,2667235,3355,0.942,0.18770403185486795
74,1491430,1876,0.939,0.197821632117033
75,2534470,3188,0.933,0.220741222769022
76,2167975,2727,0.944,0.18408164849877356
77,1662355,2091,0.925,0.21981197810173034
78,2983645,3753,0.948,0.1774475354552269
79,2473255,3111,0.946,0.1892468331158161
80,2978080,3746,0.944,0.18750769716501237
