Experiment 2 ,08_03_2020_11-28-54

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,32605,41,0.905,0.3104480299949646
1,32605,41,0.906,0.2948639001846313
2,35785,45,0.909,0.29422838163375853
3,27835,35,0.902,0.2941890134811401
4,36580,46,0.907,0.29293993639945987
5,36580,46,0.905,0.2967501196861267
6,29425,37,0.904,0.3051683714389801
7,24655,31,0.902,0.31124193692207336
8,29425,37,0.903,0.3073178515434265
9,35785,45,0.9,0.30633202266693116
10,33400,42,0.901,0.3092342753410339
11,33400,42,0.904,0.3110131039619446
12,21475,27,0.898,0.32656144952774047
13,24655,31,0.901,0.31620534682273865
14,26245,33,0.901,0.3352780175209045
15,23860,30,0.907,0.30823060727119445
16,33400,42,0.905,0.29930943727493287
17,26245,33,0.908,0.3013934473991394
18,26245,33,0.907,0.3066580753326416
19,27835,35,0.908,0.2955722289085388
20,29425,37,0.906,0.3068573212623596
21,25450,32,0.887,0.33462301778793335
22,23065,29,0.905,0.29448422384262085
23,27040,34,0.904,0.30001649212837217
24,28630,36,0.901,0.31275666427612303
25,34195,43,0.899,0.3024956090450287
26,23860,30,0.903,0.3079372704029083
27,28630,36,0.904,0.30605205821990966
28,31015,39,0.899,0.318448358297348
29,23860,30,0.907,0.3024988913536072
30,28630,36,0.905,0.3040337138175964
31,34195,43,0.901,0.30975404620170593
32,34195,43,0.912,0.2819027502536774
33,34195,43,0.905,0.3111587748527527
34,38965,49,0.903,0.2917864651679993
35,27040,34,0.904,0.30404448676109314
36,41350,52,0.909,0.2840774257183075
37,41350,52,0.911,0.27981427931785585
38,51685,65,0.908,0.27692441034317017
39,51685,65,0.911,0.273750057220459
40,44530,56,0.907,0.29509200620651244
41,51685,65,0.906,0.2813158974647522
42,57250,72,0.905,0.28499434113502503
43,65200,82,0.919,0.2560556926727295
44,71560,90,0.916,0.26543989205360413
45,78715,99,0.918,0.2492891206741333
46,76330,96,0.914,0.25629621458053586
47,72355,91,0.913,0.24668963027000426
48,92230,116,0.92,0.23947832286357879
49,84280,106,0.915,0.2579222114086151
50,99385,125,0.928,0.23446201705932618
51,85870,108,0.917,0.26871092164516447
52,72355,91,0.913,0.2806572437286377
53,90640,114,0.914,0.248720885515213
54,102565,129,0.915,0.2473441481590271
55,100180,126,0.922,0.24708945631980897
56,93025,117,0.911,0.2535322732925415
57,115285,145,0.923,0.24699534261226655
58,118465,149,0.923,0.2438164918422699
59,120850,152,0.925,0.23508181357383728
60,128800,162,0.923,0.2358868842124939
61,173320,218,0.927,0.24031835293769838
62,109720,138,0.929,0.23743091428279878
63,94615,119,0.926,0.2486913104057312
64,100180,126,0.916,0.2413357433080673
65,83485,105,0.921,0.23939650881290436
66,135955,171,0.932,0.22130164670944213
67,159805,201,0.918,0.2343770672082901
68,205915,259,0.927,0.21148249900341035
69,223405,281,0.926,0.23143749856948853
70,289390,364,0.933,0.20387179148197174
71,267130,336,0.928,0.2143103175163269
72,327550,412,0.939,0.19788344383239745
73,423745,533,0.944,0.18719320034980774
74,481780,606,0.936,0.19613826322555541
75,411820,518,0.939,0.1955400069952011
76,535840,674,0.929,0.2084016350507736
77,614545,773,0.942,0.18955371832847595
78,639985,805,0.933,0.18916524612903596
79,624085,785,0.941,0.1948535538315773
80,729820,918,0.94,0.20002226042747498
81,620905,781,0.94,0.19879849684238435
82,503245,633,0.934,0.20527303791046142
83,588310,740,0.93,0.20856825244426727
84,650320,818,0.941,0.18268466711044312
