Experiment 3 ,09_03_2020_05-37-53

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,8755,11,0.878,0.4141985960006714
1,9550,12,0.882,0.40888510179519655
2,11140,14,0.877,0.3774901919364929
3,19885,25,0.896,0.3291407384872437
4,3190,4,0.75,0.9193977766036987
5,19090,24,0.896,0.3457420692443848
6,19090,24,0.895,0.33176053905487063
7,4780,6,0.806,0.6246159687042236
8,16705,21,0.895,0.3447110407352448
9,16705,21,0.905,0.32859219217300417
10,3190,4,0.769,0.814994044303894
11,17500,22,0.898,0.3543347346782684
12,19885,25,0.884,0.34941089534759523
13,19090,24,0.894,0.3382542095184326
14,20680,26,0.888,0.34521214532852174
15,16705,21,0.895,0.3566178951263428
16,17500,22,0.891,0.3410865979194641
17,31810,40,0.911,0.3152823214530945
18,32605,41,0.903,0.3067460436820984
19,30220,38,0.906,0.29817187786102295
20,23065,29,0.907,0.31540460395812986
21,31810,40,0.905,0.30068499422073364
22,27835,35,0.901,0.32274725413322447
23,24655,31,0.908,0.2964157438278198
24,27835,35,0.897,0.30812412786483767
25,23860,30,0.905,0.31519833946228026
26,24655,31,0.904,0.30241892504692075
27,19090,24,0.896,0.32501549100875854
28,15115,19,0.886,0.37772791719436644
29,14320,18,0.897,0.348918212890625
30,11935,15,0.892,0.3581661548614502
31,13525,17,0.895,0.36504134702682495
32,13525,17,0.885,0.36398753547668455
33,11140,14,0.878,0.37511655616760253
34,10345,13,0.875,0.3782712068557739
35,8755,11,0.876,0.40749296903610227
36,6370,8,0.841,0.5102402410507202
37,7165,9,0.861,0.4452564697265625
38,5575,7,0.862,0.4779162893295288
39,6370,8,0.861,0.4559025363922119
40,10345,13,0.885,0.3767198796272278
41,10345,13,0.883,0.3846883788108826
42,7960,10,0.88,0.41516982984542844
43,7960,10,0.861,0.4482250628471375
44,7960,10,0.868,0.4250598850250244
45,9550,12,0.898,0.3777569708824158
46,7960,10,0.872,0.4160903868675232
47,9550,12,0.877,0.40331514525413514
48,7960,10,0.88,0.40147279024124144
49,8755,11,0.889,0.3700118017196655
50,9550,12,0.875,0.4042485156059265
51,9550,12,0.882,0.41559688234329223
52,10345,13,0.887,0.37811426401138304
53,9550,12,0.884,0.3796350927352905
54,12730,16,0.884,0.3666149263381958
55,10345,13,0.873,0.39815382099151614
56,9550,12,0.887,0.394071542263031
57,9550,12,0.875,0.41151870203018187
58,9550,12,0.887,0.3812526087760925
59,9550,12,0.865,0.43034681177139283
60,11140,14,0.892,0.38370460891723635
61,15115,19,0.898,0.3493177933692932
62,14320,18,0.884,0.34975346612930297
63,15115,19,0.896,0.3410072627067566
64,13525,17,0.896,0.3474686851501465
65,10345,13,0.879,0.39005598402023317
66,8755,11,0.884,0.3797728404998779
67,9550,12,0.888,0.3749085383415222
68,11935,15,0.882,0.37532122421264646
69,10345,13,0.895,0.35167048597335815
70,9550,12,0.881,0.36854469776153564
71,10345,13,0.886,0.37179463005065916
72,9550,12,0.88,0.38696540355682374
73,9550,12,0.882,0.3693020715713501
74,7165,9,0.87,0.4392453770637512
75,7960,10,0.863,0.4359578914642334
76,7960,10,0.882,0.40344986486434936
77,7960,10,0.873,0.4303197145462036
78,6370,8,0.873,0.4506550879478455
79,7960,10,0.879,0.4103778586387634
80,6370,8,0.864,0.4467375063896179
81,6370,8,0.867,0.4585969934463501
82,7960,10,0.878,0.4009481706619263
83,6370,8,0.859,0.4558628759384155
84,5575,7,0.843,0.505693747997284
85,5575,7,0.858,0.4935546774864197
86,5575,7,0.851,0.5130912823677063
87,4780,6,0.842,0.5169008169174194
88,4780,6,0.827,0.5512167768478393
89,7960,10,0.868,0.43579470133781434
90,5575,7,0.835,0.5175875749588013
91,4780,6,0.829,0.5882991886138916
92,4780,6,0.811,0.6331768698692322
93,2395,3,0.668,1.1537534999847412
