Experiment 1 ,08_03_2020_11-58-55,,,,,Experiment 2 ,08_03_2020_12-28-55,,,,,,,,,,,,,,
Data shape and running,,,,,,Data shape and running,,,,,,,,,,,,,,,
input_shape ,"(28, 28)",,,,,input_shape ,"(28, 28)",,,,,,,,,,,,,,
output_shape ,10,,,,,output_shape ,10,,,,,,,,,,,,,,
scaling ,255,,,,,scaling ,255,,,,,,,,,,,,,,
epochs ,5,,,,,epochs ,5,,,,,,,,,,,,,,
max_runtime,1800,,,,,max_runtime,1800,,,,,,,,,,,,,,
dataset_percentage,0.1,,,,,dataset_percentage,0.1,,,,,,,,,,,,,,
dataset,mnist,,,,,dataset,mnist,,,,,,,,,,,,,,
Hyper parameters,,,,,,Hyper parameters,,,,,,,,,,,,,,,
activation_function ,Activation.relu,,,,,activation_function ,Activation.relu,,,,,,,,,,,,,,
initial_max_nodes ,50,,,,,initial_max_nodes ,50,,,,,,,,,,,,,,
loss_function ,Loss.sparse_categorical_crossentropy,,,,,loss_function ,Loss.sparse_categorical_crossentropy,,,,,,,,,,,,,,
optimizer ,Optimizer.Adam,,,,,optimizer ,Optimizer.Adam,,,,,,,,,,,,,,
GA parameters,,,,,,GA parameters,,,,,,,,,,,,,,,
population_size ,10,,,,,population_size ,10,,,,,,,,,,,,,,
mating_pool ,10,,,,,mating_pool ,10,,,,,,,,,,,,,,
mutation_rate,0.2,,,,,mutation_rate,0.2,,,,,,,,,,,,,,
OUTPUT,,,,,,OUTPUT,,,,,,,,,,,,,,,
generation_no,params_no,neurons_no,accuracy,loss,,generation_no,params_no,neurons_no,accuracy,loss,,,,,,,,generation,avg acc,avg los,avg par
0,24655,31,0.908,0.305127706,,0,8755,11,0.881,0.384320725,,,,,,,,0,0.8945,0.344724216,16705
1,19885,25,0.901,0.321491844,,1,25450,32,0.908,0.315025733,,,,,,,,1,0.9045,0.318258789,22667.5
2,9550,12,0.9,0.380737446,,2,29425,37,0.914,0.288459506,,,,,,,,2,0.907,0.334598476,19487.5
3,32605,41,0.903,0.306639755,,3,12730,16,0.898,0.353410955,,,,,,,,3,0.9005,0.330025355,22667.5
4,27040,34,0.91,0.310660216,,4,33400,42,0.902,0.291770058,,,,,,,,4,0.906,0.301215137,30220
5,11935,15,0.893,0.349692949,,5,45325,57,0.905,0.280743834,,,,,,,,5,0.899,0.315218392,28630
6,26245,33,0.903,0.320066704,,6,38170,48,0.906,0.287809521,,,,,,,,6,0.9045,0.303938112,32207.5
7,13525,17,0.898,0.343282557,,7,46120,58,0.914,0.284704577,,,,,,,,7,0.906,0.313993567,29822.5
8,11935,15,0.888,0.355541585,,8,52480,66,0.91,0.288163544,,,,,,,,8,0.899,0.321852564,32207.5
9,27835,35,0.918,0.292222132,,9,22270,28,0.892,0.314108154,,,,,,,,9,0.905,0.303165143,25052.5
10,10345,13,0.89,0.391516052,,10,21475,27,0.893,0.320862212,,,,,,,,10,0.8915,0.356189132,15910
11,15910,20,0.883,0.346109566,,11,58840,74,0.907,0.267680012,,,,,,,,11,0.895,0.306894789,37375
12,17500,22,0.896,0.338048566,,12,41350,52,0.913,0.270145769,,,,,,,,12,0.9045,0.304097167,29425
13,31015,39,0.901,0.302556891,,13,54070,68,0.918,0.26921174,,,,,,,,13,0.9095,0.285884315,42542.5
14,15115,19,0.88,0.364517754,,14,41350,52,0.908,0.295854542,,,,,,,,14,0.894,0.330186148,28232.5
15,15910,20,0.892,0.331270285,,15,50095,63,0.909,0.271888488,,,,,,,,15,0.9005,0.301579387,33002.5
16,16705,21,0.894,0.3400802,,16,43735,55,0.913,0.264989037,,,,,,,,16,0.9035,0.302534618,30220
17,11935,15,0.901,0.361129467,,17,81100,102,0.908,0.270060611,,,,,,,,17,0.9045,0.315595039,46517.5
18,28630,36,0.907,0.300255518,,18,67585,85,0.914,0.266758608,,,,,,,,18,0.9105,0.283507063,48107.5
19,30220,38,0.91,0.303318368,,19,81100,102,0.925,0.24065633,,,,,,,,19,0.9175,0.271987349,55660
20,9550,12,0.888,0.370313612,,20,73945,93,0.913,0.260108697,,,,,,,,20,0.9005,0.315211155,41747.5
21,9550,12,0.883,0.387363083,,21,81100,102,0.928,0.247890819,,,,,,,,21,0.9055,0.317626951,45325
