Experiment 3 ,15_03_2020_09-10-12

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,23860,1,0.899,0.3154750955104828
1,15155,2,0.905,0.3088719220161438
2,29508,3,0.906,0.29801851654052736
3,30808,4,0.907,0.31392129278182984
4,31554,4,0.928,0.28220319318771364
5,39793,4,0.913,0.268770400762558
6,39793,4,0.921,0.27046424984931944
7,29508,3,0.903,0.3022603435516357
8,48913,3,0.913,0.2525867658853531
9,29508,3,0.905,0.31261830067634583
10,29344,3,0.906,0.29014370441436765
11,37681,3,0.914,0.26091691374778747
12,37676,3,0.911,0.28420967793464663
13,38591,4,0.91,0.29767780828475954
14,36467,3,0.917,0.2594750683307648
15,37474,4,0.91,0.284798842549324
16,45603,4,0.906,0.2815693085193634
17,18763,4,0.897,0.35467489314079287
18,17299,4,0.878,0.3997212107181549
19,18419,3,0.886,0.3358420271873474
20,25335,4,0.908,0.2846130208969116
21,23953,4,0.907,0.2890315109491348
22,20207,2,0.897,0.32238720083236694
23,47664,6,0.918,0.25919190514087675
24,47664,6,0.909,0.2896580650806427
25,20559,4,0.902,0.2983115758895874
26,24585,4,0.907,0.3103147411346436
27,23243,3,0.878,0.35180154657363893
28,23243,3,0.915,0.2685058147907257
29,97390,4,0.926,0.21812574458122252
30,32519,3,0.912,0.2584101758003235
31,84800,3,0.922,0.23563656330108643
32,96609,3,0.918,0.24200657868385314
33,30103,2,0.922,0.25728353261947634
34,84559,2,0.923,0.23361112606525422
35,89193,2,0.926,0.2289843510389328
36,75175,2,0.925,0.23824712991714478
37,99483,2,0.925,0.25358858370780946
38,97155,2,0.922,0.23522656345367432
39,84581,3,0.913,0.23428293991088867
40,59505,4,0.911,0.29940506982803344
41,71539,3,0.927,0.22303579592704773
42,58319,3,0.923,0.2587155976295471
43,83103,2,0.919,0.25377713894844056
44,81015,2,0.921,0.22750197410583495
45,90785,3,0.929,0.20759000569581987
46,74139,2,0.914,0.24701232385635377
47,95535,2,0.92,0.24670503520965575
48,77753,3,0.934,0.21600720357894898
49,79143,2,0.925,0.23056366074085236
50,80657,3,0.917,0.257850283741951
51,85864,4,0.922,0.2423189059495926
52,65355,2,0.908,0.24965951824188232
53,67289,3,0.91,0.2646212031841278
54,68800,2,0.911,0.2680493407249451
55,75719,2,0.926,0.22583565378189088
56,70190,3,0.915,0.2637819674015045
57,87074,3,0.928,0.21528895354270935
58,97468,3,0.933,0.22354550892114639
59,116510,3,0.926,0.24257776510715484
60,86244,3,0.922,0.25905720925331116
61,86244,3,0.915,0.26091782355308535
62,67205,3,0.93,0.22700053358078004
63,84930,3,0.926,0.23544984674453737
64,84930,3,0.916,0.2731905932426453
65,75641,3,0.932,0.21603888273239136
66,75641,3,0.918,0.24621531057357787
67,41999,4,0.911,0.25247553968429565
68,44220,2,0.926,0.24955613112449646
69,38389,3,0.92,0.24779014945030212
70,37799,2,0.913,0.248848176240921
71,39473,3,0.913,0.2790871081352234
72,38708,3,0.924,0.2542250337600708
73,37687,4,0.906,0.2807037010192871
74,33605,4,0.913,0.26012329483032226
75,24335,2,0.893,0.30218537712097165
76,25983,2,0.912,0.27752975273132324
77,34202,3,0.903,0.2681715216040611
78,24535,2,0.911,0.2771845691204071
79,26219,3,0.902,0.2899634885787964
80,26219,3,0.91,0.28239508509635924
81,28545,2,0.903,0.2910522003173828
82,28545,2,0.915,0.2578909065723419
83,30215,3,0.901,0.29833458590507506
84,37293,4,0.899,0.30810668611526487
85,33083,3,0.915,0.26756789708137513
86,29650,4,0.914,0.25851391196250917
87,26143,2,0.91,0.2821819441318512
88,28590,2,0.907,0.28791811800003053
89,26327,3,0.91,0.28111367917060853
90,32375,2,0.904,0.28379019498825075
91,9635,2,0.899,0.3552248463630676
