Experiment 1 ,15_03_2020_04-10-11

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,11935,15,0.889,0.36801231861114503
1,38170,48,0.911,0.30113904261589053
2,31015,39,0.91,0.2890568103790283
3,45325,57,0.916,0.26168051648139956
4,31015,39,0.899,0.2878903877735138
5,39760,50,0.916,0.2841431243419647
6,35785,45,0.911,0.2877564034461975
7,30220,38,0.904,0.29003961133956907
8,37375,47,0.917,0.27467079973220826
9,37375,47,0.905,0.28126272416114806
10,57250,72,0.915,0.2569613637924194
11,32605,41,0.905,0.3004708557128906
12,37375,47,0.91,0.2770971155166626
13,54070,68,0.914,0.2678948414325714
14,79510,100,0.921,0.24718665742874146
15,100975,127,0.914,0.25216726565361025
16,27040,34,0.911,0.2994403192996979
17,62020,78,0.905,0.2970689144134521
18,63610,80,0.919,0.2583645741939545
19,75535,95,0.914,0.25559521627426146
20,27835,35,0.908,0.3002117929458618
21,71560,90,0.921,0.24338843560218812
22,55660,70,0.912,0.2846295473575592
23,66790,84,0.919,0.2438334913253784
24,77125,97,0.917,0.2471604025363922
25,85075,107,0.923,0.2510939373970032
26,90640,114,0.924,0.24296693801879882
27,121645,153,0.914,0.2556856412887573
28,160600,202,0.922,0.21951934170722961
29,176500,222,0.926,0.21571296238899232
30,148675,187,0.924,0.22765191721916198
31,187630,236,0.922,0.23901428306102754
32,189220,238,0.925,0.23865669417381286
33,188425,237,0.926,0.2162351063489914
34,189220,238,0.926,0.21321442008018493
35,216250,272,0.934,0.207701771736145
36,228175,287,0.935,0.20569546627998353
37,240100,302,0.922,0.2321867733001709
38,256795,323,0.926,0.23012706124782562
39,252820,318,0.931,0.20890647172927856
40,312445,393,0.938,0.20525905382633208
41,316420,398,0.932,0.20796735113859177
42,402280,506,0.933,0.23731181287765504
