Experiment 2 ,14_03_2020_01-49-08

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,39760,50,0.905,0.3138105719089508
1,43735,55,0.908,0.27980334758758546
2,51685,65,0.913,0.28326322054862973
3,58045,73,0.915,0.2565852110385895
4,69970,88,0.913,0.2778374755382538
5,65995,83,0.912,0.25191868114471433
6,81100,102,0.912,0.2544300045967102
7,96205,121,0.92,0.24489336180686952
8,88255,111,0.921,0.2614670770168304
9,105745,133,0.925,0.24953067708015442
10,135160,170,0.916,0.2622224850654602
11,154240,194,0.925,0.23783219707012176
12,173320,218,0.916,0.25326967060565947
13,205120,258,0.927,0.20960538637638093
14,244075,307,0.936,0.20482793068885805
15,313240,394,0.928,0.20713324373960496
16,381610,480,0.933,0.21360193783044815
17,372865,469,0.928,0.20317006063461304
18,508015,639,0.928,0.21552788460254668
19,656680,826,0.935,0.17854907739162446
20,656680,826,0.951,0.17728235208988188
21,721075,907,0.935,0.2017904175519943
22,829195,1043,0.944,0.17913612294197082
23,1165480,1466,0.941,0.1905313539505005
24,1165480,1466,0.946,0.1738159383535385
25,1441345,1813,0.941,0.18819583731889725
26,1450090,1824,0.938,0.2053884996175766
27,1914370,2408,0.951,0.18028861159086226
28,2286430,2876,0.94,0.2380799732208252
29,1434190,1804,0.939,0.1866436208486557
30,3071890,3864,0.94,0.19496426486968993
31,2955820,3718,0.937,0.19953767968714237
32,2639410,3320,0.946,0.17787741535902024
33,2243500,2822,0.927,0.21138302731513978
34,3416125,4297,0.948,0.18943850734829903
35,3086200,3882,0.949,0.19727132946252823
36,2749120,3458,0.949,0.16929245668649673
37,3086200,3882,0.943,0.20813332056999206
38,2826235,3555,0.943,0.21347275495529175
39,3624415,4559,0.939,0.2078638660609722
40,3624415,4559,0.928,0.24316733396053314
41,2878705,3621,0.949,0.1660988282263279
