Experiment 2 ,14_03_2020_04-49-10

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,26245,33,0.907,0.30097415661811827
1,26245,33,0.907,0.30479491090774535
2,16705,21,0.897,0.3330541224479675
3,20680,26,0.903,0.32252944469451905
4,27040,34,0.907,0.30534829521179196
5,27040,34,0.911,0.2931649217605591
6,34990,44,0.906,0.3000356986522675
7,32605,41,0.907,0.29490526008605955
8,44530,56,0.907,0.28210282158851624
9,21475,27,0.901,0.3083342456817627
10,18295,23,0.902,0.3275590465068817
11,15910,20,0.895,0.3449809012413025
12,16705,21,0.89,0.3557467122077942
13,16705,21,0.905,0.3244874022006988
14,15115,19,0.886,0.34920809030532834
15,13525,17,0.891,0.35878337144851685
16,14320,18,0.899,0.3465885677337647
17,19090,24,0.907,0.30799271965026853
18,24655,31,0.901,0.31921789932250977
19,18295,23,0.897,0.33611034440994264
20,19090,24,0.906,0.32713777279853823
21,19090,24,0.899,0.3152683572769165
22,17500,22,0.905,0.33241915798187255
23,18295,23,0.907,0.3334581189155579
24,33400,42,0.911,0.2962504136562347
25,16705,21,0.893,0.3296429443359375
26,41350,52,0.908,0.28678326940536497
27,15910,20,0.91,0.33625001192092896
28,15115,19,0.893,0.3393623089790344
29,18295,23,0.897,0.32337156200408934
30,77125,97,0.917,0.25844681918621065
31,54865,69,0.911,0.28609146738052366
32,42940,54,0.914,0.2762929313182831
33,58840,74,0.914,0.2687808735370636
34,36580,46,0.91,0.2854564609527588
35,40555,51,0.916,0.2873780918121338
36,51685,65,0.916,0.2702705819606781
37,64405,81,0.918,0.2515097153186798
38,54070,68,0.918,0.26793465662002564
39,85870,108,0.915,0.2504365055561066
40,77920,98,0.922,0.2491795644760132
41,81100,102,0.923,0.23680244040489196
42,86665,109,0.924,0.24914213693141937
43,73945,93,0.918,0.2423434534072876
44,62020,78,0.916,0.256440726518631
45,112105,141,0.918,0.24062709975242616
46,65200,82,0.915,0.25641688776016236
47,108130,136,0.916,0.2712666575908661
48,108130,136,0.916,0.2524551367759705
49,93025,117,0.912,0.2608868943452835
50,66790,84,0.912,0.25919158291816713
51,73945,93,0.904,0.2880301609039307
52,88255,111,0.915,0.26387490224838256
53,97000,122,0.915,0.24840159058570863
54,60430,76,0.914,0.2641578371524811
55,60430,76,0.908,0.27541769289970397
56,82690,104,0.909,0.25493954205513003
57,101770,128,0.915,0.2493313295841217
58,108130,136,0.921,0.24235441827774049
59,125620,158,0.917,0.23602204918861389
60,121645,153,0.919,0.2402853922843933
61,114490,144,0.921,0.2400638816356659
62,100180,126,0.929,0.22748334527015687
63,106540,134,0.924,0.24162916886806488
64,142315,179,0.916,0.23511266922950744
65,162985,205,0.933,0.2169855669736862
66,157420,198,0.916,0.23567614436149598
67,197170,248,0.927,0.21219599890708923
68,215455,271,0.93,0.21544568967819214
69,243280,306,0.927,0.2043240715265274
70,265540,334,0.933,0.21028453266620636
71,265540,334,0.924,0.21889643251895904
72,255205,321,0.932,0.22329635858535768
73,316420,398,0.941,0.20367441546916962
74,391150,492,0.934,0.18795404249429704
75,369685,465,0.933,0.1979484944343567
76,471445,593,0.938,0.1892609766125679
77,453160,570,0.925,0.2235581636428833
78,442030,556,0.935,0.2021906098127365
79,495295,623,0.938,0.18706571638584138
80,595465,749,0.94,0.18725821095705034
81,659065,829,0.94,0.2015649528503418
82,552535,695,0.943,0.19432021605968475
83,581950,732,0.941,0.18948060643672943
84,596260,750,0.941,0.18804609960317611
85,849070,1068,0.937,0.19029876232147216
86,849070,1068,0.944,0.18358368742465972
87,733000,922,0.933,0.19595000302791596
88,941290,1184,0.933,0.182028457403183
89,934135,1175,0.94,0.18436283260583877
90,977860,1230,0.939,0.19187581086158753
91,1167070,1468,0.942,0.19158068871498107
92,947650,1192,0.942,0.17773879882693291
93,895975,1127,0.935,0.2041282262802124
94,957190,1204,0.932,0.2166774086356163
95,1052590,1324,0.933,0.2062120372056961
96,1010455,1271,0.937,0.2010530497431755
97,1320505,1661,0.941,0.1766477234810591
98,1167865,1469,0.941,0.1829890319108963
99,1887340,2374,0.943,0.1765218470990658
100,1464400,1842,0.934,0.201932860404253
101,1464400,1842,0.939,0.19133238446712494
102,1339585,1685,0.932,0.21421671998500824
103,1864285,2345,0.946,0.169798887103796
104,1846795,2323,0.945,0.18508137953281403
105,1834075,2307,0.937,0.19849583464860915
106,1750600,2202,0.939,0.1995063820183277
107,913465,1149,0.938,0.1800655450820923
108,2057470,2588,0.947,0.1832995078265667
109,3168880,3986,0.937,0.23021148058772087
110,1203640,1514,0.937,0.1788021057844162
111,2042365,2569,0.946,0.17009777218103408
112,1445320,1818,0.946,0.16499402460455895
113,2308690,2904,0.943,0.18972499419748784
114,2603635,3275,0.946,0.1758050294518471
115,1172635,1475,0.936,0.19577492505311966
116,1643275,2067,0.94,0.2090240067243576
117,1639300,2062,0.948,0.17380140721797943
118,1167865,1469,0.932,0.19702480959892274
119,1315735,1655,0.945,0.19769890785217284
120,1467580,1846,0.938,0.17941216886043548
121,1379335,1735,0.94,0.17861321249604226
122,1476325,1857,0.939,0.19640266886353494
123,1330045,1673,0.946,0.17233946833014488
124,1123345,1413,0.944,0.18178489971160888
125,1407955,1771,0.94,0.18335400742292404
126,1407955,1771,0.937,0.19408301511406897
127,1334815,1679,0.945,0.18141367542743683
128,1274395,1603,0.944,0.1733487757742405
129,2082115,2619,0.95,0.16501028095185757
130,2054290,2584,0.944,0.17424595388770103
131,2958205,3721,0.951,0.18115657180547715
132,2463715,3099,0.928,0.2518342792987823
133,3575920,4498,0.944,0.16556698347628115
134,3791365,4769,0.941,0.1892857401520014
135,2735605,3441,0.947,0.1873166670203209
136,2246680,2826,0.948,0.1761037929803133
137,3788185,4765,0.943,0.20027614310383796
138,3063145,3853,0.933,0.2149462662935257
139,3063145,3853,0.942,0.19570692163705825
140,3230890,4064,0.943,0.16985929591953755
141,3230890,4064,0.946,0.1778757451325655
142,2606815,3279,0.954,0.16712823944166302
143,3230890,4064,0.934,0.2032288311123848
144,2865985,3605,0.948,0.17087033382058145
145,3125155,3931,0.949,0.17456380835175514
146,2549575,3207,0.942,0.19877305382490157
147,1791145,2253,0.946,0.17808988362550734
148,2076550,2612,0.94,0.18443241131305693
149,1795915,2259,0.949,0.18955046439170836
150,2853265,3589,0.948,0.17787708112597467
151,2520160,3170,0.945,0.17813617303967477
152,2742760,3450,0.947,0.18466194307804107
153,2210905,2781,0.947,0.18237697166204453
154,2446225,3077,0.952,0.15364920142292976
155,3011470,3788,0.941,0.18876714307069778
156,2805565,3529,0.945,0.17437425593286754
157,2012950,2532,0.943,0.1810834521651268
158,2490745,3133,0.948,0.14895442855358124
159,3152185,3965,0.945,0.16768307848274708
160,2524135,3175,0.937,0.22207862561941147
161,3145030,3956,0.943,0.18358521276712417
162,3133105,3941,0.948,0.16844146382808686
163,2485180,3126,0.945,0.19578994280099868
