Experiment 1 ,14_03_2020_00-49-08

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,38965,49,0.906,0.28629764771461486
1,39760,50,0.91,0.28785044622421263
2,38170,48,0.892,0.32645474457740786
3,46915,59,0.902,0.3094005777835846
4,52480,66,0.917,0.2770515143871307
5,54865,69,0.905,0.2915059130191803
6,66790,84,0.913,0.2718494827747345
7,71560,90,0.909,0.25954722189903257
8,70765,89,0.918,0.25836478447914124
9,88255,111,0.92,0.2524242391586304
10,77125,97,0.917,0.24893235850334167
11,83485,105,0.929,0.2402831394672394
12,109720,138,0.921,0.22947717475891113
13,123235,155,0.919,0.24808303391933442
14,128800,162,0.923,0.24776918601989745
15,128800,162,0.93,0.22125712990760804
16,131980,166,0.929,0.22356048822402955
17,136750,172,0.915,0.2599490523338318
18,151855,191,0.925,0.21944667267799378
19,151855,191,0.929,0.22085013854503632
20,166165,209,0.918,0.22809699440002443
21,165370,208,0.918,0.22742975199222565
22,193990,244,0.933,0.19573330914974213
23,259180,326,0.932,0.2101929861307144
24,259180,326,0.93,0.220133203625679
25,259180,326,0.926,0.21095298266410828
26,315625,397,0.932,0.20314753007888794
27,337885,425,0.93,0.2081081199645996
28,337885,425,0.938,0.19343955171108246
29,389560,490,0.933,0.20706516003608705
30,501655,631,0.939,0.18547792559862136
31,608185,765,0.938,0.18738921868801117
32,641575,807,0.938,0.19759519267082215
33,866560,1090,0.94,0.17787339568138122
34,866560,1090,0.938,0.20301529479026795
35,1191715,1499,0.945,0.18119735422730446
36,946060,1190,0.943,0.16213256096839904
37,1469965,1849,0.937,0.19237786173820495
38,1408750,1772,0.935,0.18880221837759018
39,1446910,1820,0.941,0.176617043659091
40,1399210,1760,0.943,0.17601324358582496
41,1851565,2329,0.946,0.1751902030110359
42,2245090,2824,0.949,0.18667207933962346
43,2309485,2905,0.934,0.2074941719919443
44,1868260,2350,0.948,0.17666527593135833
45,2031235,2555,0.948,0.16753224390745164
46,2031235,2555,0.937,0.19497102415561676
47,2031235,2555,0.942,0.1806600366830826
48,2224420,2798,0.945,0.18411935737729074
49,2514595,3163,0.94,0.19216755220294
50,1820560,2290,0.945,0.17522927302122115
51,2319025,2917,0.944,0.18376693280041217
52,2694265,3389,0.939,0.1812037856578827
53,3284950,4132,0.936,0.19592618423700334
54,3284950,4132,0.927,0.23553284446150063
55,2190235,2755,0.943,0.1783805729597807
56,3029755,3811,0.95,0.16094381117820739
57,2726065,3429,0.946,0.1940920798778534
58,2703010,3400,0.945,0.19904888302087784
59,3670525,4617,0.935,0.22049949330091476
60,2503465,3149,0.95,0.17827053996920586
61,4942525,6217,0.945,0.1940834606438875
62,2756275,3467,0.949,0.17531244149804115
63,4931395,6203,0.946,0.18997318902611732
64,2833390,3564,0.94,0.18834442925453185
65,4140370,5208,0.95,0.1714257835149765
66,2947075,3707,0.928,0.2578132046461105
