Experiment 2 ,17_03_2020_07-12-36

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,31015,1,0.901,0.31479692840576173
1,32825,2,0.907,0.28979306507110597
2,32525,2,0.911,0.26922231817245484
3,32525,2,0.912,0.2639440996646881
4,34007,3,0.918,0.28057037901878357
5,33527,3,0.908,0.28090900468826296
6,34350,3,0.905,0.2931199796199799
7,31058,3,0.907,0.2830838086605072
8,31058,3,0.916,0.2493964195251465
9,31058,3,0.913,0.26225062656402587
10,31513,3,0.917,0.25826292848587035
11,35318,3,0.913,0.25410289549827575
12,34544,3,0.914,0.28871503043174745
13,42041,3,0.901,0.27147346663475036
14,32045,3,0.908,0.26714620304107667
15,42962,4,0.923,0.23540818333625793
16,39792,3,0.889,0.33573116540908815
17,42487,4,0.908,0.27908849108219147
18,39792,3,0.917,0.2642015280723572
19,43957,3,0.924,0.2572722933292389
20,44565,3,0.912,0.25533074665069583
21,41609,4,0.906,0.3000298399925232
22,45989,3,0.907,0.28628432941436766
23,45525,3,0.902,0.28929023706912993
24,50981,3,0.918,0.25241923141479494
25,50981,3,0.927,0.22408536052703856
26,46221,3,0.918,0.23487536334991455
27,60133,3,0.898,0.31758053207397463
28,62295,4,0.92,0.26158727788925173
29,60017,3,0.916,0.25718093144893645
30,63803,4,0.934,0.20996896320581437
31,60017,3,0.92,0.23847057723999024
32,63803,4,0.92,0.24160936057567597
33,60017,3,0.912,0.25951298940181733
34,64868,5,0.927,0.25079887866973877
35,80356,4,0.933,0.24080068683624267
36,76034,3,0.927,0.2291337753534317
37,76034,3,0.909,0.26527385640144346
38,76034,3,0.924,0.23176182305812837
39,92654,3,0.921,0.24795173048973085
40,66893,3,0.92,0.25226387107372283
41,92336,3,0.926,0.2164833836555481
42,94562,3,0.931,0.2175467529296875
43,95114,3,0.924,0.23131237995624543
44,97501,4,0.921,0.2534882595539093
45,117875,3,0.927,0.21246276307106018
46,96080,3,0.915,0.27181926822662356
47,96080,3,0.927,0.2181404414176941
48,93596,2,0.922,0.21879775822162628
49,83225,3,0.928,0.23096197736263274
50,96766,3,0.91,0.30122130513191225
51,118241,3,0.937,0.21522042489051818
52,111039,2,0.931,0.21532877957820892
53,95873,4,0.927,0.2399111852645874
54,86057,3,0.935,0.19727403324842452
55,86057,3,0.941,0.21107996571063994
56,137172,4,0.935,0.228733954846859
57,136441,3,0.934,0.19712459069490432
58,136441,3,0.927,0.23704370856285095
59,136016,3,0.936,0.19244403713941574
60,133563,2,0.933,0.21650160983204841
61,133193,3,0.927,0.21480501556396484
62,130533,2,0.927,0.23886063623428344
63,121084,2,0.924,0.21816996884346007
64,134138,4,0.934,0.22926384609937667
65,134561,4,0.932,0.22766286432743071
66,86957,3,0.93,0.2222506456375122
67,130533,2,0.927,0.20324406641721726
68,92312,3,0.922,0.2342513502240181
69,89728,4,0.916,0.2721893594264984
70,99577,3,0.93,0.23784519517421723
71,89962,4,0.923,0.22968657445907592
72,130533,2,0.931,0.23323943960666657
73,132088,3,0.92,0.21707109558582305
74,142559,2,0.918,0.24443533802032472
75,138174,3,0.917,0.228026778280735
76,134514,4,0.922,0.24160199964046478
77,150203,3,0.928,0.23874681210517884
78,139215,2,0.934,0.21132189071178437
79,151355,2,0.935,0.1976806389093399
80,151355,2,0.912,0.27007340562343596
81,139567,2,0.924,0.2396272474527359
82,152115,2,0.931,0.21907108795642852
83,152115,2,0.932,0.2315457684993744
84,154745,3,0.921,0.21617061626911163
85,155345,2,0.925,0.22537611722946166
86,190185,2,0.936,0.20512732130289077
87,220641,2,0.933,0.19045190441608428
88,220641,2,0.915,0.24278749281167983
89,223487,3,0.935,0.20037531411647796
90,174901,3,0.923,0.24735284769535065
91,171711,2,0.934,0.2090012985467911
92,174901,3,0.932,0.21510417386889458
93,174901,3,0.927,0.23841672855615617
94,171711,2,0.943,0.18478943318128585
95,180938,2,0.937,0.206154600918293
96,183741,3,0.926,0.2188098452091217
97,183741,3,0.924,0.24369074440002442
98,229709,3,0.928,0.22400539553165436
99,229049,3,0.935,0.19759175598621367
100,181815,2,0.927,0.22743019700050354
101,181815,2,0.933,0.21512749239802362
102,181815,2,0.926,0.22564151412248612
103,228115,2,0.936,0.20214879608154296
104,242355,2,0.938,0.20358052128553392
105,294865,2,0.939,0.19974022832512855
106,302026,2,0.937,0.22059848201274873
107,297593,2,0.939,0.20699888980388642
108,306459,2,0.947,0.18774599599838257
109,306459,2,0.933,0.21851884150505066
110,304754,2,0.918,0.26286494576931
111,305777,2,0.942,0.19232904997467995
112,333203,2,0.942,0.20032746988534927
113,352551,2,0.928,0.2580253257751465
114,349942,2,0.942,0.18532712614536284
115,338579,3,0.941,0.20224540123343468
116,354833,3,0.939,0.1856154810320586
117,454735,2,0.934,0.21314736753702163
118,356995,2,0.937,0.18763543039560318
119,359725,3,0.933,0.2093404132127762
120,360380,3,0.926,0.2464717049598694
121,356995,2,0.928,0.21294736289978028
122,356995,2,0.932,0.2262717227935791
123,349723,2,0.936,0.21049186778068543
124,346532,2,0.943,0.19386905777454377
125,355479,2,0.942,0.1845034991502762
126,361843,2,0.924,0.23722382974624634
127,319325,2,0.924,0.23607636004686355
128,370431,2,0.935,0.1994622186422348
129,324925,2,0.937,0.18985629266500473
130,369115,2,0.93,0.21164852812886237
131,386487,2,0.924,0.27563698306679724
132,421695,2,0.934,0.21009017491340637
133,379619,2,0.935,0.18776708149909974
134,488212,2,0.934,0.20585305041074753
135,464727,2,0.935,0.19558378052711486
136,368307,2,0.937,0.2107812559604645
137,500695,2,0.936,0.2007174093723297
138,435387,2,0.929,0.21618487578630446
139,435387,2,0.941,0.20199301689863206
140,433571,2,0.933,0.20247393214702605
141,435387,2,0.935,0.2185445396900177
142,524385,2,0.927,0.2509616005420685
143,586977,2,0.942,0.19988683521747588
144,510760,2,0.94,0.18496544033288956
145,510215,2,0.932,0.22613581955432893
146,570215,2,0.936,0.2165292095541954
147,570215,2,0.938,0.20592009130120278
148,354647,2,0.947,0.18410494334995747
149,516323,2,0.936,0.19175971239805223
150,583189,2,0.936,0.21246844470500947
151,583189,2,0.942,0.19394816589355468
152,478399,2,0.939,0.2105093013048172
153,478399,2,0.936,0.20589293968677522
154,476403,2,0.938,0.1995247423350811
155,606316,2,0.947,0.19285406965017318
156,606316,2,0.932,0.2099871323108673
157,582191,2,0.934,0.2223358211517334
