Experiment 2 ,18_03_2020_03-27-14

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,34990,1,0.908,0.3026448941230774
1,36035,2,0.893,0.31394491577148437
2,36035,2,0.905,0.2749540832042694
3,44545,2,0.913,0.2528451209068298
4,38367,3,0.925,0.25867114210128783
5,38367,3,0.916,0.2620429301261902
6,33458,4,0.913,0.2520217332839966
7,49346,3,0.92,0.24332918763160705
8,59795,3,0.921,0.26215466392040254
9,38676,3,0.916,0.2707844127416611
10,68099,3,0.923,0.22814705908298494
11,55241,3,0.916,0.24689503288269044
12,48212,3,0.918,0.264967670917511
13,48212,3,0.913,0.2700341308116913
14,65757,3,0.908,0.28056783401966096
15,80707,4,0.923,0.20224030828475953
16,82086,5,0.928,0.23437101125717164
17,74560,4,0.928,0.23713388347625733
18,73426,4,0.917,0.2544210124015808
19,82086,5,0.912,0.28417306393384933
20,80707,4,0.912,0.2888622390031815
21,105117,4,0.925,0.22936150586605072
22,118526,4,0.932,0.19720383834838867
23,122166,3,0.93,0.21735135513544082
24,123016,4,0.919,0.27138807892799377
25,131813,3,0.921,0.2315257863998413
26,121851,4,0.922,0.26640469360351565
27,111063,4,0.929,0.21269766962528228
28,125273,3,0.921,0.20421896779537202
29,109395,3,0.932,0.1973559330701828
30,151643,3,0.926,0.2149708390235901
31,149583,2,0.931,0.21744755375385286
32,191295,2,0.931,0.22921789932250977
33,126973,2,0.927,0.22051290488243103
34,126973,2,0.922,0.23754316264390946
35,126973,2,0.926,0.21746150368452072
36,132043,3,0.933,0.222842689037323
37,155055,2,0.937,0.19474293023347855
38,121067,3,0.922,0.24438670003414154
39,138405,2,0.925,0.22964240825176238
40,169209,2,0.929,0.21798584699630738
41,283208,4,0.935,0.19537464022636414
42,281166,3,0.929,0.22475951635837554
43,403840,3,0.935,0.2247445912361145
44,313809,2,0.931,0.22660146415233612
45,283347,2,0.932,0.2227290849685669
46,301377,2,0.927,0.2367539907693863
47,239631,2,0.923,0.2254015375971794
48,301377,2,0.945,0.189927787899971
49,385230,2,0.933,0.2036126965880394
50,389007,2,0.934,0.20946610909700394
51,493359,2,0.952,0.15933090090751648
52,600809,2,0.939,0.2112795230746269
53,530815,2,0.936,0.22763607120513915
54,517643,2,0.946,0.18082068610191346
55,517643,2,0.947,0.19651741939783096
56,658818,2,0.934,0.2181137529015541
57,697575,2,0.937,0.21951908338069917
58,603242,2,0.94,0.19274519029259682
59,594936,2,0.936,0.19689551627635957
60,633947,2,0.934,0.19015543265640736
61,694301,2,0.938,0.18377987679839133
62,628774,2,0.94,0.20928940159082413
63,549736,2,0.929,0.22246256071329118
64,549736,2,0.936,0.2416729038953781
65,819655,1,0.931,0.19769722652435304
66,819655,1,0.944,0.18281882765889168
67,555939,2,0.944,0.17018455451726913
68,829949,2,0.937,0.20026007902622223
69,1020790,1,0.947,0.1837040878534317
70,819655,1,0.938,0.18981555616855622
71,1016815,1,0.931,0.21472865307331085
72,972295,1,0.926,0.21407932037115096
73,907900,1,0.941,0.1864177930355072
74,1392055,1,0.934,0.2349525598883629
75,1303015,1,0.945,0.16601588761806488
76,1450885,1,0.941,0.17911302578449248
77,1187740,1,0.942,0.17621847969293594
78,1717210,1,0.94,0.1851117788553238
79,2195005,1,0.951,0.1550037618279457
80,1981150,1,0.947,0.19401574662327767
81,2191030,1,0.933,0.21574141371250152
82,2195005,1,0.947,0.18168120270967483
83,1814995,1,0.943,0.17454513370990754
84,1795120,1,0.938,0.19263201105594635
85,1814995,1,0.931,0.20845065665245055
86,1879337,2,0.953,0.17472034043073653
87,2018515,1,0.944,0.19483623492717744
88,1466785,1,0.933,0.21943582779169082
89,1600345,1,0.944,0.19743299436569214
90,2122660,1,0.939,0.2032105879187584
91,2290405,1,0.948,0.17368872261047363
92,2145715,1,0.949,0.16507843992114066
93,2562295,1,0.946,0.17911527043581008
94,2290405,1,0.94,0.195528854906559
95,2973310,1,0.948,0.19084264728426933
96,3301645,1,0.943,0.1818179231286049
97,2008180,1,0.943,0.18270829792320728
98,2726835,2,0.94,0.21946407693624498
99,2524135,1,0.939,0.19509591776132584
100,1956505,1,0.944,0.16356223121285438
101,2946280,1,0.944,0.1730561230778694
102,2946280,1,0.941,0.18720363253355027
103,2946280,1,0.949,0.18069266632199288
104,2691085,1,0.936,0.20256100365519525
105,2807155,1,0.935,0.20790499627590178
106,3123565,1,0.936,0.2396841600239277
107,3123565,1,0.945,0.17389560040831567
108,2326975,1,0.952,0.1647846445143223
109,2326975,1,0.949,0.16120905178785325
110,2112325,1,0.936,0.20337037229537963
111,2850880,1,0.935,0.20411466938257217
112,2850880,1,0.949,0.17338018012046813
113,2678365,1,0.945,0.19679688030481338
114,2515390,1,0.94,0.21385415375232697
115,2341285,1,0.937,0.1969359472990036
116,2113120,1,0.938,0.1933862332701683
117,1723570,1,0.941,0.2091746369600296
118,1779220,1,0.948,0.17577595257759093
119,2002615,1,0.937,0.2083217694759369
120,2319820,1,0.943,0.18927315378189086
121,1575700,1,0.94,0.17429887014627457
122,1503355,1,0.948,0.1732246382832527
123,1543900,1,0.942,0.16897072660923004
124,2398525,1,0.939,0.20295144852995872
125,1931860,1,0.937,0.18813180878758431
126,1503355,1,0.926,0.25488759791851046
127,2036005,1,0.946,0.1821781196296215
128,2482000,1,0.937,0.20577430844306946
129,2868370,1,0.941,0.20126528504490854
130,1931860,1,0.938,0.19514394617080688
131,2565475,1,0.947,0.17174854665994643
132,3027370,1,0.939,0.17936111357808113
133,2238730,1,0.934,0.20297627073526384
134,2238730,1,0.94,0.2053571497797966
135,2238730,1,0.946,0.1808148722946644
136,2405680,1,0.943,0.18022791934013366
137,2444635,1,0.935,0.19548535732924938
138,1977970,1,0.945,0.19389839726686478
139,1733905,1,0.944,0.1943876963853836
140,2466100,1,0.944,0.18993489457666873
141,2100400,1,0.946,0.20204958164691925
142,1933450,1,0.947,0.16468345326185227
143,1929475,1,0.942,0.17730951222777366
144,1563775,1,0.949,0.15814263752102853
145,1706080,1,0.934,0.2005162876844406
146,1910395,1,0.946,0.17635151532292365
147,2381830,1,0.945,0.1824741839915514
148,1869055,1,0.947,0.1810428778231144
149,2338105,1,0.945,0.18742467787861825
150,3029755,1,0.947,0.16514543649554253
151,1645660,1,0.944,0.1740251884907484
152,1942990,1,0.95,0.17277760046720506
153,1942990,1,0.943,0.1806940617263317
154,1874620,1,0.95,0.1675275157392025
155,2213290,1,0.944,0.1846744822859764
156,1877800,1,0.943,0.1765072079896927
157,2772970,1,0.944,0.1842193632721901
158,3017035,1,0.94,0.18847391632199287
159,1717210,1,0.944,0.16839076519012453
160,2082910,1,0.935,0.20051348704099656
