Experiment 1 ,18_03_2020_22-58-01

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,27835,1,0.907,0.2933525359630585
1,35259,2,0.903,0.2839466097354889
2,34795,2,0.904,0.2801098167896271
3,38077,3,0.919,0.24467136597633363
4,44043,2,0.922,0.23425542330741883
5,47563,3,0.922,0.21405513525009157
6,46187,3,0.909,0.2631571955680847
7,52373,3,0.921,0.2571579263210297
8,47446,3,0.919,0.27417879915237425
9,43076,3,0.918,0.25858358216285704
10,46924,4,0.913,0.2551554982662201
11,55759,4,0.92,0.24063716578483582
12,52890,5,0.924,0.21997968749701977
13,59481,4,0.923,0.2291827207803726
14,59481,4,0.931,0.23263909539580346
15,64115,3,0.917,0.2962493577003479
16,62345,3,0.911,0.2565548677444458
17,73982,4,0.917,0.24866106402873994
18,88000,4,0.922,0.24646843481063843
19,84577,4,0.925,0.23542892003059387
20,85715,2,0.931,0.21383097809553148
21,98005,3,0.926,0.24969226491451263
22,114495,4,0.924,0.2526126923561096
23,110539,3,0.911,0.24951927936077117
24,133527,3,0.928,0.20282880526781083
25,154070,3,0.927,0.23146733570098876
26,133527,3,0.918,0.25729679614305495
27,182925,3,0.93,0.22389859610795976
28,228634,3,0.943,0.19375583201646804
29,167699,3,0.936,0.20518490719795227
30,205463,3,0.935,0.2011103588938713
31,97815,2,0.931,0.2119553873538971
32,147648,4,0.937,0.20476290893554688
33,157323,4,0.927,0.23617711317539214
34,215327,5,0.924,0.23396213483810424
35,198495,4,0.936,0.21304489123821257
36,144645,3,0.919,0.2695598467588425
37,144645,3,0.928,0.22829011702537536
38,162353,4,0.92,0.2892947823815048
39,173007,3,0.914,0.2548143677711487
40,186784,3,0.939,0.20357062864303588
41,179954,3,0.933,0.2007539075911045
42,171055,3,0.933,0.20765314149856567
43,229701,3,0.924,0.224143434047699
44,196915,3,0.929,0.22576485568284987
45,200970,3,0.937,0.20187871140241623
46,191275,3,0.94,0.19190764689445497
47,235274,3,0.909,0.33195956087112427
48,235274,3,0.932,0.2172020793557167
49,144087,2,0.922,0.2328380732536316
50,229955,3,0.916,0.2681933000087738
51,185095,3,0.938,0.21049997401237489
52,224993,2,0.93,0.19747395461797715
53,204225,2,0.927,0.2259658175110817
54,166371,3,0.936,0.20946564304828644
55,291147,3,0.932,0.24516594195365907
56,234360,3,0.927,0.252697174847126
57,204225,2,0.936,0.20964074635505675
58,340633,3,0.932,0.2156927582025528
59,305955,2,0.935,0.21887096604704856
60,221035,3,0.933,0.2146616925597191
61,315287,3,0.923,0.27915968918800355
62,283425,2,0.921,0.22939110803604126
63,283425,2,0.929,0.23376155841350554
64,320903,3,0.927,0.26005592656135557
65,383565,3,0.94,0.20786714047193527
66,383610,2,0.932,0.20026347917318343
67,295305,2,0.932,0.2183197091817856
68,361640,2,0.934,0.2169681268930435
69,443771,2,0.918,0.24448165488243104
70,297975,2,0.934,0.19416739594936372
71,317295,2,0.941,0.19130834117531775
72,257487,2,0.925,0.22239465168118477
73,311655,2,0.937,0.20584665435552596
74,443385,2,0.907,0.3136999819278717
75,319693,2,0.938,0.20043690532445907
76,330791,2,0.92,0.26715553617477417
77,330791,2,0.926,0.20926442527770997
78,369354,2,0.937,0.22768027740716934
79,406957,2,0.931,0.21101717764139175
80,549779,2,0.938,0.21411493034660817
81,665828,2,0.936,0.23257360005378724
82,614587,2,0.934,0.24664421737194062
83,549344,2,0.945,0.18594506445527076
84,440495,2,0.938,0.21805194410681725
85,452297,2,0.929,0.24899317026138307
86,400043,2,0.946,0.1923345613181591
87,484395,2,0.932,0.23833804553747176
88,484395,2,0.929,0.22904076935350895
89,484395,2,0.94,0.22733437490463257
90,599759,2,0.935,0.2323267410993576
91,616095,2,0.936,0.2435126219242811
92,417072,2,0.949,0.18575560894608498
93,600396,2,0.936,0.24586888048052788
94,421780,2,0.936,0.22389850383996965
95,419913,2,0.934,0.22282049185037614
96,446775,2,0.945,0.18794495244324208
97,473642,2,0.935,0.20918373550474645
98,486381,2,0.931,0.25281181490421295
99,395922,2,0.941,0.1944009115844965
100,947607,2,0.934,0.22625952857732773
101,947607,2,0.947,0.18337826049327852
102,857815,1,0.946,0.17159877040982247
103,1012840,1,0.939,0.1885289655327797
104,1194895,1,0.933,0.19653744554519653
105,1960791,2,0.932,0.2654336242377758
106,1960791,2,0.948,0.19339982832968236
107,1473145,1,0.944,0.17459310555458069
108,1305400,1,0.938,0.18788530892133712
109,1291885,1,0.944,0.1831577045917511
110,1380925,1,0.934,0.21020672160387038
111,1595575,1,0.941,0.1753424081802368
112,1892110,1,0.946,0.176805340975523
113,1489045,1,0.943,0.18637182956933976
114,1974790,1,0.941,0.19923034873604775
115,1974790,1,0.944,0.17622533768415452
116,2179900,1,0.936,0.19311560454964638
117,2722885,1,0.94,0.19693424122408032
118,1751395,1,0.943,0.1801708647608757
119,1923115,1,0.941,0.1857447801530361
120,1353895,1,0.933,0.22949867022037507
121,1273600,1,0.942,0.18482405231893062
122,1805455,1,0.95,0.17389857563376426
123,2079730,1,0.948,0.175220537930727
124,1481890,1,0.936,0.19145198822021484
125,1369000,1,0.944,0.16181221789121628
126,1905625,1,0.937,0.19848423635959625
127,2076550,1,0.951,0.17664561754465102
128,2562295,1,0.947,0.18399426114559173
129,2140945,1,0.942,0.1973666456118226
130,2066215,1,0.941,0.20036363078653813
131,2537650,1,0.952,0.17693931770324706
132,2466100,1,0.938,0.19491077482700347
133,2330155,1,0.947,0.1880038934648037
134,2954230,1,0.938,0.20778935658931733
135,2927995,1,0.94,0.19416898822784423
136,2385010,1,0.926,0.2218215435743332
137,2975695,1,0.94,0.2140179709866643
138,1834870,1,0.938,0.1939517277032137
139,2181490,1,0.942,0.19553721386194228
140,2457355,1,0.951,0.17166879791021347
141,1824535,1,0.943,0.20433673244714737
