name,generation,avg acc,avg los,avg par
Lonely_Loss_LS_3,1,0.903,0.298862924,36050
Lonely_Loss_LS_3,2,0.909,0.293763846,43470
Lonely_Loss_LS_3,3,0.915666667,0.278538854,44530
Lonely_Loss_LS_3,4,0.903,0.299211786,49300
Lonely_Loss_LS_3,5,0.91,0.278494005,61225
Lonely_Loss_LS_3,6,0.916666667,0.261900211,71560
Lonely_Loss_LS_3,7,0.921333333,0.263813649,76330
Lonely_Loss_LS_3,8,0.911,0.270992114,71560
Lonely_Loss_LS_3,9,0.912,0.275499704,69175
Lonely_Loss_LS_3,10,0.919333333,0.255452489,84280
Lonely_Loss_LS_3,11,0.915333333,0.268846459,85870
Lonely_Loss_LS_3,12,0.916333333,0.252719562,93555
Lonely_Loss_LS_3,13,0.914666667,0.258362214,106805
Lonely_Loss_LS_3,14,0.922333333,0.243542348,121380
Lonely_Loss_LS_3,15,0.918,0.236530031,120320
Lonely_Loss_LS_3,16,0.923666667,0.241733579,142845
Lonely_Loss_LS_3,17,0.926333333,0.232558777,147350
Lonely_Loss_LS_3,18,0.918333333,0.247895584,178090
Lonely_Loss_LS_3,19,0.920333333,0.23572402,183125
Lonely_Loss_LS_3,20,0.933,0.207614505,223140
Lonely_Loss_LS_3,21,0.929666667,0.221296496,218105
Lonely_Loss_LS_3,22,0.927,0.213322827,272430
Lonely_Loss_LS_3,23,0.931,0.21999219,319600
Lonely_Loss_LS_3,24,0.931666667,0.207277562,376840
Lonely_Loss_LS_3,25,0.932,0.208163122,428250
Lonely_Loss_LS_3,26,0.931666667,0.212294238,432755
Lonely_Loss_LS_3,27,0.935,0.195695636,530540
Lonely_Loss_LS_3,28,0.936333333,0.198330675,577180
Lonely_Loss_LS_3,29,0.936666667,0.202837073,654560
Lonely_Loss_LS_3,30,0.935333333,0.197202817,674435
Lonely_Loss_LS_3,31,0.933,0.204714868,730085
Lonely_Loss_LS_3,32,0.935333333,0.19655717,822835
Lonely_Loss_LS_3,33,0.941,0.190462063,893060
Lonely_Loss_LS_3,34,0.934333333,0.197777229,1031390
Lonely_Loss_LS_3,35,0.941333333,0.187181696,1348595
Lonely_Loss_LS_3,36,0.938333333,0.202738355,1434190
Lonely_Loss_LS_3,37,0.940333333,0.19113818,1418025
Lonely_Loss_LS_3,38,0.940333333,0.195292289,1528000
Lonely_Loss_LS_3,39,0.948333333,0.178209234,1860840
Lonely_Loss_LS_3,40,0.938333333,0.206258408,1990690
Lonely_Loss_LS_3,41,0.939666667,0.181460344,2073370
Lonely_Loss_LS_3,42,0.941333333,0.1817658,2032825
Lonely_Loss_LS_3,43,0.938333333,0.182283544,2230515
Lonely_Loss_LS_3,44,0.939333333,0.197462766,2261255
Lonely_Loss_LS_3,45,0.943,0.178271308,1894495
Lonely_Loss_LS_3,46,0.944,0.174131491,2135380
Lonely_Loss_LS_3,47,0.940333333,0.202449211,2403295
Lonely_Loss_LS_3,48,0.941,0.188613014,2508500
Lonely_Loss_LS_3,49,0.943,0.189533205,2739315
Lonely_Loss_LS_3,50,0.943666667,0.188931327,2611850
Lonely_Loss_LS_3,51,0.936333333,0.209256987,3332120
