name,generation,avg acc,avg los,avg par
Lonely_Los_Layers_3,1,0.901666667,0.304980111,40820
Lonely_Los_Layers_3,2,0.911666667,0.28880296,43205
Lonely_Los_Layers_3,3,0.902,0.292901737,34270.66667
Lonely_Los_Layers_3,4,0.914333333,0.261461067,34966.33333
Lonely_Los_Layers_3,5,0.913,0.275288455,36065.66667
Lonely_Los_Layers_3,6,0.914,0.27792073,33441.66667
Lonely_Los_Layers_3,7,0.909666667,0.280228427,31936.66667
Lonely_Los_Layers_3,8,0.914333333,0.26486482,34172.33333
Lonely_Los_Layers_3,9,0.915,0.263015776,34010.66667
Lonely_Los_Layers_3,10,0.908666667,0.271974121,38914.33333
Lonely_Los_Layers_3,11,0.909,0.268138433,41843
Lonely_Los_Layers_3,12,0.909333333,0.292826276,40292.66667
Lonely_Los_Layers_3,13,0.92,0.258867016,51331.66667
Lonely_Los_Layers_3,14,0.918666667,0.257247346,50321
Lonely_Los_Layers_3,15,0.914666667,0.26748533,48312.33333
Lonely_Los_Layers_3,16,0.916,0.273735364,41237
Lonely_Los_Layers_3,17,0.905,0.278190353,43537
Lonely_Los_Layers_3,18,0.912666667,0.255309328,46867.66667
Lonely_Los_Layers_3,19,0.916333333,0.255384207,50714.66667
Lonely_Los_Layers_3,20,0.913666667,0.274184819,51736
Lonely_Los_Layers_3,21,0.904333333,0.280823734,48357.33333
Lonely_Los_Layers_3,22,0.915666667,0.252856919,52060.33333
Lonely_Los_Layers_3,23,0.914666667,0.258940381,50990
Lonely_Los_Layers_3,24,0.918333333,0.253296852,54603.66667
Lonely_Los_Layers_3,25,0.915666667,0.239935412,52529
Lonely_Los_Layers_3,26,0.919333333,0.241338352,58652.33333
Lonely_Los_Layers_3,27,0.918,0.252975995,51839.33333
Lonely_Los_Layers_3,28,0.918666667,0.266060719,63056
Lonely_Los_Layers_3,29,0.916333333,0.255202659,64002.66667
Lonely_Los_Layers_3,30,0.922333333,0.256236815,68854.66667
Lonely_Los_Layers_3,31,0.926,0.242367265,74643.33333
Lonely_Los_Layers_3,32,0.919666667,0.257784631,75550.33333
Lonely_Los_Layers_3,33,0.916666667,0.256029488,75997.66667
Lonely_Los_Layers_3,34,0.925,0.236699035,68148.66667
Lonely_Los_Layers_3,35,0.915,0.269659091,73946.66667
Lonely_Los_Layers_3,36,0.925,0.247138343,74679.66667
Lonely_Los_Layers_3,37,0.919,0.25172532,75687.33333
Lonely_Los_Layers_3,38,0.915333333,0.258426227,76017.33333
Lonely_Los_Layers_3,39,0.924666667,0.24686118,74392.33333
Lonely_Los_Layers_3,40,0.917,0.261244307,80709.33333
Lonely_Los_Layers_3,41,0.918666667,0.255554764,78733.33333
Lonely_Los_Layers_3,42,0.916,0.268297473,83760
Lonely_Los_Layers_3,43,0.919333333,0.251304118,89327.66667
Lonely_Los_Layers_3,44,0.918,0.257560441,90008.33333
Lonely_Los_Layers_3,45,0.922,0.251979986,85204.66667
Lonely_Los_Layers_3,46,0.926666667,0.235906203,79598
Lonely_Los_Layers_3,47,0.920333333,0.260800514,78252
Lonely_Los_Layers_3,48,0.921,0.244100006,80378.33333
Lonely_Los_Layers_3,49,0.923,0.256569812,77345
Lonely_Los_Layers_3,50,0.917666667,0.242450212,73692.66667
Lonely_Los_Layers_3,51,0.921666667,0.258506085,74163
Lonely_Los_Layers_3,52,0.925333333,0.233474946,75740
Lonely_Los_Layers_3,53,0.921,0.243667775,85534.66667
Lonely_Los_Layers_3,54,0.919,0.26136217,92098.66667
Lonely_Los_Layers_3,55,0.924,0.247356124,86850.66667
Lonely_Los_Layers_3,56,0.924,0.240593465,82406.66667
Lonely_Los_Layers_3,57,0.924666667,0.235541826,92387.66667
Lonely_Los_Layers_3,58,0.928,0.232553962,90434.33333
Lonely_Los_Layers_3,59,0.922333333,0.241478471,84985
Lonely_Los_Layers_3,60,0.924,0.237095023,98526.66667
Lonely_Los_Layers_3,61,0.924,0.233437235,99326
Lonely_Los_Layers_3,62,0.912666667,0.290814064,92850
Lonely_Los_Layers_3,63,0.928,0.2248902,103013.6667
Lonely_Los_Layers_3,64,0.924666667,0.242797831,107360.3333
Lonely_Los_Layers_3,65,0.918333333,0.25599388,105473
Lonely_Los_Layers_3,66,0.924666667,0.227998097,101592
Lonely_Los_Layers_3,67,0.920333333,0.243851901,101003.3333
Lonely_Los_Layers_3,68,0.925666667,0.217026619,115776.6667
Lonely_Los_Layers_3,69,0.918333333,0.251872051,122643
Lonely_Los_Layers_3,70,0.93,0.219445124,114522
Lonely_Los_Layers_3,71,0.925,0.228710759,129644.6667
Lonely_Los_Layers_3,72,0.926666667,0.218980537,137673.3333
Lonely_Los_Layers_3,73,0.925,0.229021629,132657.6667
Lonely_Los_Layers_3,74,0.925333333,0.217342529,138460.3333
Lonely_Los_Layers_3,75,0.920333333,0.25296123,154413.6667
Lonely_Los_Layers_3,76,0.926333333,0.220770909,150790
Lonely_Los_Layers_3,77,0.929,0.211111723,186947.6667
Lonely_Los_Layers_3,78,0.927,0.22089495,178005.6667
Lonely_Los_Layers_3,79,0.923666667,0.232430305,168883.6667
Lonely_Los_Layers_3,80,0.931666667,0.208838695,195787.6667
Lonely_Los_Layers_3,81,0.930333333,0.215370984,189949.6667
Lonely_Los_Layers_3,82,0.931333333,0.212065708,195754
Lonely_Los_Layers_3,83,0.93,0.219319124,187061.6667
Lonely_Los_Layers_3,84,0.932333333,0.199870823,191118.3333
Lonely_Los_Layers_3,85,0.927333333,0.218679356,209666.6667
Lonely_Los_Layers_3,86,0.929666667,0.204710492,206371
Lonely_Los_Layers_3,87,0.934,0.216834544,217953.6667
Lonely_Los_Layers_3,88,0.925333333,0.232342996,224311
Lonely_Los_Layers_3,89,0.930333333,0.218187946,237332
Lonely_Los_Layers_3,90,0.931333333,0.208285109,216666.6667
Lonely_Los_Layers_3,91,0.924333333,0.237904083,238091.6667
Lonely_Los_Layers_3,92,0.931333333,0.212854257,221785.3333
Lonely_Los_Layers_3,93,0.935666667,0.210918658,235359.3333
Lonely_Los_Layers_3,94,0.927,0.212605501,233939.3333
Lonely_Los_Layers_3,95,0.933,0.217024128,234779
Lonely_Los_Layers_3,96,0.934,0.205028905,246165.6667
Lonely_Los_Layers_3,97,0.929333333,0.225327333,223615.6667
Lonely_Los_Layers_3,98,0.929666667,0.20920242,240141.6667
Lonely_Los_Layers_3,99,0.929333333,0.220191195,240248.3333
Lonely_Los_Layers_3,100,0.935,0.21044197,241691.6667
Lonely_Los_Layers_3,101,0.932,0.205133137,240855
Lonely_Los_Layers_3,102,0.928333333,0.221657696,254307.6667
Lonely_Los_Layers_3,103,0.939,0.197531052,279898.3333
Lonely_Los_Layers_3,104,0.933,0.21051639,276043
Lonely_Los_Layers_3,105,0.935333333,0.211024463,283583.3333
Lonely_Los_Layers_3,106,0.928,0.221855332,302991
Lonely_Los_Layers_3,107,0.934333333,0.20697988,260739.6667
Lonely_Los_Layers_3,108,0.938333333,0.200310967,357719.6667
Lonely_Los_Layers_3,109,0.931666667,0.228428237,347581
Lonely_Los_Layers_3,110,0.936666667,0.202688074,343581.3333
Lonely_Los_Layers_3,111,0.931333333,0.213260349,379151.6667
Lonely_Los_Layers_3,112,0.933,0.200809878,375113.3333
Lonely_Los_Layers_3,113,0.933666667,0.211953489,409101
Lonely_Los_Layers_3,114,0.934666667,0.206028534,377595
Lonely_Los_Layers_3,115,0.934333333,0.208932527,394464.6667
Lonely_Los_Layers_3,116,0.937,0.200132017,435576
Lonely_Los_Layers_3,117,0.935,0.207979244,392491.6667
Lonely_Los_Layers_3,118,0.928666667,0.24104027,425229.6667
Lonely_Los_Layers_3,119,0.933666667,0.215849511,431938.6667
Lonely_Los_Layers_3,120,0.934,0.197506998,438828.6667
Lonely_Los_Layers_3,121,0.938,0.202052705,546706.6667
Lonely_Los_Layers_3,122,0.931333333,0.198671353,554556.6667
Lonely_Los_Layers_3,123,0.940666667,0.189804387,537878.6667
Lonely_Los_Layers_3,124,0.932,0.210513563,617038.6667
Lonely_Los_Layers_3,125,0.935,0.196440473,634612
Lonely_Los_Layers_3,126,0.940666667,0.196390563,631887
Lonely_Los_Layers_3,127,0.937,0.204708499,662133
Lonely_Los_Layers_3,128,0.941666667,0.196622875,760934.3333
Lonely_Los_Layers_3,129,0.932333333,0.228027226,860492.6667
Lonely_Los_Layers_3,130,0.932,0.216155936,747862.6667
Lonely_Los_Layers_3,131,0.936,0.199604057,797077.3333
Lonely_Los_Layers_3,132,0.935333333,0.211541327,812579
Lonely_Los_Layers_3,133,0.938333333,0.204672394,977018
Lonely_Los_Layers_3,134,0.938,0.201824051,903036
Lonely_Los_Layers_3,135,0.937,0.209897558,897935.3333
Lonely_Los_Layers_3,136,0.935333333,0.204696428,1080974.333
Lonely_Los_Layers_3,137,0.939333333,0.207051383,1101564.333
Lonely_Los_Layers_3,138,0.932666667,0.22318595,1076836.333
Lonely_Los_Layers_3,139,0.936666667,0.207366244,1103735.333
Lonely_Los_Layers_3,140,0.932333333,0.202583724,1027481.333
Lonely_Los_Layers_3,141,0.935333333,0.204875724,1157486.667
Lonely_Los_Layers_3,142,0.94,0.196864367,1122172.333
Lonely_Los_Layers_3,143,0.941,0.183216042,856382.3333
Lonely_Los_Layers_3,144,0.94,0.197246949,1060245
Lonely_Los_Layers_3,145,0.943,0.188566893,1588476
Lonely_Los_Layers_3,146,0.941333333,0.196178058,1590349.333
Lonely_Los_Layers_3,147,0.941333333,0.189274222,1237257.333
Lonely_Los_Layers_3,148,0.934666667,0.213010484,1099674.667
Lonely_Los_Layers_3,149,0.937333333,0.199105991,1137158.333
Lonely_Los_Layers_3,150,0.934,0.223022178,1229143.667
Lonely_Los_Layers_3,151,0.938666667,0.191871863,1255616.667
Lonely_Los_Layers_3,152,0.938,0.196369929,1108968.667
Lonely_Los_Layers_3,153,0.943333333,0.187416207,1132905.333
Lonely_Los_Layers_3,154,0.939333333,0.191850089,1444193.667
Lonely_Los_Layers_3,155,0.927666667,0.237827694,1528886.333
,,,,
Lonely_Los_Layers_4,1,0.908666667,0.296941234,38965
Lonely_Los_Layers_4,2,0.91,0.291812106,36050
Lonely_Los_Layers_4,3,0.913666667,0.287398654,44795
Lonely_Los_Layers_4,4,0.908,0.284103375,41880
Lonely_Los_Layers_4,5,0.914333333,0.270139717,53275
Lonely_Los_Layers_4,6,0.913333333,0.271847198,55130
Lonely_Los_Layers_4,7,0.912666667,0.265419505,62550
Lonely_Los_Layers_4,8,0.915666667,0.274879388,68115
Lonely_Los_Layers_4,9,0.914,0.256054971,83750
Lonely_Los_Layers_4,10,0.918666667,0.25203772,82690
Lonely_Los_Layers_4,11,0.916,0.256544292,95145
Lonely_Los_Layers_4,12,0.921,0.249172539,111840
Lonely_Los_Layers_4,13,0.925333333,0.227468236,138870
Lonely_Los_Layers_4,14,0.920333333,0.23670056,141520
Lonely_Los_Layers_4,15,0.923,0.232927747,173585
Lonely_Los_Layers_4,16,0.922,0.229238377,188425
Lonely_Los_Layers_4,17,0.925333333,0.222651795,221020
Lonely_Los_Layers_4,18,0.924666667,0.223347303,242750
Lonely_Los_Layers_4,19,0.929,0.204909337,279320
Lonely_Los_Layers_4,20,0.929666667,0.206008027,300785
Lonely_Los_Layers_4,21,0.932,0.207279149,370480
Lonely_Los_Layers_4,22,0.935333333,0.201336598,390090
Lonely_Los_Layers_4,23,0.930666667,0.211941991,387440
Lonely_Los_Layers_4,24,0.931,0.205078083,387705
Lonely_Los_Layers_4,25,0.933,0.199999583,453425
Lonely_Los_Layers_4,26,0.937333333,0.200440448,549620
Lonely_Los_Layers_4,27,0.932333333,0.20449356,547235
Lonely_Los_Layers_4,28,0.937333333,0.204278697,583010
Lonely_Los_Layers_4,29,0.941,0.18503132,754465
Lonely_Los_Layers_4,30,0.943333333,0.180529103,791565
Lonely_Los_Layers_4,31,0.942333333,0.188222591,929895
Lonely_Los_Layers_4,32,0.936666667,0.203446586,1053120
Lonely_Los_Layers_4,33,0.941333333,0.185773463,1041725
Lonely_Los_Layers_4,34,0.936666667,0.206837635,1201520
Lonely_Los_Layers_4,35,0.943333333,0.188253606,1335875
Lonely_Los_Layers_4,36,0.938333333,0.204928503,1332430
Lonely_Los_Layers_4,37,0.941666667,0.185717243,1416435
Lonely_Los_Layers_4,38,0.945333333,0.182278833,1716680
Lonely_Los_Layers_4,39,0.940666667,0.185663793,1486395
Lonely_Los_Layers_4,40,0.944,0.183289,1990160
Lonely_Los_Layers_4,41,0.942,0.178611856,1870645
Lonely_Los_Layers_4,42,0.945666667,0.176373279,2077610
Lonely_Los_Layers_4,43,0.936666667,0.212972377,2360895
Lonely_Los_Layers_4,44,0.939,0.196391707,2286960
Lonely_Los_Layers_4,45,0.94,0.216500425,3101570
Lonely_Los_Layers_4,46,0.944,0.181891184,3099715
Lonely_Los_Layers_4,47,0.936333333,0.205514015,3212870
Lonely_Los_Layers_4,48,0.947333333,0.172077312,2213555
Lonely_Los_Layers_4,49,0.945333333,0.180175411,2922960
Lonely_Los_Layers_4,50,0.940666667,0.200820154,2712285
Lonely_Los_Layers_4,51,0.943,0.185844113,3197765
Lonely_Los_Layers_4,52,0.939333333,0.196244366,2231575
Lonely_Los_Layers_4,53,0.94,0.204350713,2321675
Lonely_Los_Layers_4,54,0.946,0.179053998,3133635
Lonely_Los_Layers_4,55,0.946,0.181434929,2315050
Lonely_Los_Layers_4,56,0.944,0.188329888,2755480
Lonely_Los_Layers_4,57,0.944,0.191661001,2786750
Lonely_Los_Layers_4,58,0.943333333,0.188243821,2429265
Lonely_Los_Layers_4,59,0.94,0.194046364,2774295
Lonely_Los_Layers_4,60,0.942333333,0.196080497,2702215
Lonely_Los_Layers_4,61,0.948333333,0.178084873,2484915
Lonely_Los_Layers_4,62,0.943666667,0.182119339,2442250
Lonely_Los_Layers_4,63,0.946666667,0.184511853,3045125
Lonely_Los_Layers_4,64,0.947333333,0.181209883,3142380
Lonely_Los_Layers_4,65,0.938,0.195711818,2757600
Lonely_Los_Layers_4,66,0.943666667,0.176738986,2799470
Lonely_Los_Layers_4,67,0.941,0.186782125,2405945
Lonely_Los_Layers_4,68,0.942,0.190022783,2961385
Lonely_Los_Layers_4,69,0.944333333,0.178611052,2491275
Lonely_Los_Layers_4,70,0.938,0.198864635,2427675
Lonely_Los_Layers_4,71,0.940666667,0.204769723,2741435
Lonely_Los_Layers_4,72,0.942666667,0.188190448,3324965
Lonely_Los_Layers_4,73,0.946,0.182263404,2497105
Lonely_Los_Layers_4,74,0.943666667,0.188227956,2353210
Lonely_Los_Layers_4,75,0.943333333,0.184739114,2379710
Lonely_Los_Layers_4,76,0.942333333,0.180171277,2310810
Lonely_Los_Layers_4,77,0.940333333,0.19111975,2612910
Lonely_Los_Layers_4,78,0.940666667,0.191260807,2478820
Lonely_Los_Layers_4,79,0.941,0.179288886,2530230
Lonely_Los_Layers_4,80,0.941,0.190578746,2402235
Lonely_Los_Layers_4,81,0.943,0.202693821,3004845
Lonely_Los_Layers_4,82,0.946,0.177748364,2493130
Lonely_Los_Layers_4,83,0.942333333,0.180912544,3659925
Lonely_Los_Layers_4,84,0.942333333,0.186196031,1944580
Lonely_Los_Layers_4,85,0.94,0.19903273,3188755
Lonely_Los_Layers_4,86,0.934666667,0.208838347,3178155
Lonely_Los_Layers_4,87,0.940333333,0.200828512,2269735
Lonely_Los_Layers_4,88,0.941333333,0.181644881,2406475
Lonely_Los_Layers_4,89,0.939333333,0.212364008,3309065
Lonely_Los_Layers_4,90,0.943,0.180834687,3421160
Lonely_Los_Layers_4,91,0.942333333,0.183265518,2965360
Lonely_Los_Layers_4,92,0.943,0.17698852,3677415
Lonely_Los_Layers_4,93,0.947333333,0.176252603,2481735
Lonely_Los_Layers_4,94,0.939333333,0.185501218,2718380
Lonely_Los_Layers_4,95,0.945333333,0.176016062,3250500
Lonely_Los_Layers_4,96,0.940666667,0.18881713,2849025
Lonely_Los_Layers_4,97,0.943333333,0.188002587,2627220
Lonely_Los_Layers_4,98,0.938666667,0.200290773,2413100
Lonely_Los_Layers_4,99,0.944,0.18276803,3165170
Lonely_Los_Layers_4,100,0.939333333,0.21859503,3733595
Lonely_Los_Layers_4,101,0.938,0.203006942,3093620
Lonely_Los_Layers_4,102,0.941666667,0.19497349,2699565
Lonely_Los_Layers_4,103,0.941,0.198523654,3113230
Lonely_Los_Layers_4,104,0.947666667,0.182187593,3886500
Lonely_Los_Layers_4,105,0.942666667,0.182377572,2464775
Lonely_Los_Layers_4,106,0.939666667,0.190467225,2948930
Lonely_Los_Layers_4,107,0.935666667,0.210317475,3037440
