Experiment 1 ,21_03_2020_00-40-55

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,33400,1,0.91,0.30089717102050784
1,36580,1,0.904,0.29534290671348573
2,35785,1,0.91,0.2974552116394043
3,35895,2,0.895,0.3129751880168915
4,25610,2,0.904,0.27911426281929014
5,34368,2,0.913,0.25697619473934175
6,46560,2,0.92,0.2560516200065613
7,46560,2,0.913,0.2539981269836426
8,58767,2,0.926,0.22837886869907378
9,49799,2,0.92,0.23681451058387756
10,60411,3,0.914,0.26953014731407166
11,71614,4,0.918,0.2580527033805847
12,90145,4,0.924,0.22929483354091645
13,73796,3,0.92,0.25337296986579894
14,79998,5,0.91,0.26032810950279234
15,72427,2,0.928,0.23698759031295777
16,93563,2,0.936,0.19386070013046264
17,94035,2,0.927,0.23203624200820921
18,132117,3,0.931,0.22152187365293502
19,134343,2,0.927,0.23047085645794868
20,119691,2,0.922,0.24531417167186736
21,153159,2,0.928,0.21754827827215195
22,189605,2,0.942,0.20175737977027894
23,182647,4,0.924,0.2201202622652054
24,172431,4,0.933,0.2367673397064209
25,255437,3,0.933,0.24542550003528596
26,289557,3,0.924,0.23254685455560684
27,228255,2,0.944,0.18873735904693603
28,207713,4,0.933,0.23142729830741882
29,175963,3,0.928,0.23471718156337737
30,285674,3,0.938,0.20804374632239342
31,285864,2,0.942,0.19809311366081236
32,303483,2,0.924,0.2250336498618126
33,379832,2,0.939,0.19325113606452943
34,378906,2,0.938,0.19633249592781066
35,335753,2,0.942,0.17795619094371795
36,350067,2,0.934,0.20750725030899048
37,452075,2,0.933,0.2053400110602379
38,657639,2,0.943,0.20244773519039155
39,449751,2,0.945,0.1849679051935673
40,678795,2,0.93,0.2183200969696045
41,547485,2,0.94,0.184459902882576
42,632955,2,0.937,0.19941384255886077
43,568797,2,0.927,0.21695038539171219
44,862585,1,0.936,0.18511788430809975
45,986605,1,0.935,0.1972359934449196
46,1023970,1,0.931,0.2175512591600418
47,1365820,1,0.943,0.18136100775003433
48,1365820,1,0.936,0.20716501300036907
49,1348877,2,0.939,0.18632640504837036
50,1522779,2,0.941,0.1897574682831764
51,1446910,1,0.944,0.18215469509363175
52,1393140,2,0.932,0.21754673612117767
53,1667920,1,0.942,0.17837227070331574
54,1473940,1,0.942,0.18341494485735893
55,1679050,1,0.943,0.16499568045139312
56,1667920,1,0.939,0.1930248720049858
57,1377483,2,0.947,0.17699016934633255
58,1190920,1,0.943,0.18412251883745193
59,1190920,1,0.942,0.1928368116617203
60,2249860,1,0.945,0.18107189309597016
61,2249860,1,0.938,0.21510766237974166
62,1429420,1,0.951,0.17490471076965333
63,1551055,1,0.941,0.18182717382907868
64,1752985,1,0.942,0.17068145895004272
65,1761730,1,0.943,0.18933475828170776
66,1838050,1,0.953,0.17140750432014465
67,2218060,1,0.943,0.1808793488740921
68,2040775,1,0.939,0.20109385368227958
69,2040775,1,0.951,0.17207138979434966
70,2266555,1,0.935,0.21699998503923415
71,2474845,1,0.948,0.18789347770810128
72,2474845,1,0.947,0.18195261949300767
73,2474845,1,0.937,0.18739436757564545
74,2959000,1,0.952,0.17988156799226998
75,2474845,1,0.947,0.17500201636552812
76,3035320,1,0.933,0.2096850870847702
77,2263375,1,0.943,0.19591584119200706
78,2885860,1,0.922,0.24840473055839538
79,2815105,1,0.938,0.1893354741036892
80,2815105,1,0.948,0.18573132544755935
81,1750600,1,0.94,0.18073321077227592
82,1750600,1,0.938,0.19419078278541566
83,1750600,1,0.931,0.20388815882802008
84,1537540,1,0.943,0.18628996789455413
85,1925500,1,0.94,0.20347880628705026
86,2659285,1,0.946,0.18767801249027252
87,2392960,1,0.946,0.18382436364889146
88,2171155,1,0.94,0.20153488604724407
89,2794435,1,0.946,0.16566085720062257
90,2221240,1,0.944,0.18325500360131264
91,2102785,1,0.943,0.18003552535176276
92,1962865,1,0.941,0.1899217799305916
93,1821355,1,0.938,0.20933192044496537
94,2361160,1,0.95,0.1819374879002571
95,2076550,1,0.947,0.18017361596226691
96,2519365,1,0.943,0.18440495371818544
97,2484385,1,0.939,0.1911408788859844
98,2529700,1,0.941,0.18092729699611665
99,2323000,1,0.943,0.20906986618041992
100,2602045,1,0.94,0.19299101908504962
101,2282455,1,0.938,0.19986970871686935
102,2082115,1,0.943,0.18412114462256432
103,2282455,1,0.939,0.2077912757396698
104,2098810,1,0.951,0.18589688086509704
105,5825770,1,0.942,0.1813418593108654
106,3001135,1,0.938,0.21126197057962418
107,2346850,1,0.939,0.2253366729617119
108,2726065,1,0.947,0.16505407091975213
109,2710165,1,0.928,0.20907104068994523
110,2106760,1,0.946,0.18270806962251662
111,2771380,1,0.949,0.17999209380149842
112,3193525,1,0.944,0.18576467384397982
113,1227490,1,0.939,0.17997506940364838
114,1416700,1,0.936,0.19525813579559326
115,1426240,1,0.948,0.17748129230737686
116,1840435,1,0.943,0.18227667796611785
117,1840435,1,0.95,0.18677394478023052
118,1840435,1,0.948,0.17767067885398866
119,1840435,1,0.945,0.19124581331014634
120,2179105,1,0.938,0.19901733389496803
121,2688700,1,0.944,0.18200682258605957
122,1883365,1,0.938,0.21565037286281585
123,2689495,1,0.943,0.19348289740085603
124,2689495,1,0.941,0.2117901258468628
125,2128225,1,0.934,0.19926866006851196
126,1818970,1,0.949,0.1613724909424782
127,3363655,1,0.909,0.3020259407758713
128,1818970,1,0.939,0.18818522453308106
129,2899375,1,0.94,0.19492295829951764
