Experiment 1 ,26_03_2020_04-27-48

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,33400,2,0.906,0.3052842116355896
1,24175,3,0.901,0.32193278169631956
2,29775,3,0.912,0.3020721037387848
3,29871,3,0.901,0.3174664180278778
4,30737,4,0.908,0.2745365445613861
5,32527,5,0.907,0.2889363486766815
6,32621,4,0.909,0.2834356966018677
7,32621,4,0.909,0.2940861237049103
8,34187,5,0.914,0.28874706864356997
9,30309,6,0.903,0.30513359093666076
10,29749,5,0.925,0.2565157607793808
11,35112,5,0.91,0.2574386863708496
12,36572,8,0.904,0.2872326503992081
13,35357,5,0.918,0.27026114439964294
14,33518,8,0.914,0.2845279998779297
15,36052,6,0.92,0.24962646007537842
16,36546,7,0.904,0.31217355000972746
17,43505,6,0.913,0.2686903237104416
18,37151,7,0.904,0.2944261875152588
19,39642,6,0.921,0.2523719818592072
20,43440,7,0.922,0.25330447041988374
21,43493,7,0.912,0.28797514271736147
22,43813,5,0.926,0.28009102287888527
23,41987,4,0.91,0.2645898733139038
24,46571,5,0.906,0.2875144112110138
25,37078,5,0.901,0.31292731130123136
26,51122,5,0.918,0.26663917112350466
27,69189,5,0.929,0.23467181158065795
28,65568,6,0.925,0.23990574932098388
29,76785,5,0.912,0.26089907002449036
30,76785,5,0.899,0.3417298495173454
31,75285,5,0.921,0.24345674133300782
32,82539,6,0.883,0.35840873605012896
33,74515,4,0.925,0.23965298998355866
34,79291,6,0.925,0.2337496223449707
35,70951,6,0.926,0.26944046533107757
36,88465,6,0.915,0.27344923961162565
37,90888,7,0.926,0.26543304085731506
38,88041,6,0.932,0.24352611288428305
39,87715,6,0.928,0.23439425146579743
40,88358,5,0.92,0.2318943480849266
41,89630,7,0.903,0.33209473180770877
42,89630,7,0.924,0.2851546369791031
43,87504,6,0.942,0.20941489017009735
44,103109,4,0.926,0.2579902120232582
45,87872,7,0.918,0.2652087652236223
46,87774,6,0.92,0.25941119049489497
47,90889,5,0.936,0.20024005782604218
48,90854,6,0.921,0.2543580123335123
49,90434,6,0.923,0.257637234210968
50,90967,5,0.919,0.28320305633544923
51,84957,4,0.91,0.24672618943452834
52,98131,5,0.92,0.2523879555463791
53,98295,5,0.917,0.2813717290759087
54,95094,5,0.932,0.25418641269207
55,111505,5,0.934,0.23197787111997603
56,98364,5,0.885,0.3890374303162098
57,115403,4,0.933,0.20115405130386352
58,100332,5,0.916,0.2780206755399704
59,118468,5,0.894,0.34401187604665756
60,128853,4,0.935,0.2102302143573761
61,128853,4,0.926,0.24791153979301453
62,166042,5,0.941,0.20527111798524855
63,154425,4,0.933,0.20768342757225036
64,154380,4,0.924,0.2510274767577648
65,126259,4,0.918,0.28070184326171876
66,130850,5,0.929,0.23589586323499678
67,160031,4,0.926,0.21270067477226257
68,124511,4,0.935,0.23871860408782958
69,125922,3,0.918,0.2163659930229187
70,125047,5,0.884,0.3716953649520874
71,121067,5,0.907,0.29928239893913267
72,131621,5,0.932,0.22824114751815797
73,139030,5,0.929,0.24788824367523193
74,178629,3,0.932,0.1943814733028412
75,143895,3,0.928,0.21062771224975585
76,145755,3,0.919,0.258570121049881
77,155586,6,0.941,0.22421405124664306
78,190223,4,0.915,0.2691447850763798
79,154272,5,0.933,0.23282352298498155
80,210011,4,0.925,0.24833756148815156
81,160374,5,0.933,0.22734121027588844
82,150929,5,0.921,0.2599798107147217
83,161093,4,0.924,0.21681862676143646
84,194573,4,0.929,0.20257865566015243
85,181721,4,0.936,0.20417561286687852
86,193736,5,0.878,0.4449147276878357
87,195628,6,0.938,0.20659091252088546
88,193653,4,0.931,0.24012050139904023
89,193653,4,0.915,0.29300587746500967
90,182811,3,0.933,0.21589243966341018
91,201999,4,0.931,0.24510140657424928
92,256087,5,0.931,0.23095677378773688
93,249475,4,0.934,0.22417121124267578
94,249475,4,0.92,0.27698930335044863
95,240089,4,0.935,0.20924226605892182
96,240983,4,0.936,0.2445074885636568
97,240597,4,0.938,0.23033522522449493
98,352224,4,0.934,0.2417666321992874
99,413709,3,0.936,0.2112889522910118
100,520629,3,0.939,0.1905429071560502
101,413709,3,0.932,0.2203791074305773
102,484098,3,0.934,0.2394791682958603
